# event_ticker=KXATPCHALLENGERMATCH-26MAY12DROFEA
# final_score=6-2 6-7(2) 6-2
# score_resolution=2-6 7-6 2-6
# match_winner=Titouan Droguet
# fav_player=Jacob Fearnley
# dog_player=Titouan Droguet
# kalshi_date=2026-05-12
timestamp,Titouan Droguet,Jacob Fearnley
2026-05-12T03:39:00Z,65.00,
2026-05-12T05:23:00Z,65.00,35.00
2026-05-12T06:09:00Z,65.00,37.00
2026-05-12T06:12:00Z,66.00,37.00
2026-05-12T06:35:00Z,66.00,37.00
2026-05-12T10:40:00Z,66.00,37.00
2026-05-12T11:05:00Z,66.00,37.00
2026-05-12T12:18:00Z,66.00,37.00
2026-05-12T12:26:00Z,66.00,36.00
2026-05-12T12:43:00Z,66.00,36.00
2026-05-12T12:44:00Z,66.00,36.00
2026-05-12T13:07:00Z,66.00,36.00
2026-05-12T13:16:00Z,66.00,36.00
2026-05-12T13:21:00Z,66.00,36.00
2026-05-12T13:37:00Z,66.00,35.00
2026-05-12T13:45:00Z,66.00,35.00
2026-05-12T13:47:00Z,66.00,35.00
2026-05-12T13:53:00Z,66.00,35.00
2026-05-12T13:55:00Z,66.00,35.00
2026-05-12T13:56:00Z,66.00,35.00
2026-05-12T14:04:00Z,66.00,35.93
2026-05-12T14:12:00Z,67.75,33.00
2026-05-12T14:13:00Z,67.75,32.00
2026-05-12T14:15:00Z,71.92,33.00
2026-05-12T14:16:00Z,69.27,33.00
2026-05-12T14:17:00Z,68.00,33.00
2026-05-12T14:18:00Z,70.50,30.33
2026-05-12T14:19:00Z,72.95,27.03
2026-05-12T14:20:00Z,75.97,24.05
2026-05-12T14:21:00Z,78.79,21.25
2026-05-12T14:22:00Z,77.33,23.75
2026-05-12T14:23:00Z,83.31,17.48
2026-05-12T14:24:00Z,87.00,15.00
2026-05-12T14:25:00Z,86.06,15.00
2026-05-12T14:26:00Z,88.00,15.00
2026-05-12T14:27:00Z,88.00,13.00
2026-05-12T14:28:00Z,88.00,13.00
2026-05-12T14:29:00Z,88.00,13.00
2026-05-12T14:30:00Z,88.01,12.00
2026-05-12T14:31:00Z,88.01,12.00
2026-05-12T14:32:00Z,89.02,12.00
2026-05-12T14:33:00Z,89.00,12.00
2026-05-12T14:34:00Z,88.00,12.17
2026-05-12T14:35:00Z,88.00,13.00
2026-05-12T14:36:00Z,88.80,13.00
2026-05-12T14:37:00Z,88.80,13.08
2026-05-12T14:38:00Z,87.04,12.00
2026-05-12T14:39:00Z,87.04,11.00
2026-05-12T14:40:00Z,90.00,11.00
2026-05-12T14:41:00Z,90.00,10.78
2026-05-12T14:42:00Z,91.00,10.00
2026-05-12T14:43:00Z,91.00,9.79
2026-05-12T14:44:00Z,92.00,9.02
2026-05-12T14:45:00Z,92.00,9.00
2026-05-12T14:46:00Z,92.00,9.00
2026-05-12T14:47:00Z,91.19,9.21
2026-05-12T14:48:00Z,90.02,10.00
2026-05-12T14:49:00Z,89.30,10.68
2026-05-12T14:50:00Z,86.00,14.25
2026-05-12T14:51:00Z,85.25,15.02
2026-05-12T14:52:00Z,82.10,16.91
2026-05-12T14:53:00Z,80.01,20.58
2026-05-12T14:54:00Z,83.85,18.85
2026-05-12T14:55:00Z,87.26,16.63
2026-05-12T14:56:00Z,86.20,14.30
2026-05-12T14:57:00Z,88.69,11.24
2026-05-12T14:58:00Z,87.00,13.52
2026-05-12T14:59:00Z,89.92,12.23
2026-05-12T15:00:00Z,91.00,9.97
2026-05-12T15:01:00Z,92.01,8.88
2026-05-12T15:02:00Z,94.76,5.59
2026-05-12T15:03:00Z,91.75,9.03
2026-05-12T15:04:00Z,87.36,11.98
2026-05-12T15:05:00Z,88.34,12.68
2026-05-12T15:06:00Z,79.87,21.70
2026-05-12T15:07:00Z,77.00,23.66
2026-05-12T15:08:00Z,74.52,25.31
2026-05-12T15:09:00Z,76.83,24.09
2026-05-12T15:10:00Z,72.97,27.39
2026-05-12T15:11:00Z,72.24,29.19
2026-05-12T15:12:00Z,72.79,28.87
2026-05-12T15:13:00Z,73.00,27.00
2026-05-12T15:14:00Z,73.00,26.87
2026-05-12T15:15:00Z,76.40,22.95
2026-05-12T15:16:00Z,85.44,14.07
2026-05-12T15:17:00Z,84.61,15.62
2026-05-12T15:18:00Z,88.42,12.54
2026-05-12T15:19:00Z,90.52,12.48
2026-05-12T15:20:00Z,89.82,12.19
2026-05-12T15:21:00Z,92.00,8.49
2026-05-12T15:22:00Z,91.82,8.78
2026-05-12T15:23:00Z,93.15,7.13
2026-05-12T15:24:00Z,91.00,9.33
2026-05-12T15:25:00Z,89.69,11.72
2026-05-12T15:26:00Z,88.07,11.87
2026-05-12T15:27:00Z,88.79,10.69
2026-05-12T15:28:00Z,90.98,9.68
2026-05-12T15:29:00Z,91.36,9.15
2026-05-12T15:30:00Z,94.88,7.36
2026-05-12T15:31:00Z,91.94,9.18
2026-05-12T15:32:00Z,89.04,11.80
2026-05-12T15:33:00Z,86.39,13.48
2026-05-12T15:34:00Z,81.13,20.88
2026-05-12T15:35:00Z,82.55,17.45
2026-05-12T15:36:00Z,80.28,20.93
2026-05-12T15:37:00Z,76.06,26.41
2026-05-12T15:38:00Z,66.12,33.75
2026-05-12T15:39:00Z,65.20,34.94
2026-05-12T15:40:00Z,63.57,34.99
2026-05-12T15:41:00Z,64.00,35.06
2026-05-12T15:42:00Z,63.98,35.55
