# event_ticker=KXATPCHALLENGERMATCH-26MAR25MOCFIC
# final_score=6-7(3) 6-4 6-1
# score_resolution=7-6 4-6 1-6
# match_winner=Juan Pablo Ficovich
# fav_player=Shintaro Mochizuki
# dog_player=Juan Pablo Ficovich
# kalshi_date=2026-03-25
timestamp,Shintaro Mochizuki,Juan Pablo Ficovich
2026-03-25T09:41:00Z,66.00,
2026-03-25T10:10:00Z,65.00,
2026-03-25T10:58:00Z,65.00,
2026-03-25T11:01:00Z,64.00,
2026-03-25T11:03:00Z,64.00,
2026-03-25T12:55:00Z,64.00,
2026-03-25T13:05:00Z,61.56,
2026-03-25T13:34:00Z,61.56,38.00
2026-03-25T13:53:00Z,61.56,41.91
2026-03-25T14:34:00Z,60.00,41.91
2026-03-25T14:44:00Z,59.00,41.91
2026-03-25T15:32:00Z,59.00,42.70
2026-03-25T15:33:00Z,59.00,43.00
2026-03-25T15:36:00Z,59.00,43.00
2026-03-25T15:56:00Z,59.00,43.00
2026-03-25T15:57:00Z,59.00,43.00
2026-03-25T15:58:00Z,59.00,43.00
2026-03-25T16:00:00Z,59.00,43.00
2026-03-25T16:15:00Z,59.00,43.00
2026-03-25T16:37:00Z,60.00,43.00
2026-03-25T16:41:00Z,60.00,43.00
2026-03-25T16:48:00Z,60.00,41.00
2026-03-25T16:55:00Z,60.00,43.00
2026-03-25T16:59:00Z,60.00,41.01
2026-03-25T17:02:00Z,60.00,43.00
2026-03-25T17:07:00Z,60.00,43.00
2026-03-25T17:11:00Z,60.00,43.00
2026-03-25T17:22:00Z,60.00,43.00
2026-03-25T17:27:00Z,60.00,43.00
2026-03-25T17:29:00Z,60.00,43.00
2026-03-25T17:35:00Z,60.00,40.91
2026-03-25T17:42:00Z,60.00,40.91
2026-03-25T17:51:00Z,60.00,40.91
2026-03-25T17:52:00Z,60.00,40.91
2026-03-25T17:57:00Z,60.00,40.91
2026-03-25T18:00:00Z,60.00,40.91
2026-03-25T18:07:00Z,60.00,41.00
2026-03-25T18:26:00Z,60.00,41.00
2026-03-25T18:27:00Z,60.00,40.00
2026-03-25T18:44:00Z,59.00,40.00
2026-03-25T18:59:00Z,59.00,42.00
2026-03-25T19:00:00Z,60.00,42.00
2026-03-25T19:27:00Z,60.00,42.00
2026-03-25T19:35:00Z,60.00,41.00
2026-03-25T19:45:00Z,60.00,41.00
2026-03-25T19:47:00Z,59.00,41.00
2026-03-25T19:49:00Z,60.00,41.00
2026-03-25T19:58:00Z,60.61,41.00
2026-03-25T20:00:00Z,60.00,41.00
2026-03-25T20:15:00Z,60.00,41.00
2026-03-25T20:20:00Z,61.00,41.00
2026-03-25T20:21:00Z,61.00,41.00
2026-03-25T20:22:00Z,61.00,41.00
2026-03-25T20:24:00Z,61.00,41.00
2026-03-25T20:25:00Z,61.00,41.00
2026-03-25T20:26:00Z,61.00,39.83
2026-03-25T20:27:00Z,61.00,40.00
2026-03-25T20:28:00Z,60.07,40.40
2026-03-25T20:29:00Z,60.44,40.40
2026-03-25T20:30:00Z,60.54,40.40
2026-03-25T20:31:00Z,60.54,42.00
2026-03-25T20:32:00Z,60.84,42.58
2026-03-25T20:34:00Z,60.54,41.96
2026-03-25T20:35:00Z,60.00,41.96
2026-03-25T20:39:00Z,60.92,41.96
2026-03-25T20:42:00Z,60.00,41.96
2026-03-25T20:43:00Z,60.12,41.96
2026-03-25T20:45:00Z,60.00,41.96
2026-03-25T20:46:00Z,60.00,42.00
2026-03-25T20:47:00Z,60.00,42.00
2026-03-25T20:48:00Z,60.00,42.00
2026-03-25T20:50:00Z,60.00,42.00
2026-03-25T20:51:00Z,60.00,42.00
2026-03-25T20:52:00Z,60.00,42.00
2026-03-25T20:55:00Z,60.85,42.00
2026-03-25T20:57:00Z,60.00,42.00
2026-03-25T20:58:00Z,60.00,42.00
2026-03-25T20:59:00Z,60.00,42.00
2026-03-25T21:00:00Z,60.00,42.00
2026-03-25T21:01:00Z,60.00,42.00
2026-03-25T21:02:00Z,60.00,42.00
2026-03-25T21:03:00Z,60.00,42.00
2026-03-25T21:04:00Z,60.00,42.00
2026-03-25T21:05:00Z,60.00,42.00
2026-03-25T21:06:00Z,60.00,42.00
2026-03-25T21:07:00Z,60.00,42.00
2026-03-25T21:08:00Z,60.00,42.00
2026-03-25T21:09:00Z,60.00,42.00
2026-03-25T21:10:00Z,60.00,42.00
2026-03-25T21:11:00Z,59.64,42.00
2026-03-25T21:12:00Z,60.00,42.00
2026-03-25T21:13:00Z,60.00,42.00
2026-03-25T21:14:00Z,60.00,42.00
2026-03-25T21:16:00Z,59.93,42.00
2026-03-25T21:18:00Z,60.00,41.00
2026-03-25T21:19:00Z,59.50,41.00
2026-03-25T21:20:00Z,60.00,41.00
2026-03-25T21:21:00Z,60.00,41.00
2026-03-25T21:22:00Z,60.00,41.00
2026-03-25T21:23:00Z,60.00,41.00
2026-03-25T21:24:00Z,61.06,41.00
2026-03-25T21:25:00Z,61.62,41.24
2026-03-25T21:26:00Z,61.98,41.00
2026-03-25T21:27:00Z,61.80,41.00
2026-03-25T21:28:00Z,62.50,41.06
2026-03-25T21:29:00Z,60.02,41.00
2026-03-25T21:30:00Z,56.01,44.46
2026-03-25T21:31:00Z,56.47,44.81
2026-03-25T21:32:00Z,56.91,43.45
2026-03-25T21:33:00Z,58.55,46.66
2026-03-25T21:34:00Z,45.79,57.21
2026-03-25T21:35:00Z,44.26,54.44
2026-03-25T21:36:00Z,52.19,47.94
2026-03-25T21:37:00Z,51.91,47.62
2026-03-25T21:38:00Z,46.54,51.92
2026-03-25T21:39:00Z,45.76,56.22
