# event_ticker=KXATPCHALLENGERMATCH-26APR07KUZAND
# final_score=7-6(8) 4-6 6-3
# score_resolution=7-6 4-6 6-3
# match_winner=Andy Andrade
# fav_player=Andres Andrade
# dog_player=Bruno Kuzuhara
# kalshi_date=2026-04-07
timestamp,Andres Andrade,Bruno Kuzuhara
2026-04-07T13:28:00Z,79.00,
2026-04-07T15:03:00Z,79.00,21.00
2026-04-07T15:18:00Z,80.00,21.00
2026-04-07T15:59:00Z,81.00,21.00
2026-04-07T16:33:00Z,81.00,21.00
2026-04-07T17:01:00Z,81.00,21.00
2026-04-07T17:13:00Z,81.00,21.00
2026-04-07T17:30:00Z,81.00,21.00
2026-04-07T17:32:00Z,81.06,21.00
2026-04-07T17:41:00Z,81.06,21.00
2026-04-07T17:56:00Z,81.06,21.00
2026-04-07T18:03:00Z,81.06,21.00
2026-04-07T18:08:00Z,81.00,21.00
2026-04-07T18:13:00Z,81.00,21.00
2026-04-07T18:14:00Z,81.00,21.00
2026-04-07T18:15:00Z,80.00,20.56
2026-04-07T18:16:00Z,81.34,16.92
2026-04-07T18:17:00Z,81.00,19.10
2026-04-07T18:18:00Z,80.02,19.88
2026-04-07T18:19:00Z,78.99,23.00
2026-04-07T18:20:00Z,79.00,23.00
2026-04-07T18:21:00Z,81.00,19.00
2026-04-07T18:22:00Z,81.00,19.97
2026-04-07T18:23:00Z,81.00,16.00
2026-04-07T18:24:00Z,84.00,18.06
2026-04-07T18:26:00Z,84.00,19.09
2026-04-07T18:27:00Z,79.00,21.08
2026-04-07T18:28:00Z,79.00,22.74
2026-04-07T18:29:00Z,79.00,23.00
2026-04-07T18:30:00Z,76.00,23.30
2026-04-07T18:31:00Z,68.04,30.93
2026-04-07T18:32:00Z,61.05,37.66
2026-04-07T18:33:00Z,58.69,39.54
2026-04-07T18:34:00Z,55.00,45.80
2026-04-07T18:35:00Z,52.00,47.28
2026-04-07T18:36:00Z,52.00,48.00
2026-04-07T18:37:00Z,50.24,47.16
2026-04-07T18:38:00Z,54.68,48.32
2026-04-07T18:39:00Z,56.04,43.52
2026-04-07T18:40:00Z,58.12,42.65
2026-04-07T18:41:00Z,58.61,42.44
2026-04-07T18:42:00Z,56.00,41.08
2026-04-07T18:43:00Z,66.50,35.00
2026-04-07T18:44:00Z,72.70,27.89
2026-04-07T18:45:00Z,73.00,28.88
2026-04-07T18:46:00Z,73.64,23.67
2026-04-07T18:47:00Z,74.01,23.58
2026-04-07T18:48:00Z,75.31,23.66
2026-04-07T18:49:00Z,76.02,23.07
2026-04-07T18:50:00Z,74.00,27.47
2026-04-07T18:51:00Z,71.75,29.65
2026-04-07T18:52:00Z,70.00,31.00
2026-04-07T18:53:00Z,70.78,29.39
2026-04-07T18:54:00Z,72.19,25.85
2026-04-07T18:55:00Z,72.43,27.57
2026-04-07T18:56:00Z,72.91,26.41
