# event_ticker=KXATPMATCH-26APR15VANCER
# final_score=6-3 6-0
# score_resolution=3-6 0-6
# match_winner=Francisco Cerundolo
# fav_player=Botic Van de Zandschulp
# dog_player=Francisco Cerundolo
# kalshi_date=2026-04-15
timestamp,Botic Van de Zandschulp,Francisco Cerundolo
2026-04-15T21:21:00Z,,73.00
2026-04-15T21:22:00Z,,73.00
2026-04-15T21:25:00Z,,73.00
2026-04-15T21:26:00Z,,73.00
2026-04-15T21:28:00Z,,73.00
2026-04-15T21:31:00Z,,73.00
2026-04-15T21:32:00Z,,73.00
2026-04-15T21:36:00Z,28.00,73.00
2026-04-15T21:38:00Z,28.00,73.00
2026-04-15T21:39:00Z,28.00,73.00
2026-04-15T21:41:00Z,28.00,73.00
2026-04-15T21:42:00Z,28.00,71.00
2026-04-15T21:45:00Z,28.00,73.95
2026-04-15T21:47:00Z,28.00,74.00
2026-04-15T21:53:00Z,28.00,74.00
2026-04-15T22:11:00Z,28.00,74.00
2026-04-15T22:19:00Z,28.00,74.00
2026-04-15T22:28:00Z,28.00,74.00
2026-04-15T22:29:00Z,28.00,74.00
2026-04-15T22:37:00Z,28.00,74.00
2026-04-15T22:47:00Z,28.00,73.00
2026-04-15T22:59:00Z,27.00,74.00
2026-04-15T23:00:00Z,27.00,74.00
2026-04-15T23:04:00Z,27.00,74.00
2026-04-15T23:12:00Z,27.00,74.00
2026-04-15T23:14:00Z,27.00,74.00
2026-04-15T23:22:00Z,27.00,74.00
2026-04-15T23:24:00Z,27.00,72.00
2026-04-15T23:33:00Z,27.00,74.00
2026-04-15T23:41:00Z,27.00,74.00
2026-04-15T23:59:00Z,27.00,72.00
2026-04-16T00:09:00Z,28.00,74.00
2026-04-16T00:10:00Z,28.00,74.00
2026-04-16T00:13:00Z,28.00,74.00
2026-04-16T00:26:00Z,28.00,74.00
2026-04-16T00:41:00Z,28.00,74.00
2026-04-16T00:43:00Z,28.00,74.00
2026-04-16T00:44:00Z,28.00,74.00
2026-04-16T00:45:00Z,28.00,74.00
2026-04-16T00:46:00Z,28.00,74.00
2026-04-16T00:47:00Z,26.00,74.00
2026-04-16T00:50:00Z,26.00,74.00
2026-04-16T00:51:00Z,28.00,74.00
2026-04-16T00:53:00Z,28.00,74.00
2026-04-16T00:58:00Z,28.00,74.00
2026-04-16T01:01:00Z,28.00,74.00
2026-04-16T01:17:00Z,28.00,74.00
2026-04-16T01:19:00Z,28.00,74.00
2026-04-16T01:27:00Z,26.26,74.00
2026-04-16T01:30:00Z,26.26,74.00
2026-04-16T01:31:00Z,27.00,74.00
2026-04-16T01:32:00Z,25.00,74.00
2026-04-16T01:33:00Z,27.00,74.00
2026-04-16T01:42:00Z,27.00,74.00
2026-04-16T01:50:00Z,25.00,74.00
2026-04-16T01:52:00Z,27.00,74.00
2026-04-16T01:56:00Z,27.00,74.61
2026-04-16T02:00:00Z,27.00,75.00
2026-04-16T02:01:00Z,27.00,75.00
2026-04-16T02:07:00Z,27.00,75.00
2026-04-16T02:16:00Z,27.00,75.00
2026-04-16T02:17:00Z,27.00,75.00
2026-04-16T02:18:00Z,27.00,75.00
2026-04-16T02:19:00Z,27.00,75.00
2026-04-16T02:22:00Z,27.00,75.00
2026-04-16T02:27:00Z,27.00,75.00
2026-04-16T02:30:00Z,27.00,75.00
2026-04-16T02:32:00Z,27.00,75.00
2026-04-16T02:33:00Z,27.00,75.00
2026-04-16T02:37:00Z,27.00,75.00
2026-04-16T02:38:00Z,27.00,75.00
2026-04-16T02:46:00Z,27.00,75.03
2026-04-16T02:49:00Z,27.00,74.00
2026-04-16T02:50:00Z,27.00,75.00
2026-04-16T02:53:00Z,27.00,76.00
2026-04-16T02:56:00Z,26.00,76.00
2026-04-16T02:59:00Z,26.00,76.00
2026-04-16T03:02:00Z,26.00,76.00
2026-04-16T03:04:00Z,26.00,76.00
2026-04-16T03:06:00Z,26.00,76.00
2026-04-16T03:09:00Z,26.00,76.00
2026-04-16T03:10:00Z,26.00,76.00
2026-04-16T03:22:00Z,26.00,76.00
2026-04-16T03:24:00Z,26.00,76.00
2026-04-16T03:26:00Z,26.00,76.00
2026-04-16T03:30:00Z,26.00,76.00
2026-04-16T03:33:00Z,26.00,76.00
2026-04-16T03:37:00Z,26.00,76.00
2026-04-16T03:43:00Z,26.00,76.00
2026-04-16T03:45:00Z,26.00,76.00
2026-04-16T03:56:00Z,26.00,76.00
2026-04-16T04:00:00Z,26.00,76.00
2026-04-16T04:02:00Z,26.00,76.00
2026-04-16T04:04:00Z,26.00,76.00
2026-04-16T04:08:00Z,26.00,76.00
2026-04-16T04:09:00Z,26.00,76.00
2026-04-16T04:11:00Z,26.00,76.00
2026-04-16T04:14:00Z,26.00,75.00
2026-04-16T04:15:00Z,26.00,75.00
2026-04-16T04:16:00Z,26.00,75.00
2026-04-16T04:17:00Z,26.00,75.00
2026-04-16T04:23:00Z,26.00,75.00
2026-04-16T04:24:00Z,26.00,75.00
2026-04-16T04:29:00Z,26.00,74.56
2026-04-16T04:35:00Z,26.00,74.56
2026-04-16T04:37:00Z,26.00,75.00
2026-04-16T04:38:00Z,26.00,75.00
2026-04-16T04:41:00Z,26.00,75.49
2026-04-16T04:44:00Z,26.00,76.00
2026-04-16T04:46:00Z,26.00,75.99
2026-04-16T04:47:00Z,26.00,75.00
2026-04-16T04:48:00Z,26.00,75.00
2026-04-16T04:49:00Z,26.00,75.00
2026-04-16T04:50:00Z,26.00,75.00
2026-04-16T04:51:00Z,26.00,75.00
2026-04-16T04:52:00Z,26.00,75.00
2026-04-16T04:53:00Z,26.00,75.00
2026-04-16T04:54:00Z,26.00,75.00
2026-04-16T04:55:00Z,26.00,75.00
2026-04-16T04:56:00Z,26.00,75.00
2026-04-16T04:58:00Z,26.00,76.00
2026-04-16T04:59:00Z,26.00,76.00
2026-04-16T05:00:00Z,26.00,76.00
2026-04-16T05:01:00Z,26.00,76.00
2026-04-16T05:02:00Z,26.00,76.00
2026-04-16T05:04:00Z,26.00,76.00
2026-04-16T05:05:00Z,26.00,76.00
2026-04-16T05:06:00Z,26.00,76.59
2026-04-16T05:07:00Z,26.00,76.00
2026-04-16T05:08:00Z,26.00,76.00
2026-04-16T05:10:00Z,26.00,76.00
2026-04-16T05:12:00Z,26.00,76.00
2026-04-16T05:16:00Z,26.00,76.00
2026-04-16T05:17:00Z,25.00,76.00
2026-04-16T05:18:00Z,26.00,76.00
2026-04-16T05:19:00Z,26.00,76.00
2026-04-16T05:20:00Z,26.00,76.00
2026-04-16T05:21:00Z,26.00,76.00
2026-04-16T05:22:00Z,26.00,76.00
2026-04-16T05:23:00Z,26.00,76.52
2026-04-16T05:25:00Z,26.00,76.00
2026-04-16T05:26:00Z,26.00,76.00
2026-04-16T05:27:00Z,26.00,76.00
2026-04-16T05:28:00Z,25.00,76.00
2026-04-16T05:29:00Z,25.00,76.00
2026-04-16T05:30:00Z,25.00,76.00
2026-04-16T05:32:00Z,25.00,76.00
2026-04-16T05:33:00Z,25.00,76.00
2026-04-16T05:34:00Z,25.00,76.00
2026-04-16T05:35:00Z,25.00,76.00
2026-04-16T05:36:00Z,25.00,76.00
2026-04-16T05:38:00Z,25.00,76.00
2026-04-16T05:40:00Z,25.00,76.00
2026-04-16T05:41:00Z,25.00,76.00
2026-04-16T05:42:00Z,25.00,76.00
2026-04-16T05:43:00Z,25.00,76.00
2026-04-16T05:44:00Z,25.00,76.00
2026-04-16T05:46:00Z,25.00,76.00
2026-04-16T05:47:00Z,25.00,76.00
2026-04-16T05:48:00Z,25.00,76.00
2026-04-16T05:49:00Z,26.00,76.00
2026-04-16T05:50:00Z,26.00,76.00
2026-04-16T05:51:00Z,26.00,76.00
2026-04-16T05:52:00Z,26.00,76.00
2026-04-16T05:53:00Z,26.00,76.00
2026-04-16T05:56:00Z,26.00,76.00
2026-04-16T05:57:00Z,26.00,76.00
2026-04-16T05:58:00Z,25.00,76.00
2026-04-16T05:59:00Z,25.00,76.00
2026-04-16T06:01:00Z,25.00,77.00
2026-04-16T06:02:00Z,25.00,77.00
2026-04-16T06:06:00Z,25.00,77.00
2026-04-16T06:07:00Z,25.00,77.00
2026-04-16T06:11:00Z,25.00,77.00
2026-04-16T06:13:00Z,25.00,77.00
2026-04-16T06:16:00Z,25.00,77.00
2026-04-16T06:17:00Z,25.00,76.00
2026-04-16T06:18:00Z,25.00,76.19
2026-04-16T06:19:00Z,25.00,76.14
2026-04-16T06:22:00Z,25.00,76.00
2026-04-16T06:23:00Z,25.00,76.00
2026-04-16T06:24:00Z,25.00,74.00
2026-04-16T06:25:00Z,25.89,74.00
2026-04-16T06:26:00Z,25.89,75.92
2026-04-16T06:27:00Z,26.00,75.00
2026-04-16T06:29:00Z,26.00,75.30
2026-04-16T06:30:00Z,26.00,76.00
2026-04-16T06:33:00Z,26.00,75.00
2026-04-16T06:34:00Z,26.00,75.00
2026-04-16T06:35:00Z,26.00,75.00
2026-04-16T06:36:00Z,26.00,75.00
2026-04-16T06:37:00Z,26.00,75.00
2026-04-16T06:38:00Z,26.00,75.00
2026-04-16T06:40:00Z,26.00,75.00
2026-04-16T06:42:00Z,26.00,75.00
2026-04-16T06:43:00Z,26.00,75.00
2026-04-16T06:45:00Z,26.00,74.00
2026-04-16T06:48:00Z,26.00,75.00
2026-04-16T06:50:00Z,26.00,75.00
2026-04-16T06:51:00Z,26.00,75.00
2026-04-16T06:52:00Z,26.00,75.00
2026-04-16T06:53:00Z,26.00,75.00
2026-04-16T06:54:00Z,26.00,75.00
2026-04-16T06:56:00Z,26.85,75.00
2026-04-16T06:57:00Z,26.85,75.00
2026-04-16T06:58:00Z,26.85,75.00
2026-04-16T06:59:00Z,26.85,75.00
2026-04-16T09:01:00Z,27.00,75.00
2026-04-16T09:02:00Z,26.61,75.91
2026-04-16T09:03:00Z,27.00,76.00
2026-04-16T09:04:00Z,27.00,76.00
2026-04-16T09:05:00Z,27.00,76.76
2026-04-16T09:06:00Z,27.00,76.00
2026-04-16T09:07:00Z,26.00,76.96
2026-04-16T09:08:00Z,25.22,77.00
2026-04-16T09:09:00Z,26.00,76.96
2026-04-16T09:10:00Z,26.00,75.00
2026-04-16T09:11:00Z,26.00,75.70
2026-04-16T09:12:00Z,26.00,75.00
2026-04-16T09:13:00Z,24.79,75.70
2026-04-16T09:14:00Z,28.24,74.59
2026-04-16T09:15:00Z,28.54,72.39
2026-04-16T09:16:00Z,29.13,72.71
2026-04-16T09:17:00Z,28.71,74.00
2026-04-16T09:18:00Z,28.00,73.00
2026-04-16T09:19:00Z,29.04,72.99
2026-04-16T09:20:00Z,28.93,75.00
2026-04-16T09:21:00Z,27.23,74.08
2026-04-16T09:22:00Z,22.66,77.01
2026-04-16T09:23:00Z,19.63,81.36
2026-04-16T09:24:00Z,19.77,81.59
2026-04-16T09:25:00Z,17.00,83.56
2026-04-16T09:26:00Z,18.00,83.84
2026-04-16T09:27:00Z,19.43,83.26
2026-04-16T09:28:00Z,25.93,78.00
2026-04-16T09:29:00Z,24.29,78.93
2026-04-16T09:30:00Z,23.71,80.71
2026-04-16T09:31:00Z,19.34,82.37
2026-04-16T09:32:00Z,19.45,83.21
2026-04-16T09:33:00Z,16.96,84.88
2026-04-16T09:34:00Z,16.54,85.00
2026-04-16T09:35:00Z,18.11,83.52
2026-04-16T09:36:00Z,20.05,81.89
2026-04-16T09:37:00Z,19.18,81.52
2026-04-16T09:38:00Z,14.41,86.35
2026-04-16T09:39:00Z,15.81,86.17
2026-04-16T09:40:00Z,15.78,85.66
2026-04-16T09:41:00Z,17.00,86.00
2026-04-16T09:42:00Z,17.09,84.75
2026-04-16T09:43:00Z,19.63,83.79
2026-04-16T09:44:00Z,14.32,85.00
2026-04-16T09:45:00Z,14.34,86.33
2026-04-16T09:46:00Z,13.00,89.00
2026-04-16T09:47:00Z,12.43,88.39
2026-04-16T09:48:00Z,12.93,87.07
2026-04-16T09:49:00Z,12.90,88.78
2026-04-16T09:50:00Z,13.04,87.27
2026-04-16T09:51:00Z,13.00,89.00
2026-04-16T09:52:00Z,11.79,90.29
2026-04-16T09:53:00Z,9.29,91.56
2026-04-16T09:54:00Z,9.10,91.52
2026-04-16T09:55:00Z,9.90,91.93
2026-04-16T09:56:00Z,11.28,92.03
2026-04-16T09:57:00Z,7.27,93.95
2026-04-16T09:58:00Z,7.74,93.96
2026-04-16T09:59:00Z,7.85,92.06
2026-04-16T10:00:00Z,5.58,94.99
2026-04-16T10:01:00Z,7.99,93.13
2026-04-16T10:02:00Z,7.73,94.00
2026-04-16T10:03:00Z,6.14,95.97
2026-04-16T10:04:00Z,3.76,95.34
2026-04-16T10:05:00Z,2.10,98.02
2026-04-16T10:06:00Z,2.01,97.31
2026-04-16T10:07:00Z,2.50,98.04
2026-04-16T10:08:00Z,2.11,98.00
2026-04-16T10:09:00Z,1.48,99.00
2026-04-16T10:10:00Z,1.11,99.00
2026-04-16T10:11:00Z,1.00,99.00
2026-04-16T10:12:00Z,2.00,99.00
2026-04-16T10:13:00Z,2.00,99.00
2026-04-16T10:14:00Z,2.00,99.00
2026-04-16T10:15:00Z,1.00,99.00
2026-04-16T10:16:00Z,1.00,99.00
2026-04-16T10:18:00Z,1.00,99.00
