# event_ticker=KXATPMATCH-26MAY11BELLAN
# final_score=6-4 6-3
# score_resolution=4-6 3-6
# match_winner=Martin Landaluce
# fav_player=Mattia Bellucci
# dog_player=Martin Landaluce
# kalshi_date=2026-05-11
timestamp,Mattia Bellucci,Martin Landaluce
2026-05-10T21:33:00Z,,49.00
2026-05-10T21:34:00Z,,49.72
2026-05-10T21:37:00Z,52.00,49.72
2026-05-10T21:46:00Z,52.00,48.00
2026-05-10T21:52:00Z,52.00,48.00
2026-05-10T22:01:00Z,52.00,50.00
2026-05-10T22:06:00Z,52.00,50.00
2026-05-10T22:10:00Z,52.00,50.00
2026-05-10T22:13:00Z,52.00,50.00
2026-05-10T22:14:00Z,52.00,49.00
2026-05-10T22:24:00Z,52.00,50.00
2026-05-10T22:25:00Z,52.00,50.00
2026-05-10T22:27:00Z,52.00,50.00
2026-05-10T22:31:00Z,52.00,50.00
2026-05-10T22:41:00Z,52.00,50.00
2026-05-10T22:44:00Z,52.00,50.00
2026-05-10T22:45:00Z,52.00,50.00
2026-05-10T22:46:00Z,52.00,50.00
2026-05-10T22:51:00Z,52.00,50.00
2026-05-10T22:52:00Z,52.00,50.00
2026-05-10T22:53:00Z,52.00,48.00
2026-05-10T22:58:00Z,52.00,49.00
2026-05-10T23:02:00Z,52.00,49.00
2026-05-10T23:09:00Z,52.00,49.00
2026-05-10T23:11:00Z,52.00,49.00
2026-05-10T23:12:00Z,52.00,49.00
2026-05-10T23:16:00Z,52.00,49.00
2026-05-10T23:17:00Z,52.00,49.00
2026-05-10T23:18:00Z,50.15,50.00
2026-05-10T23:34:00Z,52.00,50.00
2026-05-10T23:36:00Z,52.00,50.00
2026-05-10T23:46:00Z,52.00,50.00
2026-05-10T23:47:00Z,52.00,50.00
2026-05-10T23:56:00Z,52.00,50.00
2026-05-11T00:01:00Z,52.00,50.00
2026-05-11T00:05:00Z,52.00,50.00
2026-05-11T00:10:00Z,52.00,50.00
2026-05-11T00:18:00Z,52.00,50.00
2026-05-11T00:24:00Z,52.00,50.00
2026-05-11T00:25:00Z,52.00,48.11
2026-05-11T00:30:00Z,52.00,49.00
2026-05-11T00:35:00Z,52.00,49.00
2026-05-11T00:43:00Z,52.00,49.00
2026-05-11T00:44:00Z,52.00,49.00
2026-05-11T00:46:00Z,52.00,49.00
2026-05-11T01:10:00Z,52.00,49.00
2026-05-11T01:11:00Z,52.99,47.00
2026-05-11T01:15:00Z,53.00,47.00
2026-05-11T01:26:00Z,53.00,47.00
2026-05-11T01:27:00Z,53.00,49.00
2026-05-11T01:28:00Z,53.00,49.00
2026-05-11T01:31:00Z,53.00,49.00
2026-05-11T01:34:00Z,53.00,49.00
2026-05-11T01:37:00Z,53.00,49.00
2026-05-11T01:38:00Z,53.00,49.00
2026-05-11T01:39:00Z,53.00,49.00
2026-05-11T01:44:00Z,53.00,49.00
2026-05-11T01:45:00Z,53.00,49.00
2026-05-11T01:48:00Z,53.00,49.00
2026-05-11T01:49:00Z,53.00,49.00
2026-05-11T01:51:00Z,53.00,49.00
2026-05-11T01:55:00Z,53.00,49.00
2026-05-11T02:02:00Z,53.00,48.00
2026-05-11T02:05:00Z,53.00,48.00
2026-05-11T02:07:00Z,53.00,49.00
2026-05-11T02:09:00Z,53.00,49.00
2026-05-11T02:10:00Z,53.00,49.00
2026-05-11T02:11:00Z,53.00,49.00
2026-05-11T02:13:00Z,53.00,49.00
2026-05-11T02:15:00Z,53.00,49.00
2026-05-11T02:17:00Z,53.00,49.00
2026-05-11T02:18:00Z,53.00,49.00
2026-05-11T02:20:00Z,53.00,49.00
2026-05-11T02:21:00Z,53.00,49.00
2026-05-11T02:22:00Z,53.00,49.00
2026-05-11T02:23:00Z,53.00,49.00
2026-05-11T02:24:00Z,53.00,49.00
2026-05-11T02:26:00Z,53.00,49.00
2026-05-11T02:27:00Z,53.00,49.00
