# event_ticker=KXATPMATCH-26MAR04MONGAL
# final_score=6-3 6-4
# score_resolution=3-6 4-6
# match_winner=Gael Monfils
# fav_player=Alexis Galarneau
# dog_player=Gael Monfils
# kalshi_date=2026-03-04
timestamp,Alexis Galarneau,Gael Monfils
2026-03-04T14:03:00Z,42.00,
2026-03-04T14:18:00Z,42.00,60.00
2026-03-04T14:23:00Z,42.00,60.00
2026-03-04T14:24:00Z,42.00,60.00
2026-03-04T14:26:00Z,42.00,60.00
2026-03-04T14:28:00Z,42.00,60.00
2026-03-04T14:33:00Z,42.00,60.00
2026-03-04T14:35:00Z,41.00,60.00
2026-03-04T15:16:00Z,41.00,60.00
2026-03-04T15:23:00Z,41.00,60.00
2026-03-04T15:28:00Z,41.00,60.00
2026-03-04T15:30:00Z,41.00,60.00
2026-03-04T16:12:00Z,41.00,61.00
2026-03-04T16:13:00Z,41.00,61.00
2026-03-04T16:14:00Z,41.00,61.00
2026-03-04T16:17:00Z,41.00,61.00
2026-03-04T16:20:00Z,41.00,61.00
2026-03-04T16:27:00Z,41.00,61.00
2026-03-04T16:32:00Z,41.00,61.00
2026-03-04T16:35:00Z,41.00,61.00
2026-03-04T16:36:00Z,41.00,61.00
2026-03-04T16:38:00Z,41.00,61.00
2026-03-04T16:41:00Z,41.00,61.00
2026-03-04T16:43:00Z,41.00,61.00
2026-03-04T16:57:00Z,40.00,61.00
2026-03-04T17:03:00Z,40.00,61.00
2026-03-04T17:08:00Z,38.15,61.00
2026-03-04T17:16:00Z,38.15,60.00
2026-03-04T17:20:00Z,38.15,60.81
2026-03-04T17:29:00Z,38.15,61.00
2026-03-04T17:40:00Z,38.15,61.00
2026-03-04T17:44:00Z,38.15,60.03
2026-03-04T17:59:00Z,38.15,61.00
2026-03-04T18:04:00Z,38.15,61.00
2026-03-04T18:06:00Z,40.00,61.00
2026-03-04T18:08:00Z,41.00,61.00
2026-03-04T18:09:00Z,41.00,61.00
2026-03-04T18:10:00Z,41.00,61.00
2026-03-04T18:18:00Z,41.00,61.00
2026-03-04T18:32:00Z,41.00,61.00
2026-03-04T18:33:00Z,41.00,61.00
2026-03-04T18:34:00Z,41.00,61.00
2026-03-04T18:36:00Z,41.00,61.00
2026-03-04T18:41:00Z,41.00,61.00
2026-03-04T18:45:00Z,41.00,61.00
2026-03-04T18:52:00Z,41.00,61.00
2026-03-04T19:05:00Z,41.00,61.00
2026-03-04T19:07:00Z,41.00,61.00
2026-03-04T19:13:00Z,41.00,61.00
