# event_ticker=KXATPMATCH-25JUL16YMEDAR
# final_score=6-2 6-2
# score_resolution=2-6 2-6
# match_winner=Luciano Darderi
# fav_player=Elias Ymer
# dog_player=Luciano Darderi
# kalshi_date=2025-07-16
timestamp,Elias Ymer,Luciano Darderi
2025-07-16T05:07:00Z,,81.00
2025-07-16T06:08:00Z,29.50,81.00
2025-07-16T06:10:00Z,29.50,78.00
2025-07-16T06:36:00Z,29.50,78.00
2025-07-16T06:51:00Z,29.50,78.28
2025-07-16T12:01:00Z,24.00,78.28
2025-07-16T12:20:00Z,24.00,78.00
2025-07-16T12:33:00Z,24.00,78.00
2025-07-16T13:07:00Z,23.00,79.00
2025-07-16T13:10:00Z,24.00,79.00
2025-07-16T13:34:00Z,24.00,78.00
2025-07-16T13:36:00Z,24.00,77.00
2025-07-16T13:37:00Z,24.00,77.00
2025-07-16T13:43:00Z,24.00,77.00
2025-07-16T13:46:00Z,24.00,77.00
2025-07-16T13:47:00Z,24.00,77.46
2025-07-16T13:57:00Z,24.00,77.46
2025-07-16T14:02:00Z,24.00,78.00
2025-07-16T14:05:00Z,24.27,78.00
2025-07-16T14:10:00Z,24.48,78.00
2025-07-16T14:22:00Z,40.00,78.00
2025-07-16T14:24:00Z,40.00,79.23
2025-07-16T14:29:00Z,40.00,78.00
2025-07-16T14:31:00Z,40.00,78.00
2025-07-16T14:32:00Z,25.00,78.00
2025-07-16T14:36:00Z,25.00,78.00
2025-07-16T14:39:00Z,25.00,78.00
2025-07-16T15:08:00Z,22.00,78.00
2025-07-16T15:11:00Z,22.00,78.00
2025-07-16T15:16:00Z,24.00,78.00
2025-07-16T15:18:00Z,24.00,79.00
2025-07-16T15:29:00Z,24.00,79.00
2025-07-16T15:32:00Z,37.05,79.00
2025-07-16T15:35:00Z,24.00,79.00
2025-07-16T15:38:00Z,24.00,79.00
2025-07-16T15:39:00Z,23.00,79.00
2025-07-16T15:40:00Z,23.00,79.00
2025-07-16T15:41:00Z,23.00,80.00
2025-07-16T15:42:00Z,35.08,78.04
2025-07-16T15:43:00Z,25.00,80.00
2025-07-16T15:45:00Z,38.00,75.00
2025-07-16T15:46:00Z,41.68,79.00
2025-07-16T15:47:00Z,25.07,79.00
2025-07-16T15:48:00Z,25.07,79.91
2025-07-16T15:49:00Z,25.00,79.91
2025-07-16T15:50:00Z,30.36,78.00
2025-07-16T15:51:00Z,39.92,78.00
2025-07-16T15:52:00Z,14.73,81.27
2025-07-16T15:55:00Z,14.73,88.00
2025-07-16T15:56:00Z,16.00,88.00
2025-07-16T15:57:00Z,16.00,88.00
2025-07-16T15:58:00Z,15.00,88.00
2025-07-16T15:59:00Z,12.50,88.00
2025-07-16T16:00:00Z,11.48,88.00
2025-07-16T16:01:00Z,8.39,92.00
2025-07-16T16:03:00Z,9.64,92.00
2025-07-16T16:04:00Z,10.00,92.00
2025-07-16T16:05:00Z,10.00,94.50
2025-07-16T16:06:00Z,10.00,92.68
2025-07-16T16:07:00Z,8.00,94.00
2025-07-16T16:08:00Z,10.00,93.00
2025-07-16T16:09:00Z,10.00,93.00
2025-07-16T16:10:00Z,10.00,94.00
2025-07-16T16:11:00Z,9.20,94.00
2025-07-16T16:12:00Z,9.00,94.00
2025-07-16T16:14:00Z,8.00,94.00
2025-07-16T16:17:00Z,8.00,95.00
2025-07-16T16:18:00Z,5.01,96.18
2025-07-16T16:19:00Z,5.00,94.00
2025-07-16T16:20:00Z,5.00,94.00
2025-07-16T16:21:00Z,6.08,95.00
2025-07-16T16:22:00Z,3.00,97.01
2025-07-16T16:23:00Z,3.00,97.01
2025-07-16T16:24:00Z,4.38,97.01
2025-07-16T16:28:00Z,5.00,97.01
2025-07-16T16:30:00Z,5.00,97.00
2025-07-16T16:31:00Z,4.00,97.00
2025-07-16T16:32:00Z,1.00,97.83
2025-07-16T16:34:00Z,1.00,97.83
2025-07-16T16:38:00Z,1.00,99.00
2025-07-16T16:40:00Z,1.00,99.00
2025-07-16T16:41:00Z,1.00,99.00
2025-07-16T16:43:00Z,1.00,99.00
2025-07-16T16:47:00Z,1.00,99.00
2025-07-16T16:48:00Z,1.00,99.00
2025-07-16T16:49:00Z,1.00,99.00
2025-07-16T16:55:00Z,1.00,99.00
