# event_ticker=KXATPCHALLENGERMATCH-26FEB27DAMCAD
# final_score=6-2 6-3
# match_winner=Miguel Damas
# fav_player=Miguel Damas
# dog_player=Gianluca Cadenasso
# kalshi_date=2026-02-27
timestamp,Miguel Damas,Gianluca Cadenasso
2026-02-27T03:33:00Z,,58.00
2026-02-27T03:58:00Z,,58.00
2026-02-27T04:07:00Z,,58.00
2026-02-27T05:02:00Z,45.00,58.00
2026-02-27T05:03:00Z,45.00,58.00
2026-02-27T05:24:00Z,45.00,58.00
2026-02-27T05:35:00Z,41.00,58.00
2026-02-27T05:43:00Z,45.00,58.00
2026-02-27T05:58:00Z,45.82,58.00
2026-02-27T05:59:00Z,45.82,58.00
2026-02-27T06:09:00Z,45.00,58.00
2026-02-27T06:13:00Z,45.00,58.00
2026-02-27T06:22:00Z,45.00,58.00
2026-02-27T06:34:00Z,44.51,58.00
2026-02-27T06:56:00Z,44.51,58.00
2026-02-27T07:10:00Z,44.00,58.00
2026-02-27T07:17:00Z,44.00,58.00
2026-02-27T07:18:00Z,44.00,58.00
2026-02-27T07:30:00Z,44.00,58.00
2026-02-27T07:49:00Z,44.00,58.00
2026-02-27T07:50:00Z,44.00,58.00
2026-02-27T09:15:00Z,46.00,55.00
2026-02-27T09:58:00Z,46.00,55.00
2026-02-27T10:39:00Z,46.00,55.00
2026-02-27T11:09:00Z,46.00,55.16
2026-02-27T11:33:00Z,46.00,57.12
2026-02-27T11:39:00Z,43.00,57.12
2026-02-27T11:42:00Z,43.00,57.00
2026-02-27T11:43:00Z,46.00,57.00
2026-02-27T11:49:00Z,46.00,57.00
2026-02-27T11:54:00Z,46.00,56.00
2026-02-27T11:55:00Z,43.00,56.00
2026-02-27T11:59:00Z,45.00,56.00
2026-02-27T12:01:00Z,45.00,58.00
2026-02-27T12:06:00Z,45.00,58.00
2026-02-27T12:30:00Z,45.00,57.00
2026-02-27T12:32:00Z,45.00,57.00
2026-02-27T12:57:00Z,45.00,57.00
2026-02-27T13:01:00Z,45.00,58.00
2026-02-27T13:04:00Z,45.00,58.00
2026-02-27T13:05:00Z,45.00,57.00
2026-02-27T13:06:00Z,45.00,57.00
2026-02-27T13:07:00Z,45.00,57.00
2026-02-27T13:09:00Z,45.00,57.00
2026-02-27T13:10:00Z,45.00,57.05
2026-02-27T13:11:00Z,45.00,58.00
2026-02-27T13:12:00Z,45.00,58.00
2026-02-27T13:13:00Z,45.00,58.00
2026-02-27T13:14:00Z,45.00,58.00
2026-02-27T13:15:00Z,45.00,58.00
2026-02-27T13:16:00Z,45.00,58.00
2026-02-27T13:17:00Z,45.00,58.00
2026-02-27T13:18:00Z,45.00,58.00
2026-02-27T13:19:00Z,45.00,58.00
2026-02-27T13:21:00Z,45.00,58.00
2026-02-27T13:23:00Z,45.00,58.00
2026-02-27T13:24:00Z,45.00,57.00
2026-02-27T13:25:00Z,45.00,57.00
2026-02-27T13:26:00Z,45.00,57.00
2026-02-27T13:27:00Z,45.00,57.00
2026-02-27T13:28:00Z,45.00,57.10
2026-02-27T13:30:00Z,45.00,57.00
2026-02-27T13:33:00Z,45.00,57.00
2026-02-27T13:34:00Z,45.71,56.66
2026-02-27T13:35:00Z,46.00,56.02
2026-02-27T13:36:00Z,46.00,57.00
2026-02-27T13:37:00Z,46.00,57.00
2026-02-27T13:38:00Z,46.00,57.59
2026-02-27T13:39:00Z,45.83,57.00
2026-02-27T13:40:00Z,47.00,55.00
2026-02-27T13:41:00Z,48.00,55.81
2026-02-27T13:42:00Z,48.00,53.17
2026-02-27T13:43:00Z,47.00,57.00
2026-02-27T13:44:00Z,46.89,57.00
2026-02-27T13:45:00Z,48.78,57.43
2026-02-27T13:46:00Z,41.40,60.97
2026-02-27T13:47:00Z,34.00,67.00
2026-02-27T13:48:00Z,39.85,65.90
2026-02-27T13:49:00Z,39.85,62.53
2026-02-27T13:50:00Z,44.20,66.45
2026-02-27T13:51:00Z,35.00,65.10
2026-02-27T13:52:00Z,34.90,67.13
2026-02-27T13:53:00Z,44.00,67.13
2026-02-27T13:54:00Z,48.28,51.42
2026-02-27T13:55:00Z,50.65,50.27
2026-02-27T13:56:00Z,51.00,49.00
2026-02-27T13:57:00Z,56.52,47.00
2026-02-27T13:58:00Z,53.46,47.00
2026-02-27T13:59:00Z,59.79,40.02
2026-02-27T14:00:00Z,59.98,48.01
2026-02-27T14:01:00Z,60.93,38.56
2026-02-27T14:02:00Z,68.20,32.82
2026-02-27T14:03:00Z,72.28,30.47
2026-02-27T14:04:00Z,73.45,27.08
2026-02-27T14:05:00Z,74.00,28.39
2026-02-27T14:06:00Z,69.23,31.06
2026-02-27T14:07:00Z,67.44,33.87
2026-02-27T14:08:00Z,68.99,34.00
2026-02-27T14:09:00Z,70.00,31.00
2026-02-27T14:10:00Z,72.77,28.00
2026-02-27T14:11:00Z,72.82,28.98
2026-02-27T14:12:00Z,66.02,39.97
2026-02-27T14:13:00Z,67.96,33.42
2026-02-27T14:14:00Z,67.00,32.12
2026-02-27T14:15:00Z,71.13,32.00
2026-02-27T14:16:00Z,70.92,29.00
2026-02-27T14:17:00Z,72.99,28.98
2026-02-27T14:18:00Z,72.19,30.00
2026-02-27T14:19:00Z,75.84,25.07
2026-02-27T14:20:00Z,79.88,21.01
2026-02-27T14:21:00Z,80.00,21.60
2026-02-27T14:22:00Z,78.24,21.50
2026-02-27T14:23:00Z,79.28,21.56
2026-02-27T14:24:00Z,78.35,22.41
2026-02-27T14:25:00Z,78.32,23.00
2026-02-27T14:26:00Z,78.44,22.48
2026-02-27T14:27:00Z,74.08,22.35
2026-02-27T14:28:00Z,71.53,30.69
2026-02-27T14:29:00Z,66.94,32.99
2026-02-27T14:30:00Z,68.29,34.70
2026-02-27T14:31:00Z,69.40,32.81
2026-02-27T14:32:00Z,67.36,33.98
2026-02-27T14:33:00Z,74.80,22.83
2026-02-27T14:34:00Z,79.71,20.54
2026-02-27T14:35:00Z,77.58,27.59
2026-02-27T14:36:00Z,75.92,27.26
2026-02-27T14:37:00Z,76.66,26.32
2026-02-27T14:38:00Z,73.89,25.72
2026-02-27T14:39:00Z,67.97,33.57
2026-02-27T14:40:00Z,66.24,36.59
2026-02-27T14:41:00Z,60.57,39.50
2026-02-27T14:42:00Z,65.65,36.77
2026-02-27T14:43:00Z,63.26,40.98
2026-02-27T14:44:00Z,62.17,38.57
2026-02-27T14:45:00Z,68.73,33.36
2026-02-27T14:46:00Z,73.02,28.46
2026-02-27T14:47:00Z,78.86,23.30
2026-02-27T14:48:00Z,83.72,17.68
2026-02-27T14:49:00Z,85.50,14.64
2026-02-27T14:50:00Z,85.99,15.00
2026-02-27T14:51:00Z,89.78,10.78
2026-02-27T14:52:00Z,92.25,7.64
2026-02-27T14:53:00Z,94.14,4.68
2026-02-27T14:54:00Z,95.39,3.43
2026-02-27T14:55:00Z,94.58,6.23
2026-02-27T14:56:00Z,89.51,12.41
2026-02-27T14:57:00Z,87.81,14.03
2026-02-27T14:58:00Z,89.45,13.91
2026-02-27T14:59:00Z,92.91,9.36
2026-02-27T15:00:00Z,87.59,12.98
2026-02-27T15:01:00Z,93.05,7.41
2026-02-27T15:02:00Z,96.31,4.76
2026-02-27T15:03:00Z,95.43,6.14
2026-02-27T15:04:00Z,94.14,7.13
2026-02-27T15:05:00Z,91.35,9.61
2026-02-27T15:06:00Z,95.56,6.83
2026-02-27T15:07:00Z,93.14,6.40
2026-02-27T15:08:00Z,96.19,3.69
2026-02-27T15:09:00Z,97.46,3.76
2026-02-27T15:10:00Z,98.64,1.90
2026-02-27T15:11:00Z,99.00,1.00
2026-02-27T15:12:00Z,99.00,1.00
