# event_ticker=KXATPCHALLENGERMATCH-26MAR10RODJAN
# final_score=4-6 6-1 6-4
# match_winner=Jurij Rodionov
# fav_player=Jurij Rodionov
# dog_player=Maxime Janvier
# kalshi_date=2026-03-10
timestamp,Jurij Rodionov,Maxime Janvier
2026-03-10T05:02:00Z,80.00,
2026-03-10T05:07:00Z,80.00,
2026-03-10T05:14:00Z,80.00,19.00
2026-03-10T05:47:00Z,80.00,21.00
2026-03-10T06:03:00Z,81.00,21.00
2026-03-10T06:06:00Z,81.00,21.00
2026-03-10T06:22:00Z,81.00,21.00
2026-03-10T06:29:00Z,81.00,21.00
2026-03-10T08:55:00Z,81.00,21.00
2026-03-10T09:07:00Z,81.00,21.00
2026-03-10T10:16:00Z,81.00,21.00
2026-03-10T10:24:00Z,81.00,21.00
2026-03-10T11:55:00Z,81.00,21.00
2026-03-10T12:00:00Z,82.73,21.00
2026-03-10T12:06:00Z,82.73,22.00
2026-03-10T12:09:00Z,81.00,22.00
2026-03-10T12:10:00Z,81.00,22.48
2026-03-10T12:29:00Z,76.10,26.03
2026-03-10T12:31:00Z,76.10,23.00
2026-03-10T12:32:00Z,76.10,24.00
2026-03-10T12:33:00Z,85.00,24.00
2026-03-10T12:34:00Z,85.00,20.00
2026-03-10T12:35:00Z,84.00,20.00
2026-03-10T12:36:00Z,84.00,19.38
2026-03-10T12:37:00Z,81.00,19.92
2026-03-10T12:38:00Z,80.00,20.87
2026-03-10T12:39:00Z,80.00,20.06
2026-03-10T12:40:00Z,74.00,24.35
2026-03-10T12:41:00Z,75.00,28.50
2026-03-10T12:42:00Z,80.00,24.51
2026-03-10T12:43:00Z,74.00,28.43
2026-03-10T12:44:00Z,78.42,19.00
2026-03-10T12:45:00Z,80.00,22.00
2026-03-10T12:46:00Z,80.00,20.98
2026-03-10T12:47:00Z,85.52,15.00
2026-03-10T12:48:00Z,84.81,15.00
2026-03-10T12:49:00Z,86.90,15.50
2026-03-10T12:50:00Z,89.91,9.24
2026-03-10T12:51:00Z,90.40,10.06
2026-03-10T12:52:00Z,90.99,10.06
2026-03-10T12:53:00Z,89.00,12.00
2026-03-10T12:55:00Z,91.00,10.00
2026-03-10T12:56:00Z,91.00,10.00
2026-03-10T12:57:00Z,91.00,11.00
2026-03-10T12:58:00Z,89.98,12.00
2026-03-10T12:59:00Z,88.05,16.03
2026-03-10T13:00:00Z,76.95,24.00
2026-03-10T13:01:00Z,76.89,24.22
2026-03-10T13:02:00Z,74.15,29.25
2026-03-10T13:03:00Z,74.00,28.00
2026-03-10T13:04:00Z,73.97,27.59
2026-03-10T13:05:00Z,67.58,31.00
2026-03-10T13:06:00Z,55.91,42.77
2026-03-10T13:07:00Z,48.82,52.05
2026-03-10T13:08:00Z,47.67,55.91
2026-03-10T13:09:00Z,43.27,60.25
2026-03-10T13:10:00Z,43.91,58.35
2026-03-10T13:11:00Z,43.22,56.92
2026-03-10T13:12:00Z,41.94,58.48
2026-03-10T13:13:00Z,46.83,54.79
2026-03-10T13:14:00Z,46.70,54.64
2026-03-10T13:15:00Z,45.95,57.00
2026-03-10T13:16:00Z,47.52,54.83
2026-03-10T13:17:00Z,48.94,53.10
2026-03-10T13:18:00Z,49.67,50.79
2026-03-10T13:19:00Z,48.94,53.62
2026-03-10T13:20:00Z,51.84,48.10
2026-03-10T13:21:00Z,52.88,51.00
2026-03-10T13:22:00Z,64.23,32.75
2026-03-10T13:23:00Z,66.75,32.37
2026-03-10T13:24:00Z,67.09,34.25
2026-03-10T13:25:00Z,68.00,33.22
2026-03-10T13:26:00Z,68.91,31.45
2026-03-10T13:27:00Z,68.99,33.56
2026-03-10T13:28:00Z,69.97,34.00
2026-03-10T13:29:00Z,67.02,34.00
2026-03-10T13:30:00Z,67.99,29.00
2026-03-10T13:31:00Z,65.75,29.00
2026-03-10T13:32:00Z,68.17,31.00
2026-03-10T13:33:00Z,72.00,32.00
2026-03-10T13:34:00Z,74.02,29.00
2026-03-10T13:35:00Z,75.00,26.56
2026-03-10T13:36:00Z,74.25,28.00
2026-03-10T13:37:00Z,73.79,26.43
2026-03-10T13:38:00Z,74.58,26.43
2026-03-10T13:39:00Z,73.89,25.91
2026-03-10T13:40:00Z,73.00,26.01
2026-03-10T13:41:00Z,71.64,30.47
2026-03-10T13:42:00Z,76.63,24.86
2026-03-10T13:43:00Z,71.31,31.42
2026-03-10T13:44:00Z,68.27,34.83
2026-03-10T13:45:00Z,72.88,28.99
2026-03-10T13:46:00Z,72.05,27.25
2026-03-10T13:47:00Z,75.15,27.01
2026-03-10T13:48:00Z,79.44,19.69
2026-03-10T13:49:00Z,89.09,10.52
2026-03-10T13:50:00Z,90.99,10.57
2026-03-10T13:51:00Z,91.71,8.07
2026-03-10T13:52:00Z,92.95,6.04
2026-03-10T13:53:00Z,91.26,7.34
2026-03-10T13:54:00Z,90.96,9.11
2026-03-10T13:55:00Z,92.41,9.13
2026-03-10T13:56:00Z,93.06,9.42
2026-03-10T13:57:00Z,95.00,7.04
2026-03-10T13:58:00Z,83.79,12.17
2026-03-10T13:59:00Z,68.91,30.37
2026-03-10T14:00:00Z,59.07,38.98
2026-03-10T14:01:00Z,64.87,39.03
2026-03-10T14:02:00Z,60.37,42.94
2026-03-10T14:03:00Z,57.94,42.05
2026-03-10T14:04:00Z,59.07,37.76
2026-03-10T14:05:00Z,62.66,36.85
2026-03-10T14:06:00Z,61.62,40.00
2026-03-10T14:07:00Z,66.30,35.76
2026-03-10T14:08:00Z,71.21,29.18
2026-03-10T14:09:00Z,75.41,27.77
2026-03-10T14:10:00Z,62.24,37.50
2026-03-10T14:11:00Z,78.56,27.66
2026-03-10T14:12:00Z,78.97,28.82
2026-03-10T14:13:00Z,93.54,12.12
2026-03-10T14:14:00Z,96.01,6.14
2026-03-10T14:15:00Z,98.41,4.07
2026-03-10T14:16:00Z,98.96,1.03
2026-03-10T14:17:00Z,99.00,1.03
2026-03-10T14:18:00Z,99.00,1.03
