# event_ticker=KXATPCHALLENGERMATCH-26FEB17BAAKIN
# final_score=6-3 6-0
# match_winner=Cannon Kingsley
# fav_player=Cannon Kingsley
# dog_player=Taha Baadi
# kalshi_date=2026-02-17
timestamp,Cannon Kingsley,Taha Baadi
2026-02-17T08:50:00Z,80.00,
2026-02-17T09:43:00Z,74.00,29.00
2026-02-17T09:45:00Z,74.00,29.00
2026-02-17T10:37:00Z,79.00,29.00
2026-02-17T10:52:00Z,78.00,19.00
2026-02-17T10:54:00Z,80.00,16.00
2026-02-17T10:55:00Z,80.00,16.00
2026-02-17T12:14:00Z,80.00,15.00
2026-02-17T12:55:00Z,86.00,15.00
2026-02-17T12:56:00Z,86.00,18.00
2026-02-17T14:10:00Z,87.00,15.00
2026-02-17T14:35:00Z,87.00,15.00
2026-02-17T15:02:00Z,86.00,15.00
2026-02-17T15:54:00Z,86.00,15.00
2026-02-17T16:05:00Z,86.00,15.00
2026-02-17T16:21:00Z,86.00,15.00
2026-02-17T16:50:00Z,86.00,15.00
2026-02-17T17:03:00Z,86.00,15.00
2026-02-17T17:27:00Z,86.00,15.00
2026-02-17T17:32:00Z,86.00,15.00
2026-02-17T17:33:00Z,86.00,15.00
2026-02-17T17:37:00Z,86.00,16.27
2026-02-17T17:38:00Z,86.00,17.00
2026-02-17T17:39:00Z,82.68,17.20
2026-02-17T17:40:00Z,84.60,16.00
2026-02-17T17:42:00Z,85.00,17.00
2026-02-17T17:43:00Z,79.46,25.97
2026-02-17T17:44:00Z,84.00,17.00
2026-02-17T17:45:00Z,84.00,18.00
2026-02-17T17:47:00Z,84.00,22.00
2026-02-17T17:48:00Z,81.00,22.00
2026-02-17T17:49:00Z,81.00,22.00
2026-02-17T17:51:00Z,81.00,16.00
2026-02-17T17:52:00Z,81.00,15.00
2026-02-17T17:53:00Z,88.00,15.00
2026-02-17T17:54:00Z,93.00,15.00
2026-02-17T17:55:00Z,93.00,8.49
2026-02-17T17:56:00Z,93.00,8.49
2026-02-17T17:57:00Z,93.00,10.00
2026-02-17T17:58:00Z,91.00,9.00
2026-02-17T18:00:00Z,91.00,9.00
2026-02-17T18:01:00Z,91.00,9.23
2026-02-17T18:02:00Z,93.00,9.23
2026-02-17T18:03:00Z,91.95,9.23
2026-02-17T18:04:00Z,91.95,8.00
2026-02-17T18:05:00Z,93.84,7.00
2026-02-17T18:06:00Z,92.00,8.39
2026-02-17T18:07:00Z,89.58,10.14
2026-02-17T18:08:00Z,90.00,10.00
2026-02-17T18:09:00Z,93.29,8.53
2026-02-17T18:10:00Z,93.29,8.00
2026-02-17T18:11:00Z,93.29,6.00
2026-02-17T18:12:00Z,96.00,4.00
2026-02-17T18:13:00Z,98.00,1.98
2026-02-17T18:14:00Z,98.00,3.07
2026-02-17T18:15:00Z,99.00,1.00
2026-02-17T18:16:00Z,99.00,1.93
2026-02-17T18:17:00Z,99.00,2.54
2026-02-17T18:18:00Z,99.00,2.92
2026-02-17T18:19:00Z,96.33,1.00
2026-02-17T18:20:00Z,96.33,1.00
2026-02-17T18:22:00Z,96.33,2.00
2026-02-17T18:23:00Z,96.33,1.00
2026-02-17T18:24:00Z,99.00,1.64
2026-02-17T18:25:00Z,99.00,1.00
