# event_ticker=KXATPCHALLENGERMATCH-26JUN02WEIBAD
# final_score=6-3 6-4
# match_winner=Devin Badenhorst
# fav_player=Devin Badenhorst
# dog_player=Oscar Weightman
# kalshi_date=2026-06-02
timestamp,Oscar Weightman,Devin Badenhorst
2026-06-01T20:36:00Z,36.00,
2026-06-01T20:43:00Z,36.00,
2026-06-01T23:14:00Z,36.00,
2026-06-01T23:16:00Z,36.00,
2026-06-01T23:20:00Z,36.00,
2026-06-01T23:27:00Z,36.00,
2026-06-01T23:33:00Z,36.00,
2026-06-01T23:34:00Z,36.00,67.00
2026-06-01T23:38:00Z,36.00,67.00
2026-06-01T23:45:00Z,36.00,67.00
2026-06-01T23:54:00Z,36.00,67.00
2026-06-02T00:10:00Z,36.00,67.00
2026-06-02T00:25:00Z,36.00,67.00
2026-06-02T00:28:00Z,36.00,67.00
2026-06-02T01:18:00Z,36.00,67.00
2026-06-02T01:31:00Z,36.00,67.00
2026-06-02T01:43:00Z,36.00,67.00
2026-06-02T01:50:00Z,35.00,67.00
2026-06-02T01:57:00Z,35.00,67.00
2026-06-02T02:00:00Z,35.00,67.00
2026-06-02T02:47:00Z,34.00,67.00
2026-06-02T03:02:00Z,34.00,67.00
2026-06-02T03:03:00Z,34.00,67.00
2026-06-02T03:09:00Z,34.00,67.00
2026-06-02T03:12:00Z,34.00,67.00
2026-06-02T03:14:00Z,34.00,67.00
2026-06-02T03:16:00Z,34.00,67.00
2026-06-02T03:34:00Z,34.00,67.00
2026-06-02T03:39:00Z,34.00,67.00
2026-06-02T03:42:00Z,34.00,67.00
2026-06-02T03:46:00Z,34.50,67.00
2026-06-02T03:49:00Z,34.00,67.00
2026-06-02T03:50:00Z,34.00,67.00
2026-06-02T03:58:00Z,35.00,67.00
2026-06-02T04:01:00Z,35.00,67.00
2026-06-02T04:08:00Z,34.00,67.00
2026-06-02T04:09:00Z,35.00,67.00
2026-06-02T04:10:00Z,35.00,67.00
2026-06-02T04:14:00Z,35.00,67.00
2026-06-02T04:28:00Z,35.00,67.00
2026-06-02T04:33:00Z,35.00,67.00
2026-06-02T04:34:00Z,35.00,67.00
2026-06-02T04:35:00Z,35.00,65.18
2026-06-02T04:43:00Z,35.78,65.18
2026-06-02T04:44:00Z,35.00,65.18
2026-06-02T04:49:00Z,33.20,65.18
2026-06-02T04:50:00Z,33.20,66.00
2026-06-02T04:51:00Z,35.00,66.00
2026-06-02T04:52:00Z,35.00,66.00
2026-06-02T04:53:00Z,35.00,66.00
2026-06-02T04:54:00Z,35.79,66.00
2026-06-02T04:55:00Z,36.00,66.00
2026-06-02T04:57:00Z,35.83,66.00
2026-06-02T05:01:00Z,35.00,66.00
2026-06-02T05:02:00Z,35.00,66.00
2026-06-02T05:03:00Z,35.00,66.00
2026-06-02T05:04:00Z,36.00,67.00
2026-06-02T05:06:00Z,36.00,67.00
2026-06-02T05:13:00Z,36.00,67.00
2026-06-02T05:18:00Z,36.00,67.00
2026-06-02T05:21:00Z,36.00,67.00
2026-06-02T05:39:00Z,36.00,67.00
2026-06-02T05:40:00Z,36.00,67.00
2026-06-02T05:41:00Z,36.00,67.00
2026-06-02T05:43:00Z,36.00,67.00
