# event_ticker=KXATPCHALLENGERMATCH-26MAY28TAKWIN
# final_score=4-6 6-3 6-2
# match_winner=Edward Winter
# fav_player=Edward Winter
# dog_player=Yusuke Takahashi
# kalshi_date=2026-05-28
timestamp,Yusuke Takahashi,Edward Winter
2026-05-28T00:34:00Z,,60.00
2026-05-28T00:36:00Z,41.00,60.00
2026-05-28T01:25:00Z,41.00,60.00
2026-05-28T02:22:00Z,41.00,60.00
2026-05-28T02:47:00Z,41.00,60.00
2026-05-28T02:52:00Z,41.00,60.00
2026-05-28T03:05:00Z,41.00,60.00
2026-05-28T03:07:00Z,41.00,60.00
2026-05-28T03:31:00Z,41.00,60.00
2026-05-28T03:32:00Z,41.00,60.00
2026-05-28T03:45:00Z,41.00,60.00
2026-05-28T03:46:00Z,41.00,60.00
2026-05-28T03:51:00Z,41.00,60.00
2026-05-28T03:55:00Z,41.00,60.00
2026-05-28T04:01:00Z,41.00,60.00
2026-05-28T04:23:00Z,41.00,60.00
2026-05-28T04:50:00Z,41.00,60.00
2026-05-28T05:31:00Z,41.00,60.00
2026-05-28T05:36:00Z,41.00,60.00
2026-05-28T05:45:00Z,41.00,60.00
2026-05-28T05:50:00Z,41.00,60.00
2026-05-28T06:02:00Z,41.00,60.00
2026-05-28T06:31:00Z,41.00,60.00
2026-05-28T06:33:00Z,41.00,60.00
2026-05-28T06:35:00Z,41.00,60.00
2026-05-28T06:50:00Z,41.00,60.00
2026-05-28T09:01:00Z,54.23,50.34
2026-05-28T09:02:00Z,70.78,41.73
2026-05-28T09:03:00Z,61.34,48.28
2026-05-28T09:04:00Z,70.00,48.28
2026-05-28T09:05:00Z,70.00,48.28
2026-05-28T09:06:00Z,70.00,46.83
2026-05-28T09:07:00Z,66.62,37.12
2026-05-28T09:08:00Z,67.45,36.10
2026-05-28T09:09:00Z,68.93,33.09
2026-05-28T09:10:00Z,71.02,27.43
2026-05-28T09:11:00Z,79.26,18.38
2026-05-28T09:12:00Z,82.29,17.66
2026-05-28T09:13:00Z,79.00,22.30
2026-05-28T09:14:00Z,83.98,17.86
2026-05-28T09:15:00Z,85.00,16.00
2026-05-28T09:16:00Z,81.91,19.84
2026-05-28T09:17:00Z,81.16,18.31
2026-05-28T09:18:00Z,80.62,24.41
2026-05-28T09:19:00Z,68.07,32.29
2026-05-28T09:20:00Z,66.26,38.05
2026-05-28T09:21:00Z,59.84,39.81
2026-05-28T09:22:00Z,59.00,42.00
2026-05-28T09:23:00Z,56.17,42.30
2026-05-28T09:24:00Z,57.75,38.42
2026-05-28T09:25:00Z,58.08,44.00
2026-05-28T09:26:00Z,62.84,37.83
2026-05-28T09:27:00Z,68.85,28.47
2026-05-28T09:28:00Z,74.23,26.59
2026-05-28T09:29:00Z,82.20,20.03
2026-05-28T09:30:00Z,84.00,18.00
2026-05-28T09:31:00Z,84.00,19.64
2026-05-28T09:32:00Z,83.00,20.67
2026-05-28T09:33:00Z,72.46,26.77
2026-05-28T09:34:00Z,66.68,34.85
2026-05-28T09:35:00Z,66.18,33.95
2026-05-28T09:36:00Z,65.00,35.21
2026-05-28T09:37:00Z,61.79,36.15
2026-05-28T09:38:00Z,57.83,39.00
2026-05-28T09:39:00Z,59.00,41.00
2026-05-28T09:40:00Z,58.00,41.70
2026-05-28T09:41:00Z,57.39,45.65
2026-05-28T09:42:00Z,46.67,46.39
2026-05-28T09:43:00Z,58.95,46.61
2026-05-28T09:44:00Z,58.98,44.69
2026-05-28T09:45:00Z,50.00,54.61
2026-05-28T09:46:00Z,39.17,59.35
2026-05-28T09:47:00Z,40.00,60.99
2026-05-28T09:48:00Z,38.88,60.65
2026-05-28T09:49:00Z,41.70,58.63
2026-05-28T09:50:00Z,43.00,57.37
2026-05-28T09:51:00Z,34.00,65.04
2026-05-28T09:52:00Z,32.16,66.59
2026-05-28T09:53:00Z,32.16,65.00
2026-05-28T09:54:00Z,34.00,68.61
2026-05-28T09:55:00Z,34.00,65.86
2026-05-28T09:56:00Z,35.65,65.00
2026-05-28T09:57:00Z,36.83,65.50
2026-05-28T09:58:00Z,36.26,63.17
2026-05-28T10:00:00Z,36.00,65.81
2026-05-28T10:02:00Z,33.00,66.72
2026-05-28T10:03:00Z,36.47,63.00
2026-05-28T10:04:00Z,40.23,60.46
2026-05-28T10:05:00Z,45.98,52.76
2026-05-28T10:06:00Z,43.99,55.67
2026-05-28T10:07:00Z,40.01,60.12
2026-05-28T10:08:00Z,40.01,63.86
2026-05-28T10:09:00Z,36.76,60.89
2026-05-28T10:10:00Z,39.66,61.24
2026-05-28T10:11:00Z,40.00,64.30
