# event_ticker=KXATPMATCH-25JUL25UGODAR
# final_score=7-6(6) 6-3
# score_resolution=7-6 6-3
# match_winner=Luciano Darderi
# fav_player=Luciano Darderi
# dog_player=Camilo Ugo Carabelli
# kalshi_date=2025-07-25
timestamp,Luciano Darderi,Camilo Ugo Carabelli
2025-07-25T06:46:00Z,,36.00
2025-07-25T06:57:00Z,77.00,36.00
2025-07-25T06:59:00Z,77.00,36.00
2025-07-25T12:01:00Z,77.00,35.00
2025-07-25T12:22:00Z,77.00,29.00
2025-07-25T12:29:00Z,73.00,29.00
2025-07-25T12:39:00Z,73.00,29.00
2025-07-25T13:22:00Z,73.00,29.00
2025-07-25T13:48:00Z,73.00,29.00
2025-07-25T13:54:00Z,72.00,29.00
2025-07-25T13:58:00Z,72.19,29.00
2025-07-25T14:02:00Z,73.00,29.00
2025-07-25T14:13:00Z,73.00,29.08
2025-07-25T14:14:00Z,73.00,30.00
2025-07-25T14:16:00Z,72.00,30.00
2025-07-25T14:19:00Z,72.00,29.78
2025-07-25T14:20:00Z,72.00,30.00
2025-07-25T14:25:00Z,72.00,30.00
2025-07-25T14:30:00Z,72.00,29.71
2025-07-25T14:36:00Z,72.00,30.00
2025-07-25T14:46:00Z,72.00,30.00
2025-07-25T15:03:00Z,72.00,29.00
2025-07-25T15:05:00Z,72.00,29.00
2025-07-25T15:08:00Z,72.00,29.66
2025-07-25T15:10:00Z,72.00,29.66
2025-07-25T15:11:00Z,72.00,29.97
2025-07-25T15:15:00Z,72.00,29.90
2025-07-25T15:17:00Z,72.00,29.90
2025-07-25T15:18:00Z,72.00,30.00
2025-07-25T15:20:00Z,72.00,29.75
2025-07-25T15:21:00Z,72.00,29.75
2025-07-25T15:22:00Z,73.00,29.75
2025-07-25T15:24:00Z,72.00,29.00
2025-07-25T15:25:00Z,73.00,29.60
2025-07-25T15:26:00Z,72.00,29.00
2025-07-25T15:27:00Z,73.00,29.00
2025-07-25T15:28:00Z,72.82,29.00
2025-07-25T15:30:00Z,72.00,29.00
2025-07-25T15:31:00Z,72.00,29.76
2025-07-25T15:32:00Z,72.00,29.00
2025-07-25T15:34:00Z,72.00,29.00
2025-07-25T15:35:00Z,72.00,29.00
2025-07-25T15:37:00Z,72.00,29.00
2025-07-25T15:43:00Z,72.00,29.00
2025-07-25T15:45:00Z,72.00,29.00
2025-07-25T15:46:00Z,72.00,28.00
2025-07-25T15:47:00Z,72.00,28.00
2025-07-25T15:50:00Z,73.00,28.00
2025-07-25T15:52:00Z,73.00,28.00
