# event_ticker=KXATPCHALLENGERMATCH-26MAY27ERHDOS
# final_score=7-6(4) 4-1 RET
# match_winner=Mathys Erhard
# fav_player=Stefan Dostanic
# dog_player=Mathys Erhard
# kalshi_date=2026-05-27
timestamp,Mathys Erhard,Stefan Dostanic
2026-05-26T20:33:00Z,,67.00
2026-05-26T21:22:00Z,,69.00
2026-05-26T21:35:00Z,,69.00
2026-05-26T21:40:00Z,32.00,69.00
2026-05-26T21:42:00Z,32.00,69.00
2026-05-26T21:48:00Z,32.00,69.00
2026-05-26T22:06:00Z,32.00,69.00
2026-05-26T22:09:00Z,32.00,69.00
2026-05-26T22:29:00Z,32.00,69.00
2026-05-26T23:51:00Z,32.00,68.00
2026-05-26T23:56:00Z,32.00,66.00
2026-05-27T00:18:00Z,34.00,66.00
2026-05-27T00:19:00Z,34.00,68.00
2026-05-27T00:51:00Z,34.00,68.00
2026-05-27T01:08:00Z,34.00,68.00
2026-05-27T01:48:00Z,34.00,68.00
2026-05-27T02:06:00Z,34.00,68.00
2026-05-27T02:09:00Z,34.00,68.00
2026-05-27T02:18:00Z,34.00,67.00
2026-05-27T02:19:00Z,34.00,68.00
2026-05-27T02:30:00Z,34.00,66.00
2026-05-27T02:33:00Z,34.00,66.00
2026-05-27T02:34:00Z,33.00,66.00
2026-05-27T02:54:00Z,33.00,66.00
2026-05-27T02:58:00Z,33.00,66.00
2026-05-27T02:59:00Z,34.00,66.00
2026-05-27T03:00:00Z,34.00,66.00
2026-05-27T03:03:00Z,34.00,66.00
2026-05-27T03:04:00Z,34.00,66.00
2026-05-27T03:05:00Z,34.00,66.00
2026-05-27T03:07:00Z,34.00,66.00
2026-05-27T03:08:00Z,34.00,66.00
2026-05-27T03:09:00Z,34.00,66.00
2026-05-27T03:12:00Z,34.00,66.00
2026-05-27T03:18:00Z,34.07,66.00
2026-05-27T03:23:00Z,34.07,66.00
2026-05-27T03:26:00Z,34.07,66.00
2026-05-27T03:30:00Z,34.00,66.00
2026-05-27T03:31:00Z,34.00,66.00
2026-05-27T03:32:00Z,34.00,66.00
2026-05-27T03:35:00Z,34.00,66.00
2026-05-27T03:36:00Z,34.00,66.00
2026-05-27T03:37:00Z,34.00,66.00
2026-05-27T03:38:00Z,34.00,66.00
2026-05-27T03:41:00Z,35.00,66.00
2026-05-27T03:42:00Z,35.00,66.00
2026-05-27T03:45:00Z,35.00,66.00
2026-05-27T03:49:00Z,35.00,66.00
2026-05-27T03:50:00Z,35.00,66.00
2026-05-27T03:51:00Z,35.00,66.00
2026-05-27T03:53:00Z,35.00,66.00
2026-05-27T03:54:00Z,35.00,66.00
