# event_ticker=KXATPCHALLENGERMATCH-26FEB11CASCRA
# final_score=1-6 6-3 7-6(5)
# score_resolution=6-1 3-6 6-7
# match_winner=Luca Castelnuovo
# fav_player=Oliver Crawford
# dog_player=Luca Castelnuovo
# kalshi_date=2026-02-11
timestamp,Oliver Crawford,Luca Castelnuovo
2026-02-11T18:52:00Z,70.00,
2026-02-11T19:41:00Z,70.00,
2026-02-11T20:04:00Z,70.00,
2026-02-11T20:36:00Z,70.00,
2026-02-11T21:54:00Z,70.00,
2026-02-11T22:01:00Z,70.00,
2026-02-11T22:21:00Z,70.00,30.00
2026-02-11T22:22:00Z,70.00,30.00
2026-02-11T22:23:00Z,70.00,30.00
2026-02-11T22:27:00Z,70.00,30.00
2026-02-11T23:07:00Z,70.00,30.00
2026-02-11T23:21:00Z,70.00,33.00
2026-02-11T23:33:00Z,70.00,33.00
2026-02-11T23:38:00Z,70.00,33.00
2026-02-11T23:45:00Z,70.00,33.00
2026-02-11T23:57:00Z,70.00,33.00
2026-02-12T00:02:00Z,70.00,33.00
2026-02-12T00:18:00Z,70.00,33.00
2026-02-12T00:32:00Z,67.00,33.00
2026-02-12T01:01:00Z,67.00,33.00
2026-02-12T01:22:00Z,67.00,33.00
2026-02-12T01:28:00Z,67.00,33.00
2026-02-12T01:49:00Z,67.00,33.00
2026-02-12T02:18:00Z,67.00,33.00
2026-02-12T02:31:00Z,67.00,33.00
2026-02-12T02:32:00Z,67.00,33.00
2026-02-12T02:33:00Z,67.00,33.00
2026-02-12T02:38:00Z,67.00,33.00
2026-02-12T02:39:00Z,68.00,33.00
2026-02-12T02:41:00Z,68.00,33.00
2026-02-12T02:43:00Z,68.00,33.00
2026-02-12T02:44:00Z,68.00,33.00
2026-02-12T02:51:00Z,68.00,33.00
2026-02-12T02:52:00Z,68.00,33.00
2026-02-12T02:54:00Z,68.00,33.00
2026-02-12T02:55:00Z,68.00,33.00
2026-02-12T03:00:00Z,68.00,33.00
2026-02-12T03:01:00Z,68.00,34.00
2026-02-12T03:02:00Z,68.00,34.00
2026-02-12T03:06:00Z,68.00,34.00
2026-02-12T03:15:00Z,68.00,34.00
2026-02-12T03:16:00Z,68.00,34.00
2026-02-12T03:17:00Z,68.00,34.00
2026-02-12T03:18:00Z,68.00,34.00
2026-02-12T03:19:00Z,68.00,33.00
2026-02-12T03:21:00Z,68.00,33.00
2026-02-12T03:22:00Z,68.00,33.00
2026-02-12T03:27:00Z,68.00,33.00
2026-02-12T03:31:00Z,67.96,33.00
2026-02-12T03:33:00Z,68.00,33.00
2026-02-12T03:36:00Z,68.41,33.00
2026-02-12T03:37:00Z,69.00,33.00
2026-02-12T03:42:00Z,68.00,33.00
2026-02-12T03:43:00Z,68.00,33.00
2026-02-12T03:45:00Z,68.00,33.00
2026-02-12T03:46:00Z,68.00,33.00
2026-02-12T03:48:00Z,68.00,33.00
2026-02-12T03:49:00Z,68.00,33.00
2026-02-12T03:51:00Z,68.00,33.00
2026-02-12T03:52:00Z,68.00,33.00
2026-02-12T03:56:00Z,68.00,33.00
2026-02-12T03:57:00Z,68.00,33.00
2026-02-12T03:58:00Z,68.70,33.00
2026-02-12T03:59:00Z,68.00,33.00
2026-02-12T04:00:00Z,69.90,31.00
2026-02-12T04:02:00Z,69.00,31.00
2026-02-12T04:03:00Z,69.00,31.00
2026-02-12T04:04:00Z,69.00,31.00
2026-02-12T04:05:00Z,69.87,31.00
2026-02-12T04:06:00Z,69.00,32.00
2026-02-12T04:07:00Z,69.35,32.00
2026-02-12T04:08:00Z,69.00,32.00
2026-02-12T04:10:00Z,67.00,31.00
2026-02-12T04:11:00Z,69.00,31.00
2026-02-12T04:13:00Z,69.00,32.00
2026-02-12T04:14:00Z,69.50,32.15
