# event_ticker=KXATPCHALLENGERMATCH-26APR28DONMEJ
# final_score=6-4 6-1
# match_winner=Matthew William Donald
# fav_player=Matthew William Donald
# dog_player=Nicolas Mejia
# kalshi_date=2026-04-28
timestamp,Matthew William Donald,Nicolas Mejia
2026-04-27T20:19:00Z,,64.00
2026-04-27T20:35:00Z,,69.00
2026-04-27T21:08:00Z,,69.00
2026-04-27T22:02:00Z,,69.00
2026-04-28T00:17:00Z,,74.00
2026-04-28T00:53:00Z,26.00,74.00
2026-04-28T00:58:00Z,26.26,74.00
2026-04-28T01:43:00Z,26.26,74.00
2026-04-28T02:38:00Z,26.00,74.00
2026-04-28T03:14:00Z,26.00,75.00
2026-04-28T05:39:00Z,25.00,75.00
2026-04-28T05:47:00Z,25.00,75.00
2026-04-28T05:53:00Z,25.00,75.00
2026-04-28T06:39:00Z,25.00,75.00
2026-04-28T06:47:00Z,26.00,74.00
2026-04-28T06:55:00Z,26.00,74.00
2026-04-28T07:12:00Z,26.00,74.00
2026-04-28T07:24:00Z,26.00,74.00
2026-04-28T07:57:00Z,26.00,74.00
2026-04-28T08:06:00Z,26.00,75.00
2026-04-28T08:07:00Z,26.00,75.00
2026-04-28T08:12:00Z,28.04,72.00
2026-04-28T08:13:00Z,32.00,72.00
2026-04-28T08:14:00Z,33.22,68.89
2026-04-28T08:15:00Z,40.00,64.00
2026-04-28T08:16:00Z,42.00,64.00
2026-04-28T08:17:00Z,47.89,64.00
2026-04-28T08:18:00Z,44.53,64.00
2026-04-28T08:19:00Z,44.53,60.00
2026-04-28T08:20:00Z,47.33,47.49
2026-04-28T08:21:00Z,54.22,47.72
2026-04-28T08:22:00Z,54.90,48.23
2026-04-28T08:23:00Z,56.68,49.43
2026-04-28T08:24:00Z,55.19,49.43
2026-04-28T08:25:00Z,50.86,51.09
2026-04-28T08:26:00Z,49.00,51.00
2026-04-28T08:27:00Z,46.38,55.00
2026-04-28T08:28:00Z,44.00,56.50
2026-04-28T08:29:00Z,45.90,56.54
2026-04-28T08:30:00Z,44.00,58.00
2026-04-28T08:31:00Z,44.00,56.99
2026-04-28T08:32:00Z,44.00,58.69
2026-04-28T08:33:00Z,42.20,58.00
2026-04-28T08:34:00Z,41.28,58.65
2026-04-28T08:35:00Z,45.52,53.91
2026-04-28T08:36:00Z,48.00,52.27
2026-04-28T08:37:00Z,51.03,49.30
2026-04-28T08:38:00Z,51.05,48.44
2026-04-28T08:39:00Z,55.76,43.99
2026-04-28T08:40:00Z,58.00,42.33
2026-04-28T08:41:00Z,58.97,43.14
2026-04-28T08:42:00Z,56.36,44.01
2026-04-28T08:43:00Z,54.73,46.54
2026-04-28T08:44:00Z,50.88,49.14
2026-04-28T08:45:00Z,49.00,52.62
2026-04-28T08:46:00Z,47.03,52.76
2026-04-28T08:47:00Z,46.98,54.00
2026-04-28T08:48:00Z,48.91,53.61
2026-04-28T08:49:00Z,41.53,56.99
2026-04-28T08:50:00Z,32.73,65.49
2026-04-28T08:51:00Z,39.34,60.27
2026-04-28T08:52:00Z,42.76,56.12
2026-04-28T08:53:00Z,50.36,51.77
2026-04-28T08:54:00Z,54.00,48.58
2026-04-28T08:55:00Z,56.78,45.28
2026-04-28T08:56:00Z,54.00,46.70
2026-04-28T08:57:00Z,57.38,43.56
2026-04-28T08:58:00Z,59.24,41.98
2026-04-28T08:59:00Z,56.58,44.26
2026-04-28T09:00:00Z,55.61,45.11
2026-04-28T09:01:00Z,53.47,47.71
2026-04-28T09:02:00Z,52.89,47.61
2026-04-28T09:03:00Z,55.48,44.86
2026-04-28T09:04:00Z,56.77,45.45
2026-04-28T09:05:00Z,53.93,52.44
2026-04-28T09:06:00Z,47.12,53.15
2026-04-28T09:07:00Z,52.89,46.86
2026-04-28T09:08:00Z,49.95,50.06
2026-04-28T09:09:00Z,55.64,44.84
2026-04-28T09:10:00Z,57.00,43.22
2026-04-28T09:11:00Z,56.97,43.87
2026-04-28T09:12:00Z,57.00,45.00
2026-04-28T09:13:00Z,56.48,45.00
2026-04-28T09:14:00Z,55.45,45.00
2026-04-28T09:15:00Z,56.53,44.24
2026-04-28T09:16:00Z,56.96,43.92
2026-04-28T09:17:00Z,60.92,38.85
2026-04-28T09:18:00Z,67.12,31.80
2026-04-28T09:19:00Z,66.45,34.13
2026-04-28T09:20:00Z,69.13,30.12
2026-04-28T09:21:00Z,75.47,25.45
2026-04-28T09:22:00Z,74.09,28.00
2026-04-28T09:23:00Z,72.25,27.19
2026-04-28T09:24:00Z,78.89,23.45
2026-04-28T09:25:00Z,83.27,17.42
2026-04-28T09:26:00Z,89.51,10.21
2026-04-28T09:27:00Z,91.86,7.97
2026-04-28T09:28:00Z,92.19,8.42
2026-04-28T09:29:00Z,90.08,8.91
2026-04-28T09:30:00Z,87.67,11.64
2026-04-28T09:31:00Z,84.00,15.30
2026-04-28T09:32:00Z,83.08,16.42
2026-04-28T09:33:00Z,81.49,20.73
2026-04-28T09:34:00Z,80.44,20.21
2026-04-28T09:35:00Z,77.44,22.00
2026-04-28T09:36:00Z,81.04,19.95
2026-04-28T09:37:00Z,80.91,19.78
2026-04-28T09:38:00Z,81.45,18.59
2026-04-28T09:39:00Z,82.28,20.05
2026-04-28T09:40:00Z,90.58,10.87
2026-04-28T09:41:00Z,94.74,5.26
2026-04-28T09:42:00Z,95.14,5.79
2026-04-28T09:43:00Z,96.01,4.23
2026-04-28T09:44:00Z,97.33,2.13
2026-04-28T09:45:00Z,98.22,2.79
2026-04-28T09:46:00Z,97.24,2.00
2026-04-28T09:47:00Z,97.33,2.40
2026-04-28T09:48:00Z,97.33,2.92
2026-04-28T09:49:00Z,98.76,1.00
2026-04-28T09:50:00Z,99.00,1.00
2026-04-28T09:51:00Z,99.00,1.00
2026-04-28T09:52:00Z,99.00,1.00
2026-04-28T09:53:00Z,99.00,1.00
