# event_ticker=KXATPCHALLENGERMATCH-26APR21TOPCRE
# final_score=6-2 6-0
# match_winner=Cezar Cretu
# fav_player=Cezar (2001) Cretu
# dog_player=Marko ToPo
# kalshi_date=2026-04-21
timestamp,Marko ToPo,Cezar (2001) Cretu
2026-04-20T20:24:00Z,58.00,
2026-04-20T20:27:00Z,58.00,46.00
2026-04-20T20:29:00Z,54.00,46.00
2026-04-20T23:51:00Z,54.00,48.00
2026-04-21T01:01:00Z,55.00,48.00
2026-04-21T01:03:00Z,55.00,48.00
2026-04-21T01:06:00Z,55.28,48.00
2026-04-21T01:20:00Z,55.28,45.00
2026-04-21T01:33:00Z,55.28,45.00
2026-04-21T01:46:00Z,55.00,45.00
2026-04-21T01:48:00Z,55.00,45.00
2026-04-21T02:00:00Z,55.00,45.00
2026-04-21T02:02:00Z,55.00,45.00
2026-04-21T02:07:00Z,54.90,45.00
2026-04-21T02:10:00Z,59.00,45.00
2026-04-21T03:35:00Z,59.00,45.00
2026-04-21T03:56:00Z,55.00,45.00
2026-04-21T04:34:00Z,55.00,44.00
2026-04-21T05:20:00Z,55.00,44.00
2026-04-21T05:23:00Z,59.00,44.00
2026-04-21T05:49:00Z,56.00,44.00
2026-04-21T06:07:00Z,56.00,44.00
2026-04-21T06:16:00Z,56.00,44.00
2026-04-21T06:35:00Z,58.59,44.00
2026-04-21T07:55:00Z,58.59,45.00
2026-04-21T08:08:00Z,58.59,45.00
2026-04-21T08:11:00Z,52.80,51.18
2026-04-21T08:12:00Z,49.26,50.79
2026-04-21T08:13:00Z,46.19,54.98
2026-04-21T08:14:00Z,46.19,56.00
2026-04-21T08:15:00Z,45.69,59.55
2026-04-21T08:16:00Z,40.00,61.34
2026-04-21T08:17:00Z,39.01,61.34
2026-04-21T08:18:00Z,38.01,61.34
2026-04-21T08:19:00Z,37.37,66.83
2026-04-21T08:20:00Z,35.35,64.00
2026-04-21T08:21:00Z,30.01,69.08
2026-04-21T08:22:00Z,30.01,71.00
2026-04-21T08:23:00Z,29.92,72.83
2026-04-21T08:24:00Z,29.92,75.69
2026-04-21T08:25:00Z,25.22,75.92
2026-04-21T08:26:00Z,25.22,75.26
2026-04-21T08:27:00Z,26.99,74.36
2026-04-21T08:28:00Z,27.45,74.01
2026-04-21T08:29:00Z,26.31,75.51
2026-04-21T08:30:00Z,26.89,74.06
2026-04-21T08:31:00Z,25.00,75.93
2026-04-21T08:32:00Z,27.66,74.42
2026-04-21T08:33:00Z,27.67,73.00
2026-04-21T08:34:00Z,28.06,73.22
2026-04-21T08:35:00Z,30.17,73.00
2026-04-21T08:36:00Z,29.00,72.05
2026-04-21T08:37:00Z,31.38,74.41
2026-04-21T08:38:00Z,27.64,74.98
2026-04-21T08:39:00Z,27.91,73.59
2026-04-21T08:40:00Z,27.66,73.88
2026-04-21T08:41:00Z,24.57,74.74
2026-04-21T08:42:00Z,23.19,75.79
2026-04-21T08:43:00Z,24.16,75.79
2026-04-21T08:44:00Z,15.30,86.01
2026-04-21T08:45:00Z,15.00,87.00
2026-04-21T08:46:00Z,12.90,87.28
2026-04-21T08:47:00Z,12.90,86.14
2026-04-21T08:48:00Z,10.44,89.99
2026-04-21T08:49:00Z,8.91,92.11
2026-04-21T08:50:00Z,3.93,94.96
2026-04-21T08:51:00Z,2.02,97.00
2026-04-21T08:52:00Z,2.02,97.24
2026-04-21T08:53:00Z,1.84,97.96
2026-04-21T08:54:00Z,2.52,96.94
2026-04-21T08:55:00Z,2.19,97.67
2026-04-21T08:56:00Z,3.77,95.38
2026-04-21T08:57:00Z,1.67,97.00
2026-04-21T08:58:00Z,2.00,98.73
2026-04-21T08:59:00Z,1.00,99.00
2026-04-21T09:00:00Z,1.35,99.00
2026-04-21T09:01:00Z,1.35,99.00
2026-04-21T09:02:00Z,1.35,99.00
2026-04-21T09:03:00Z,1.35,99.00
2026-04-21T09:04:00Z,1.00,99.00
2026-04-21T09:07:00Z,1.00,99.00
