# event_ticker=KXATPCHALLENGERMATCH-26MAY11GAUFER
# final_score=6-3 2-6 6-1
# match_winner=Vilius Gaubas
# fav_player=Vilius Gaubas
# dog_player=Frederico Ferreira Silva
# kalshi_date=2026-05-11
timestamp,Vilius Gaubas,Frederico Ferreira Silva
2026-05-12T04:03:00Z,70.00,
2026-05-12T04:40:00Z,70.00,
2026-05-12T05:26:00Z,70.00,
2026-05-12T05:37:00Z,70.00,31.00
2026-05-12T05:38:00Z,70.00,31.00
2026-05-12T08:22:00Z,70.00,30.00
2026-05-12T10:03:00Z,70.00,33.00
2026-05-12T10:13:00Z,69.00,33.00
2026-05-12T12:18:00Z,69.00,33.00
2026-05-12T13:23:00Z,68.00,33.00
2026-05-12T14:04:00Z,68.00,33.00
2026-05-12T14:13:00Z,69.00,33.00
2026-05-12T14:17:00Z,69.00,33.00
2026-05-12T14:21:00Z,69.00,34.00
2026-05-12T14:24:00Z,69.62,34.00
2026-05-12T14:44:00Z,70.00,34.00
2026-05-12T14:46:00Z,70.00,34.00
2026-05-12T14:53:00Z,69.00,33.00
2026-05-12T14:56:00Z,70.00,33.00
2026-05-12T14:57:00Z,69.00,33.98
2026-05-12T14:58:00Z,69.00,34.69
2026-05-12T15:00:00Z,69.00,32.00
2026-05-12T15:07:00Z,69.00,34.00
2026-05-12T15:08:00Z,69.00,34.00
2026-05-12T15:09:00Z,69.00,34.00
2026-05-12T15:12:00Z,69.00,30.00
2026-05-12T15:13:00Z,70.01,30.10
2026-05-12T15:14:00Z,71.78,30.00
2026-05-12T15:15:00Z,71.78,29.00
2026-05-12T15:16:00Z,71.00,30.00
2026-05-12T15:17:00Z,71.82,30.00
2026-05-12T15:18:00Z,71.82,28.00
2026-05-12T15:20:00Z,71.82,34.00
2026-05-12T15:21:00Z,63.12,38.09
2026-05-12T15:22:00Z,63.12,42.00
2026-05-12T15:23:00Z,60.00,40.00
2026-05-12T15:24:00Z,66.64,33.85
2026-05-12T15:25:00Z,70.00,33.85
2026-05-12T15:26:00Z,70.10,30.00
2026-05-12T15:27:00Z,73.00,29.00
2026-05-12T15:28:00Z,72.00,27.76
2026-05-12T15:29:00Z,77.69,24.70
2026-05-12T15:30:00Z,75.01,24.11
2026-05-12T15:31:00Z,80.13,20.01
2026-05-12T15:33:00Z,80.13,22.00
2026-05-12T15:34:00Z,82.90,17.00
2026-05-12T15:35:00Z,83.00,18.00
2026-05-12T15:36:00Z,83.00,18.00
2026-05-12T15:37:00Z,83.02,18.00
2026-05-12T15:39:00Z,84.00,17.97
2026-05-12T15:40:00Z,83.00,17.97
2026-05-12T15:41:00Z,82.00,18.00
2026-05-12T15:42:00Z,81.00,18.74
2026-05-12T15:43:00Z,83.28,17.00
2026-05-12T15:44:00Z,84.00,17.00
2026-05-12T15:45:00Z,82.85,17.00
2026-05-12T15:46:00Z,80.00,20.00
2026-05-12T15:48:00Z,83.00,20.00
2026-05-12T15:49:00Z,83.34,17.00
2026-05-12T15:50:00Z,82.00,17.00
2026-05-12T15:51:00Z,82.00,18.00
2026-05-12T15:53:00Z,84.00,17.00
2026-05-12T15:54:00Z,84.90,15.98
2026-05-12T15:55:00Z,84.02,15.98
2026-05-12T15:56:00Z,84.00,16.00
2026-05-12T15:57:00Z,85.00,15.00
2026-05-12T15:58:00Z,83.00,17.00
2026-05-12T15:59:00Z,85.00,17.00
2026-05-12T16:00:00Z,85.04,16.00
2026-05-12T16:01:00Z,85.00,16.00
2026-05-12T16:02:00Z,86.00,15.00
2026-05-12T16:03:00Z,85.00,15.00
2026-05-12T16:05:00Z,88.93,13.00
2026-05-12T16:06:00Z,87.00,16.18
2026-05-12T16:07:00Z,83.12,17.07
2026-05-12T16:08:00Z,83.12,16.91
2026-05-12T16:09:00Z,83.00,18.00
2026-05-12T16:10:00Z,83.00,18.00
2026-05-12T16:11:00Z,78.56,21.15
2026-05-12T16:12:00Z,77.00,25.25
2026-05-12T16:13:00Z,75.75,23.16
2026-05-12T16:14:00Z,77.30,25.80
2026-05-12T16:15:00Z,72.77,28.24
2026-05-12T16:16:00Z,73.73,28.88
2026-05-12T16:17:00Z,71.19,30.17
2026-05-12T16:18:00Z,70.00,31.16
2026-05-12T16:19:00Z,72.79,28.06
2026-05-12T16:20:00Z,70.37,29.01
2026-05-12T16:21:00Z,75.00,28.62
2026-05-12T16:22:00Z,71.30,30.18
2026-05-12T16:23:00Z,73.35,28.11
2026-05-12T16:24:00Z,72.00,27.48
2026-05-12T16:25:00Z,75.08,25.35
2026-05-12T16:26:00Z,81.01,18.01
2026-05-12T16:27:00Z,82.00,17.96
2026-05-12T16:28:00Z,82.09,17.95
2026-05-12T16:29:00Z,81.21,15.44
2026-05-12T16:30:00Z,81.85,20.01
2026-05-12T16:31:00Z,85.00,17.84
2026-05-12T16:32:00Z,86.00,15.03
2026-05-12T16:33:00Z,85.34,14.99
2026-05-12T16:34:00Z,91.19,11.59
2026-05-12T16:35:00Z,90.77,10.25
2026-05-12T16:36:00Z,84.27,16.84
2026-05-12T16:37:00Z,82.00,19.00
2026-05-12T16:38:00Z,81.60,20.00
2026-05-12T16:39:00Z,77.92,24.54
2026-05-12T16:40:00Z,74.66,28.89
2026-05-12T16:41:00Z,73.44,25.78
2026-05-12T16:42:00Z,76.98,26.71
2026-05-12T16:43:00Z,80.55,22.53
2026-05-12T16:44:00Z,73.77,26.51
2026-05-12T16:45:00Z,68.95,29.93
2026-05-12T16:46:00Z,72.26,30.99
2026-05-12T16:47:00Z,67.47,35.48
2026-05-12T16:48:00Z,62.75,37.89
2026-05-12T16:49:00Z,62.61,38.00
2026-05-12T16:50:00Z,63.00,38.79
2026-05-12T16:51:00Z,61.23,39.06
2026-05-12T16:52:00Z,59.14,40.15
2026-05-12T16:53:00Z,56.96,43.01
2026-05-12T16:54:00Z,57.00,43.83
2026-05-12T16:55:00Z,56.08,44.34
2026-05-12T16:56:00Z,56.76,45.44
2026-05-12T16:57:00Z,52.87,48.73
2026-05-12T16:58:00Z,49.74,51.88
2026-05-12T16:59:00Z,45.96,54.17
2026-05-12T17:00:00Z,48.83,52.24
2026-05-12T17:01:00Z,52.22,47.72
2026-05-12T17:02:00Z,55.57,45.80
2026-05-12T17:03:00Z,51.93,49.07
2026-05-12T17:04:00Z,50.98,48.80
2026-05-12T17:05:00Z,61.70,36.53
2026-05-12T17:06:00Z,76.01,24.11
2026-05-12T17:07:00Z,76.58,23.68
2026-05-12T17:08:00Z,79.70,22.47
2026-05-12T17:09:00Z,84.16,16.47
2026-05-12T17:10:00Z,85.26,14.71
2026-05-12T17:11:00Z,85.07,14.89
2026-05-12T17:12:00Z,85.05,15.53
2026-05-12T17:13:00Z,85.44,14.63
2026-05-12T17:14:00Z,85.69,17.49
2026-05-12T17:15:00Z,84.57,15.09
2026-05-12T17:16:00Z,89.87,8.97
2026-05-12T17:17:00Z,90.35,11.00
2026-05-12T17:18:00Z,87.43,12.34
2026-05-12T17:19:00Z,91.54,6.95
2026-05-12T17:20:00Z,96.57,3.86
2026-05-12T17:21:00Z,96.97,3.86
2026-05-12T17:22:00Z,97.13,2.30
2026-05-12T17:23:00Z,98.94,1.19
2026-05-12T17:24:00Z,99.00,1.00
2026-05-12T17:25:00Z,97.89,2.16
2026-05-12T17:26:00Z,98.96,1.18
2026-05-12T17:27:00Z,99.00,1.00
2026-05-12T17:28:00Z,99.00,1.00
2026-05-12T17:29:00Z,99.00,1.00
2026-05-12T17:30:00Z,99.00,1.00
2026-05-12T17:31:00Z,99.00,1.00
2026-05-12T17:32:00Z,99.00,1.00
