# event_ticker=KXATPMATCH-25AUG17MAJJAR
# final_score=7-6(6) 6-4
# score_resolution=7-6 6-4
# match_winner=Kamil Majchrzak
# fav_player=Kamil Majchrzak
# dog_player=Nicolas Jarry
# kalshi_date=2025-08-17
timestamp,Kamil Majchrzak,Nicolas Jarry
2025-08-17T13:00:00Z,50.00,
2025-08-17T14:55:00Z,50.00,
2025-08-17T17:21:00Z,51.00,
2025-08-17T17:27:00Z,51.00,51.00
2025-08-17T17:54:00Z,51.00,51.00
2025-08-17T18:09:00Z,51.00,51.00
2025-08-17T18:34:00Z,51.00,52.00
2025-08-17T18:36:00Z,51.00,52.68
2025-08-17T18:40:00Z,51.00,53.00
2025-08-17T19:02:00Z,51.00,57.00
2025-08-17T19:03:00Z,49.53,57.00
2025-08-17T19:07:00Z,50.50,57.00
2025-08-17T19:18:00Z,48.00,52.00
2025-08-17T19:19:00Z,49.90,50.00
2025-08-17T19:22:00Z,49.90,52.00
2025-08-17T19:23:00Z,51.00,52.00
2025-08-17T19:25:00Z,50.80,55.33
2025-08-17T19:31:00Z,50.80,52.00
2025-08-17T19:36:00Z,50.80,45.00
2025-08-17T19:39:00Z,46.00,45.00
2025-08-17T19:42:00Z,46.00,53.00
2025-08-17T19:46:00Z,50.00,53.00
2025-08-17T19:47:00Z,50.00,53.00
2025-08-17T19:52:00Z,54.00,53.00
2025-08-17T19:54:00Z,54.00,53.00
2025-08-17T19:55:00Z,48.00,51.00
2025-08-17T19:56:00Z,52.53,48.50
2025-08-17T19:57:00Z,51.06,48.00
2025-08-17T19:58:00Z,46.55,50.50
2025-08-17T19:59:00Z,46.55,62.00
2025-08-17T20:00:00Z,46.55,66.00
2025-08-17T20:01:00Z,34.00,66.71
2025-08-17T20:02:00Z,41.51,57.42
2025-08-17T20:03:00Z,45.24,56.00
2025-08-17T20:04:00Z,50.00,47.00
2025-08-17T20:05:00Z,66.98,39.70
2025-08-17T20:07:00Z,75.00,39.70
2025-08-17T20:09:00Z,75.00,30.00
2025-08-17T20:11:00Z,74.00,30.00
2025-08-17T20:13:00Z,73.01,26.84
2025-08-17T20:14:00Z,79.53,19.42
2025-08-17T20:15:00Z,82.00,19.42
2025-08-17T20:16:00Z,82.06,19.21
2025-08-17T20:17:00Z,82.06,27.35
2025-08-17T20:18:00Z,76.46,29.04
2025-08-17T20:19:00Z,76.46,29.53
2025-08-17T20:22:00Z,77.77,29.53
2025-08-17T20:24:00Z,76.00,29.53
2025-08-17T20:25:00Z,76.00,26.49
2025-08-17T20:26:00Z,76.00,28.39
2025-08-17T20:27:00Z,76.00,29.00
2025-08-17T20:30:00Z,74.00,29.00
2025-08-17T20:31:00Z,61.85,36.06
2025-08-17T20:32:00Z,61.85,35.80
2025-08-17T20:33:00Z,73.00,35.80
2025-08-17T20:35:00Z,77.45,35.80
2025-08-17T20:36:00Z,87.31,10.19
2025-08-17T20:37:00Z,87.31,1.00
2025-08-17T20:38:00Z,95.00,1.00
2025-08-17T20:39:00Z,95.00,2.53
2025-08-17T20:40:00Z,95.00,16.95
2025-08-17T20:42:00Z,95.95,7.62
2025-08-17T20:43:00Z,95.95,4.73
2025-08-17T20:44:00Z,95.00,6.09
2025-08-17T20:45:00Z,95.94,6.09
2025-08-17T20:46:00Z,95.00,4.40
2025-08-17T20:47:00Z,95.01,5.99
2025-08-17T20:48:00Z,92.00,10.09
2025-08-17T20:49:00Z,99.00,1.05
