# event_ticker=KXATPMATCH-25OCT06SHABOR
# final_score=7-6(5) 4-6 6-3
# score_resolution=6-7 6-4 3-6
# match_winner=Nuno Borges
# fav_player=Juncheng Shang
# dog_player=Nuno Borges
# kalshi_date=2025-10-06
timestamp,Juncheng Shang,Nuno Borges
2025-10-05T20:28:00Z,,45.00
2025-10-05T20:34:00Z,57.00,45.00
2025-10-05T20:52:00Z,57.00,45.00
2025-10-05T21:21:00Z,57.00,44.00
2025-10-05T21:43:00Z,57.00,43.00
2025-10-05T21:46:00Z,58.00,43.00
2025-10-05T22:19:00Z,59.00,43.00
2025-10-05T22:25:00Z,59.00,42.00
2025-10-05T23:17:00Z,58.00,42.00
2025-10-05T23:18:00Z,58.00,44.00
2025-10-05T23:29:00Z,58.00,44.00
2025-10-05T23:42:00Z,58.00,44.00
2025-10-06T00:08:00Z,58.00,44.00
2025-10-06T00:19:00Z,58.00,44.00
2025-10-06T00:27:00Z,58.00,44.00
2025-10-06T00:31:00Z,58.00,44.00
2025-10-06T00:33:00Z,58.00,43.00
2025-10-06T00:41:00Z,56.00,44.00
2025-10-06T00:42:00Z,56.00,44.00
2025-10-06T00:43:00Z,55.34,44.00
2025-10-06T00:48:00Z,56.00,44.00
2025-10-06T00:55:00Z,56.00,44.00
2025-10-06T01:04:00Z,56.00,44.00
2025-10-06T01:19:00Z,56.00,45.00
2025-10-06T01:22:00Z,56.00,45.00
2025-10-06T01:24:00Z,56.00,45.00
2025-10-06T01:26:00Z,56.00,45.00
2025-10-06T01:31:00Z,56.00,45.00
2025-10-06T01:47:00Z,56.00,45.00
2025-10-06T01:53:00Z,56.00,45.00
2025-10-06T01:58:00Z,56.00,45.00
2025-10-06T01:59:00Z,56.00,45.00
2025-10-06T02:02:00Z,56.00,45.00
2025-10-06T02:06:00Z,56.00,44.00
2025-10-06T02:20:00Z,57.00,44.00
2025-10-06T02:57:00Z,57.00,44.00
2025-10-06T02:59:00Z,57.00,44.00
2025-10-06T03:00:00Z,57.00,44.00
2025-10-06T03:06:00Z,57.00,44.00
2025-10-06T03:18:00Z,57.00,44.00
2025-10-06T03:27:00Z,57.00,44.00
2025-10-06T03:30:00Z,57.00,44.00
2025-10-06T03:31:00Z,57.00,44.00
2025-10-06T03:35:00Z,57.00,44.00
2025-10-06T03:36:00Z,57.00,44.00
2025-10-06T03:37:00Z,57.00,44.00
2025-10-06T03:39:00Z,57.00,44.00
2025-10-06T03:40:00Z,57.00,43.15
2025-10-06T03:41:00Z,57.00,43.15
2025-10-06T03:43:00Z,57.00,44.00
2025-10-06T03:45:00Z,57.00,44.00
2025-10-06T03:49:00Z,57.00,44.00
2025-10-06T03:50:00Z,57.00,44.00
2025-10-06T03:51:00Z,57.00,44.00
2025-10-06T03:52:00Z,57.00,44.00
2025-10-06T03:53:00Z,56.00,44.00
2025-10-06T03:55:00Z,56.00,44.00
2025-10-06T03:57:00Z,57.00,44.00
2025-10-06T04:03:00Z,57.00,44.00
2025-10-06T04:05:00Z,57.00,44.00
2025-10-06T04:08:00Z,57.00,44.00
2025-10-06T04:17:00Z,57.00,44.00
2025-10-06T04:19:00Z,57.00,44.00
2025-10-06T04:20:00Z,57.00,44.00
2025-10-06T04:21:00Z,57.00,44.00
2025-10-06T04:23:00Z,57.00,44.00
2025-10-06T04:28:00Z,57.00,44.00
2025-10-06T04:30:00Z,57.00,44.00
2025-10-06T04:33:00Z,57.00,44.00
2025-10-06T04:40:00Z,57.00,44.00
2025-10-06T04:45:00Z,57.00,44.00
2025-10-06T04:52:00Z,57.00,44.00
2025-10-06T04:54:00Z,57.00,44.00
2025-10-06T04:59:00Z,57.00,44.00
2025-10-06T05:01:00Z,57.00,44.00
2025-10-06T05:03:00Z,57.00,44.00
2025-10-06T05:07:00Z,57.00,44.00
2025-10-06T05:08:00Z,57.00,44.00
2025-10-06T05:12:00Z,57.00,44.00
2025-10-06T05:14:00Z,57.00,44.00
