# event_ticker=KXATPCHALLENGERMATCH-26MAY14BAECAR
# final_score=5-7 7-5 7-5
# match_winner=Pablo Carreno Busta
# fav_player=Pablo Carreno Busta
# dog_player=Sebastian Baez
# kalshi_date=2026-05-14
timestamp,Sebastian Baez,Pablo Carreno Busta
2026-05-14T05:13:00Z,,44.00
2026-05-14T05:57:00Z,56.19,44.00
2026-05-14T05:58:00Z,58.00,44.00
2026-05-14T06:44:00Z,58.00,44.00
2026-05-14T06:49:00Z,58.00,44.00
2026-05-14T09:03:00Z,58.00,44.00
2026-05-14T09:04:00Z,57.88,44.00
2026-05-14T09:08:00Z,58.00,42.00
2026-05-14T10:52:00Z,57.00,42.00
2026-05-14T10:57:00Z,57.00,43.00
2026-05-14T11:40:00Z,58.00,43.00
2026-05-14T12:00:00Z,59.00,43.00
2026-05-14T12:04:00Z,59.00,43.00
2026-05-14T12:24:00Z,59.00,43.00
2026-05-14T12:28:00Z,59.00,43.00
2026-05-14T12:31:00Z,59.00,43.00
2026-05-14T13:10:00Z,59.00,43.00
2026-05-14T13:19:00Z,59.00,43.00
2026-05-14T13:26:00Z,59.00,43.00
2026-05-14T13:36:00Z,59.00,43.00
2026-05-14T14:07:00Z,59.00,43.00
2026-05-14T14:09:00Z,59.00,43.00
2026-05-14T14:10:00Z,59.00,43.00
2026-05-14T14:11:00Z,59.00,43.00
2026-05-14T14:12:00Z,59.00,43.00
2026-05-14T14:13:00Z,59.00,43.00
2026-05-14T14:14:00Z,59.00,43.00
2026-05-14T14:15:00Z,59.31,43.00
2026-05-14T14:31:00Z,60.00,43.00
2026-05-14T14:39:00Z,60.00,43.00
2026-05-14T14:44:00Z,60.00,42.00
2026-05-14T14:54:00Z,60.00,42.00
2026-05-14T14:55:00Z,60.00,42.00
2026-05-14T14:56:00Z,59.00,42.00
2026-05-14T15:00:00Z,60.00,42.00
2026-05-14T15:02:00Z,60.00,42.00
2026-05-14T15:04:00Z,60.00,42.00
2026-05-14T15:09:00Z,60.00,42.00
2026-05-14T15:13:00Z,60.00,42.00
