# event_ticker=KXATPCHALLENGERMATCH-26MAY29TSEMAR
# final_score=2-6 6-2 7-6(5)
# score_resolution=6-2 2-6 6-7
# match_winner=Chun-Hsin Tseng
# fav_player=Pol Martin Tiffon
# dog_player=Chun Hsin Tseng
# kalshi_date=2026-05-29
timestamp,Chun Hsin Tseng,Pol Martin Tiffon
2026-05-29T01:28:00Z,52.00,
2026-05-29T02:25:00Z,52.00,51.00
2026-05-29T02:33:00Z,51.00,51.00
2026-05-29T02:59:00Z,50.00,51.00
2026-05-29T03:32:00Z,50.00,51.00
2026-05-29T04:26:00Z,50.00,51.00
2026-05-29T04:39:00Z,50.00,51.00
2026-05-29T04:43:00Z,50.00,51.00
2026-05-29T05:14:00Z,50.00,51.00
2026-05-29T05:37:00Z,50.00,51.00
2026-05-29T06:03:00Z,50.00,51.00
2026-05-29T06:04:00Z,50.00,51.00
2026-05-29T06:31:00Z,50.00,51.00
2026-05-29T06:32:00Z,50.00,51.00
2026-05-29T06:38:00Z,50.00,51.00
2026-05-29T07:15:00Z,50.00,51.00
2026-05-29T07:34:00Z,50.00,51.00
2026-05-29T09:28:00Z,52.00,51.00
2026-05-29T09:30:00Z,52.00,50.00
2026-05-29T09:33:00Z,52.00,51.00
2026-05-29T09:57:00Z,52.00,50.00
2026-05-29T10:18:00Z,52.00,49.00
2026-05-29T10:48:00Z,52.00,49.00
2026-05-29T10:55:00Z,52.00,49.00
2026-05-29T11:09:00Z,52.00,49.00
2026-05-29T11:16:00Z,52.00,49.00
2026-05-29T11:17:00Z,52.00,49.00
2026-05-29T11:20:00Z,52.00,49.00
2026-05-29T11:22:00Z,52.00,49.00
2026-05-29T11:25:00Z,52.53,49.00
2026-05-29T11:27:00Z,52.53,49.00
2026-05-29T11:28:00Z,52.53,49.00
2026-05-29T11:29:00Z,52.53,49.00
2026-05-29T11:30:00Z,52.53,49.00
2026-05-29T11:33:00Z,52.53,49.00
2026-05-29T11:37:00Z,53.88,49.00
2026-05-29T11:38:00Z,54.00,49.00
2026-05-29T11:42:00Z,51.00,49.00
2026-05-29T11:43:00Z,47.24,51.00
2026-05-29T11:44:00Z,46.00,53.20
2026-05-29T11:45:00Z,40.32,60.94
2026-05-29T11:46:00Z,40.32,63.11
2026-05-29T11:47:00Z,35.86,65.03
2026-05-29T11:48:00Z,34.00,66.00
2026-05-29T11:49:00Z,31.00,68.35
2026-05-29T11:50:00Z,26.26,72.95
2026-05-29T11:51:00Z,26.63,74.04
2026-05-29T11:52:00Z,29.83,69.96
2026-05-29T11:53:00Z,28.99,72.05
2026-05-29T11:54:00Z,24.00,72.05
2026-05-29T11:55:00Z,24.00,76.00
2026-05-29T11:56:00Z,24.00,76.00
2026-05-29T11:57:00Z,22.00,79.00
2026-05-29T11:58:00Z,22.00,80.00
2026-05-29T11:59:00Z,20.00,80.00
2026-05-29T12:00:00Z,22.69,77.66
2026-05-29T12:01:00Z,23.00,77.00
2026-05-29T12:02:00Z,23.00,77.00
2026-05-29T12:03:00Z,23.16,77.99
2026-05-29T12:04:00Z,23.16,78.00
2026-05-29T12:05:00Z,23.16,78.60
2026-05-29T12:06:00Z,23.16,79.00
2026-05-29T12:07:00Z,23.00,77.85
2026-05-29T12:08:00Z,23.00,77.03
2026-05-29T12:09:00Z,22.00,80.00
2026-05-29T12:10:00Z,22.00,79.95
2026-05-29T12:11:00Z,20.00,81.00
2026-05-29T12:13:00Z,20.00,79.00
2026-05-29T12:14:00Z,22.00,79.00
2026-05-29T12:15:00Z,22.11,78.00
2026-05-29T12:16:00Z,21.48,78.00
2026-05-29T12:17:00Z,21.00,80.99
2026-05-29T12:18:00Z,21.00,81.00
2026-05-29T12:19:00Z,19.96,81.00
2026-05-29T12:20:00Z,20.00,81.00
2026-05-29T12:22:00Z,20.00,81.00
2026-05-29T12:23:00Z,20.00,81.00
2026-05-29T12:24:00Z,19.24,81.00
2026-05-29T12:25:00Z,18.69,81.05
2026-05-29T12:26:00Z,21.53,78.56
2026-05-29T12:27:00Z,23.95,77.00
2026-05-29T12:28:00Z,19.88,79.88
2026-05-29T12:29:00Z,19.00,80.86
2026-05-29T12:30:00Z,22.06,78.00
2026-05-29T12:31:00Z,23.00,78.00
2026-05-29T12:32:00Z,22.62,78.00
2026-05-29T12:33:00Z,22.26,77.75
2026-05-29T12:34:00Z,22.74,78.78
2026-05-29T12:35:00Z,20.02,79.02
2026-05-29T12:36:00Z,21.47,80.75
