# event_ticker=KXATPCHALLENGERMATCH-26APR15CORBUE
# final_score=6-4 6-1
# score_resolution=4-6 1-6
# match_winner=Gonzalo Bueno
# fav_player=Federico Coria
# dog_player=Gonzalo Bueno
# kalshi_date=2026-04-15
timestamp,Federico Coria,Gonzalo Bueno
2026-04-15T13:38:00Z,,60.10
2026-04-15T13:54:00Z,,61.00
2026-04-15T14:17:00Z,41.00,61.00
2026-04-15T14:19:00Z,41.00,61.00
2026-04-15T14:26:00Z,41.00,61.00
2026-04-15T14:49:00Z,41.00,61.00
2026-04-15T15:22:00Z,41.00,60.00
2026-04-15T15:43:00Z,41.00,60.00
2026-04-15T15:44:00Z,42.00,60.00
2026-04-15T15:45:00Z,42.00,60.00
2026-04-15T15:48:00Z,42.00,60.00
2026-04-15T16:14:00Z,42.00,59.00
2026-04-15T16:31:00Z,42.00,60.00
2026-04-15T16:33:00Z,42.00,59.00
2026-04-15T17:03:00Z,42.00,60.00
2026-04-15T17:04:00Z,42.00,60.00
2026-04-15T17:54:00Z,42.00,60.38
2026-04-15T18:19:00Z,40.98,60.38
2026-04-15T18:21:00Z,40.98,61.00
2026-04-15T18:26:00Z,40.98,61.00
2026-04-15T18:27:00Z,40.98,61.00
2026-04-15T18:46:00Z,40.98,61.00
2026-04-15T18:55:00Z,40.98,61.00
2026-04-15T19:04:00Z,40.98,60.00
2026-04-15T19:14:00Z,40.98,61.03
2026-04-15T19:59:00Z,40.98,61.00
2026-04-15T20:07:00Z,40.98,61.00
2026-04-15T20:11:00Z,40.98,61.00
2026-04-15T20:14:00Z,40.98,61.00
2026-04-15T20:15:00Z,40.98,61.00
2026-04-15T20:37:00Z,40.98,61.00
2026-04-15T20:45:00Z,40.00,61.00
2026-04-15T20:51:00Z,40.00,61.00
2026-04-15T20:53:00Z,40.00,61.00
2026-04-15T20:55:00Z,40.00,61.00
2026-04-15T20:59:00Z,40.34,61.00
2026-04-15T21:10:00Z,40.34,60.00
2026-04-15T21:11:00Z,40.34,60.00
2026-04-15T21:16:00Z,40.34,60.00
2026-04-15T21:18:00Z,41.00,60.00
2026-04-15T21:28:00Z,41.00,60.00
2026-04-15T21:32:00Z,41.00,60.00
2026-04-15T21:44:00Z,41.00,60.00
2026-04-15T21:49:00Z,41.00,60.59
2026-04-15T21:55:00Z,41.00,61.00
2026-04-15T21:56:00Z,41.00,61.00
2026-04-15T21:57:00Z,41.00,61.00
2026-04-15T21:59:00Z,41.00,61.00
2026-04-15T22:05:00Z,41.00,61.00
2026-04-15T22:06:00Z,41.00,61.00
2026-04-15T22:08:00Z,41.00,61.00
2026-04-15T22:10:00Z,41.00,61.00
2026-04-15T22:11:00Z,41.00,61.00
2026-04-15T22:15:00Z,41.00,61.00
2026-04-15T22:17:00Z,41.00,61.00
2026-04-15T22:35:00Z,41.00,61.00
2026-04-15T22:37:00Z,41.00,62.00
2026-04-15T22:39:00Z,41.00,62.00
2026-04-15T22:40:00Z,41.00,62.00
2026-04-15T22:41:00Z,41.00,62.00
2026-04-15T22:42:00Z,41.00,62.00
2026-04-15T22:43:00Z,41.00,62.00
2026-04-15T22:45:00Z,41.00,62.00
2026-04-15T22:46:00Z,41.00,61.97
2026-04-15T22:48:00Z,41.00,61.00
2026-04-15T22:51:00Z,41.00,59.00
2026-04-15T22:52:00Z,41.00,61.00
2026-04-15T22:58:00Z,41.00,61.00
2026-04-15T23:00:00Z,41.00,61.00
2026-04-15T23:07:00Z,41.00,61.00
2026-04-15T23:09:00Z,41.00,61.02
2026-04-15T23:10:00Z,41.00,61.02
2026-04-15T23:11:00Z,41.00,61.02
2026-04-15T23:13:00Z,41.00,61.66
2026-04-15T23:14:00Z,41.00,61.66
2026-04-15T23:15:00Z,41.00,61.00
2026-04-15T23:16:00Z,41.00,61.99
2026-04-15T23:19:00Z,41.00,61.00
2026-04-15T23:21:00Z,41.00,61.50
2026-04-15T23:23:00Z,41.00,62.00
2026-04-15T23:24:00Z,40.00,62.00
2026-04-15T23:25:00Z,40.00,62.00
2026-04-15T23:26:00Z,41.00,62.00
2026-04-15T23:27:00Z,41.00,62.00
2026-04-15T23:28:00Z,41.00,62.00
2026-04-15T23:32:00Z,41.00,62.00
2026-04-15T23:33:00Z,41.00,61.00
2026-04-15T23:36:00Z,41.00,61.00
2026-04-15T23:38:00Z,41.00,61.00
2026-04-15T23:41:00Z,41.17,61.00
2026-04-15T23:43:00Z,41.00,61.00
2026-04-15T23:44:00Z,41.00,61.00
2026-04-15T23:49:00Z,41.00,61.00
2026-04-15T23:50:00Z,42.00,61.00
2026-04-15T23:55:00Z,42.00,61.00
2026-04-15T23:57:00Z,42.00,61.00
2026-04-15T23:58:00Z,39.46,61.00
2026-04-15T23:59:00Z,39.46,61.00
2026-04-16T00:03:00Z,39.46,61.00
2026-04-16T00:06:00Z,39.46,61.14
2026-04-16T00:11:00Z,41.00,61.14
2026-04-16T00:12:00Z,41.00,61.00
2026-04-16T00:14:00Z,41.00,61.00
2026-04-16T00:15:00Z,41.00,61.00
2026-04-16T00:16:00Z,41.00,61.00
2026-04-16T00:17:00Z,41.00,60.00
2026-04-16T00:19:00Z,41.00,60.00
2026-04-16T00:21:00Z,41.00,61.00
2026-04-16T00:22:00Z,41.00,61.00
2026-04-16T00:23:00Z,41.00,61.00
2026-04-16T00:24:00Z,41.00,61.00
2026-04-16T00:25:00Z,41.00,61.00
2026-04-16T00:28:00Z,41.00,61.00
2026-04-16T00:29:00Z,41.00,61.44
2026-04-16T00:30:00Z,40.20,61.00
2026-04-16T00:31:00Z,40.36,61.00
2026-04-16T00:34:00Z,41.00,61.00
2026-04-16T00:36:00Z,40.00,60.00
2026-04-16T00:38:00Z,40.00,60.00
2026-04-16T00:41:00Z,40.00,60.03
2026-04-16T00:42:00Z,41.00,60.03
2026-04-16T00:43:00Z,41.00,62.00
2026-04-16T00:46:00Z,41.00,62.00
2026-04-16T00:49:00Z,39.82,62.00
2026-04-16T00:54:00Z,39.82,62.00
2026-04-16T00:55:00Z,39.82,62.00
2026-04-16T00:57:00Z,39.82,61.90
2026-04-16T00:58:00Z,39.00,61.90
2026-04-16T00:59:00Z,39.00,61.90
2026-04-16T01:00:00Z,39.00,62.00
2026-04-16T01:01:00Z,39.00,62.00
2026-04-16T01:02:00Z,38.00,62.00
2026-04-16T01:03:00Z,38.00,62.00
2026-04-16T01:04:00Z,38.00,62.00
2026-04-16T01:05:00Z,38.00,62.00
2026-04-16T01:06:00Z,38.36,62.00
2026-04-16T01:07:00Z,39.00,62.00
2026-04-16T01:08:00Z,39.00,62.00
2026-04-16T01:09:00Z,39.00,62.00
2026-04-16T01:11:00Z,39.00,62.00
2026-04-16T01:12:00Z,39.00,62.00
2026-04-16T01:13:00Z,39.00,62.00
2026-04-16T01:14:00Z,39.00,62.00
2026-04-16T01:15:00Z,39.00,62.70
2026-04-16T01:16:00Z,38.00,63.00
2026-04-16T01:17:00Z,38.98,63.00
2026-04-16T01:18:00Z,39.00,63.00
2026-04-16T01:19:00Z,39.00,63.87
2026-04-16T01:20:00Z,39.00,64.00
2026-04-16T01:21:00Z,40.58,61.92
2026-04-16T01:22:00Z,37.24,64.25
2026-04-16T01:23:00Z,42.82,58.86
2026-04-16T01:24:00Z,42.82,60.32
2026-04-16T01:25:00Z,42.60,60.05
2026-04-16T01:26:00Z,39.76,62.14
2026-04-16T01:27:00Z,41.27,58.08
2026-04-16T01:28:00Z,43.17,62.34
2026-04-16T01:29:00Z,37.06,63.27
2026-04-16T01:30:00Z,37.74,64.28
2026-04-16T01:31:00Z,38.92,61.34
2026-04-16T01:32:00Z,40.66,62.52
2026-04-16T01:33:00Z,36.66,63.17
2026-04-16T01:34:00Z,35.78,65.29
2026-04-16T01:35:00Z,36.00,66.02
2026-04-16T01:36:00Z,39.64,61.80
2026-04-16T01:37:00Z,40.80,61.08
2026-04-16T01:38:00Z,45.00,57.49
2026-04-16T01:39:00Z,45.44,57.25
2026-04-16T01:40:00Z,41.80,58.36
2026-04-16T01:41:00Z,40.85,58.50
2026-04-16T01:42:00Z,46.42,56.62
2026-04-16T01:43:00Z,43.50,55.01
2026-04-16T01:44:00Z,43.78,55.82
2026-04-16T01:45:00Z,41.57,60.03
2026-04-16T01:46:00Z,46.55,56.31
2026-04-16T01:47:00Z,44.12,58.74
2026-04-16T01:48:00Z,49.54,48.84
2026-04-16T01:49:00Z,56.28,47.24
2026-04-16T01:50:00Z,54.57,47.03
2026-04-16T01:51:00Z,49.30,52.89
2026-04-16T01:52:00Z,43.91,55.01
2026-04-16T01:53:00Z,41.22,58.32
