# event_ticker=KXATPCHALLENGERMATCH-26APR14SMIJOH
# final_score=7-6(6) 6-1
# score_resolution=7-6 6-1
# match_winner=Garrett Johns
# fav_player=Garrett Johns
# dog_player=Colton Smith
# kalshi_date=2026-04-14
timestamp,Garrett Johns,Colton Smith
2026-04-14T04:14:00Z,54.00,
2026-04-14T05:12:00Z,44.00,
2026-04-14T05:55:00Z,44.00,62.00
2026-04-14T06:08:00Z,44.00,62.00
2026-04-14T06:15:00Z,39.00,62.00
2026-04-14T07:11:00Z,39.00,61.00
2026-04-14T10:17:00Z,40.00,61.00
2026-04-14T10:45:00Z,40.00,64.00
2026-04-14T10:58:00Z,40.00,64.00
2026-04-14T11:24:00Z,40.00,63.00
2026-04-14T11:30:00Z,40.00,60.00
2026-04-14T12:02:00Z,40.00,63.00
2026-04-14T12:04:00Z,40.00,63.00
2026-04-14T12:09:00Z,39.00,63.00
2026-04-14T12:25:00Z,39.00,63.00
2026-04-14T12:26:00Z,39.00,63.00
2026-04-14T12:32:00Z,39.00,63.00
2026-04-14T13:41:00Z,39.00,63.00
2026-04-14T13:43:00Z,39.00,63.00
2026-04-14T13:51:00Z,38.00,63.00
2026-04-14T13:55:00Z,38.00,63.00
2026-04-14T13:56:00Z,39.00,63.00
2026-04-14T13:59:00Z,39.00,63.00
2026-04-14T14:13:00Z,39.00,63.00
2026-04-14T14:25:00Z,39.00,63.00
2026-04-14T14:35:00Z,39.00,63.00
2026-04-14T14:36:00Z,39.00,63.00
2026-04-14T14:51:00Z,39.00,63.00
2026-04-14T14:52:00Z,39.00,63.00
2026-04-14T14:56:00Z,39.00,62.00
2026-04-14T14:58:00Z,39.00,62.00
2026-04-14T15:00:00Z,39.84,63.00
2026-04-14T15:02:00Z,37.00,62.88
2026-04-14T15:04:00Z,40.60,62.88
2026-04-14T15:07:00Z,40.60,63.00
2026-04-14T15:09:00Z,40.60,63.00
2026-04-14T15:11:00Z,40.00,64.00
2026-04-14T15:12:00Z,38.00,64.00
2026-04-14T15:13:00Z,38.95,64.00
2026-04-14T15:14:00Z,42.00,62.14
2026-04-14T15:15:00Z,37.00,64.00
2026-04-14T15:16:00Z,34.00,64.00
2026-04-14T15:17:00Z,34.00,70.24
2026-04-14T15:18:00Z,34.00,71.33
2026-04-14T15:19:00Z,34.00,64.00
2026-04-14T15:20:00Z,35.00,68.07
2026-04-14T15:21:00Z,34.00,62.86
2026-04-14T15:22:00Z,43.94,57.50
2026-04-14T15:23:00Z,48.19,53.20
2026-04-14T15:24:00Z,52.04,48.42
2026-04-14T15:25:00Z,55.72,44.92
2026-04-14T15:26:00Z,54.79,44.99
2026-04-14T15:27:00Z,52.84,48.91
2026-04-14T15:28:00Z,44.32,56.81
2026-04-14T15:29:00Z,41.90,58.69
2026-04-14T15:30:00Z,41.07,59.61
2026-04-14T15:31:00Z,47.72,55.45
2026-04-14T15:32:00Z,47.05,54.73
2026-04-14T15:33:00Z,50.02,53.70
2026-04-14T15:34:00Z,51.43,47.53
2026-04-14T15:35:00Z,55.00,47.00
2026-04-14T15:36:00Z,53.21,44.24
2026-04-14T15:37:00Z,54.00,45.00
2026-04-14T15:38:00Z,59.24,41.56
2026-04-14T15:39:00Z,61.00,39.00
2026-04-14T15:40:00Z,58.46,42.47
2026-04-14T15:41:00Z,56.30,44.34
2026-04-14T15:42:00Z,58.00,44.87
2026-04-14T15:43:00Z,56.09,45.00
2026-04-14T15:44:00Z,61.34,37.76
2026-04-14T15:45:00Z,64.73,35.99
2026-04-14T15:46:00Z,66.66,34.87
2026-04-14T15:47:00Z,69.00,29.77
2026-04-14T15:48:00Z,68.00,30.45
2026-04-14T15:49:00Z,68.12,32.06
2026-04-14T15:50:00Z,68.12,34.51
2026-04-14T15:51:00Z,68.12,36.97
2026-04-14T15:52:00Z,61.42,38.89
2026-04-14T15:53:00Z,61.32,39.97
2026-04-14T15:54:00Z,65.45,34.29
2026-04-14T15:55:00Z,61.62,37.47
2026-04-14T15:56:00Z,56.33,45.48
2026-04-14T15:57:00Z,50.98,55.69
2026-04-14T15:58:00Z,40.80,60.96
2026-04-14T15:59:00Z,35.69,64.08
2026-04-14T16:00:00Z,33.29,65.87
2026-04-14T16:01:00Z,34.00,67.19
2026-04-14T16:02:00Z,33.81,67.11
2026-04-14T16:03:00Z,33.29,69.98
2026-04-14T16:04:00Z,32.65,68.72
2026-04-14T16:05:00Z,30.73,70.91
2026-04-14T16:06:00Z,35.62,63.89
2026-04-14T16:07:00Z,35.62,62.61
2026-04-14T16:08:00Z,37.19,66.67
2026-04-14T16:09:00Z,25.05,73.21
2026-04-14T16:10:00Z,29.95,71.00
2026-04-14T16:11:00Z,39.77,59.74
2026-04-14T16:12:00Z,45.54,55.79
2026-04-14T16:13:00Z,42.32,54.29
2026-04-14T16:14:00Z,46.91,62.00
2026-04-14T16:15:00Z,36.17,63.77
2026-04-14T16:16:00Z,51.49,47.05
2026-04-14T16:17:00Z,48.04,50.53
2026-04-14T16:18:00Z,54.00,42.85
2026-04-14T16:19:00Z,66.59,33.82
2026-04-14T16:20:00Z,66.63,33.94
2026-04-14T16:21:00Z,66.63,34.00
2026-04-14T16:22:00Z,67.00,34.92
2026-04-14T16:23:00Z,66.00,35.60
2026-04-14T16:24:00Z,62.07,40.30
2026-04-14T16:25:00Z,54.88,45.57
2026-04-14T16:26:00Z,59.87,41.78
2026-04-14T16:27:00Z,66.29,34.67
2026-04-14T16:28:00Z,69.03,30.99
2026-04-14T16:29:00Z,71.54,28.96
2026-04-14T16:30:00Z,74.00,26.37
2026-04-14T16:31:00Z,72.50,29.93
2026-04-14T16:32:00Z,65.68,33.71
2026-04-14T16:33:00Z,66.40,34.15
2026-04-14T16:34:00Z,66.01,35.54
2026-04-14T16:35:00Z,68.00,33.15
2026-04-14T16:36:00Z,69.03,31.09
2026-04-14T16:37:00Z,70.00,31.00
2026-04-14T16:38:00Z,70.00,32.00
2026-04-14T16:39:00Z,72.24,27.65
2026-04-14T16:40:00Z,75.48,28.72
2026-04-14T16:41:00Z,81.41,20.38
2026-04-14T16:42:00Z,76.18,24.43
2026-04-14T16:43:00Z,83.93,14.52
2026-04-14T16:44:00Z,86.97,14.93
2026-04-14T16:45:00Z,83.96,17.19
2026-04-14T16:46:00Z,86.09,16.93
2026-04-14T16:47:00Z,87.28,21.67
2026-04-14T16:48:00Z,88.61,11.66
2026-04-14T16:49:00Z,89.66,11.36
2026-04-14T16:50:00Z,89.69,11.79
2026-04-14T16:51:00Z,89.79,10.51
2026-04-14T16:52:00Z,89.54,10.54
2026-04-14T16:53:00Z,91.92,8.76
2026-04-14T16:54:00Z,93.26,6.59
2026-04-14T16:55:00Z,94.84,5.18
2026-04-14T16:56:00Z,98.09,1.29
2026-04-14T16:57:00Z,97.45,2.41
2026-04-14T16:58:00Z,98.80,1.53
2026-04-14T16:59:00Z,99.00,1.00
2026-04-14T17:00:00Z,99.00,1.00
2026-04-14T17:01:00Z,99.00,1.00
2026-04-14T17:02:00Z,99.00,1.00
2026-04-14T17:03:00Z,99.00,1.00
2026-04-14T17:04:00Z,99.00,1.00
2026-04-14T17:05:00Z,99.00,1.00
