# event_ticker=KXATPCHALLENGERMATCH-26MAR24YUNWIS
# final_score=7-5 6-4
# match_winner=Yunchaokete Bu
# fav_player=Yunchaokete Bu
# dog_player=Max Wiskandt
# kalshi_date=2026-03-24
timestamp,Yunchaokete Bu,Max Wiskandt
2026-03-24T10:02:00Z,85.00,15.00
2026-03-24T10:04:00Z,87.00,15.00
2026-03-24T11:13:00Z,87.00,15.00
2026-03-24T12:27:00Z,87.00,13.00
2026-03-24T13:24:00Z,87.00,13.00
2026-03-24T14:21:00Z,87.00,11.00
2026-03-24T14:35:00Z,88.00,11.00
2026-03-24T15:39:00Z,88.00,13.00
2026-03-24T16:04:00Z,88.00,13.00
2026-03-24T16:12:00Z,86.00,13.00
2026-03-24T17:15:00Z,88.00,13.00
2026-03-24T17:38:00Z,88.00,13.00
2026-03-24T17:51:00Z,88.00,13.00
2026-03-24T18:00:00Z,88.00,12.00
2026-03-24T18:04:00Z,88.00,12.00
2026-03-24T18:23:00Z,89.00,12.00
2026-03-24T18:29:00Z,89.00,11.75
2026-03-24T18:44:00Z,89.00,11.75
2026-03-24T18:59:00Z,89.00,11.75
2026-03-24T19:13:00Z,89.00,12.00
2026-03-24T19:26:00Z,89.00,12.00
2026-03-24T19:31:00Z,89.00,13.00
2026-03-24T19:48:00Z,89.00,13.00
2026-03-24T19:54:00Z,89.00,13.00
2026-03-24T20:04:00Z,89.00,13.83
2026-03-24T20:05:00Z,88.00,13.19
2026-03-24T20:06:00Z,88.00,13.00
2026-03-24T20:12:00Z,88.00,13.00
2026-03-24T20:17:00Z,89.00,11.00
2026-03-24T20:23:00Z,88.00,13.38
2026-03-24T20:26:00Z,88.00,13.80
2026-03-24T20:27:00Z,88.00,14.00
2026-03-24T20:32:00Z,88.00,14.00
2026-03-24T20:37:00Z,88.00,14.00
2026-03-24T20:40:00Z,88.00,12.00
2026-03-24T20:51:00Z,88.00,14.00
2026-03-24T20:58:00Z,86.00,14.00
2026-03-24T21:02:00Z,86.00,14.00
2026-03-24T21:03:00Z,86.00,14.00
2026-03-24T21:04:00Z,86.00,14.00
2026-03-24T21:05:00Z,86.00,14.00
2026-03-24T21:10:00Z,86.00,11.02
2026-03-24T21:17:00Z,88.00,14.00
2026-03-24T21:19:00Z,88.00,14.00
2026-03-24T21:20:00Z,88.00,14.00
2026-03-24T21:21:00Z,88.00,14.00
2026-03-24T21:22:00Z,88.00,14.00
2026-03-24T21:23:00Z,88.00,14.00
2026-03-24T21:25:00Z,88.00,14.00
2026-03-24T21:26:00Z,88.00,14.00
2026-03-24T21:27:00Z,88.00,14.04
2026-03-24T21:28:00Z,85.00,14.69
2026-03-24T21:29:00Z,85.00,16.28
2026-03-24T21:30:00Z,84.63,16.13
2026-03-24T21:31:00Z,86.05,14.00
2026-03-24T21:33:00Z,85.00,18.06
2026-03-24T21:34:00Z,82.41,16.94
2026-03-24T21:35:00Z,84.98,17.00
2026-03-24T21:36:00Z,85.00,15.17
2026-03-24T21:37:00Z,85.00,15.34
2026-03-24T21:38:00Z,85.00,15.00
2026-03-24T21:39:00Z,84.00,16.48
2026-03-24T21:40:00Z,84.00,18.98
2026-03-24T21:41:00Z,82.00,19.00
2026-03-24T21:42:00Z,82.00,17.44
2026-03-24T21:43:00Z,81.05,19.70
2026-03-24T21:44:00Z,77.32,25.25
2026-03-24T21:45:00Z,78.55,21.19
2026-03-24T21:46:00Z,78.55,18.93
2026-03-24T21:47:00Z,84.47,13.69
2026-03-24T21:48:00Z,86.25,14.36
2026-03-24T21:49:00Z,81.95,19.26
2026-03-24T21:50:00Z,81.95,21.00
2026-03-24T21:51:00Z,81.00,18.78
2026-03-24T21:52:00Z,82.24,18.32
2026-03-24T21:53:00Z,78.00,22.26
