# event_ticker=KXATPCHALLENGERMATCH-26APR11BUEMID
# final_score=5-7 6-3 6-1
# match_winner=Gonzalo Bueno
# fav_player=Gonzalo Bueno
# dog_player=Lautaro Midon
# kalshi_date=2026-04-11
timestamp,Gonzalo Bueno,Lautaro Midon
2026-04-11T01:59:00Z,,48.61
2026-04-11T02:06:00Z,,47.00
2026-04-11T03:11:00Z,53.00,47.00
2026-04-11T04:14:00Z,53.00,47.00
2026-04-11T04:41:00Z,53.00,49.00
2026-04-11T04:44:00Z,53.00,49.00
2026-04-11T04:54:00Z,53.00,49.00
2026-04-11T05:02:00Z,53.00,49.00
2026-04-11T05:06:00Z,53.00,49.00
2026-04-11T05:24:00Z,53.00,49.00
2026-04-11T05:39:00Z,53.00,49.00
2026-04-11T06:00:00Z,53.00,49.00
2026-04-11T06:06:00Z,53.00,49.00
2026-04-11T06:17:00Z,53.00,49.00
2026-04-11T06:19:00Z,53.00,49.00
2026-04-11T06:32:00Z,52.00,49.00
2026-04-11T06:45:00Z,52.00,49.00
2026-04-11T07:07:00Z,52.00,49.00
2026-04-11T07:16:00Z,52.00,49.00
2026-04-11T08:10:00Z,52.00,49.00
2026-04-11T08:46:00Z,52.00,49.00
2026-04-11T09:02:00Z,52.00,49.00
2026-04-11T09:23:00Z,52.00,49.00
2026-04-11T10:27:00Z,52.00,49.51
2026-04-11T10:40:00Z,52.00,49.00
2026-04-11T11:03:00Z,52.00,49.00
2026-04-11T11:59:00Z,52.00,49.00
2026-04-11T12:09:00Z,52.00,49.00
2026-04-11T12:23:00Z,52.00,49.00
2026-04-11T12:39:00Z,52.00,50.00
2026-04-11T12:42:00Z,52.00,50.00
2026-04-11T12:45:00Z,52.00,50.00
2026-04-11T12:48:00Z,52.00,50.00
2026-04-11T12:53:00Z,52.00,50.00
2026-04-11T12:55:00Z,52.00,50.00
2026-04-11T12:56:00Z,52.00,50.00
2026-04-11T13:05:00Z,53.00,50.00
2026-04-11T13:07:00Z,53.00,50.00
2026-04-11T13:08:00Z,50.00,50.00
2026-04-11T13:09:00Z,53.00,50.00
2026-04-11T13:19:00Z,53.00,50.00
2026-04-11T13:23:00Z,53.00,50.73
2026-04-11T13:24:00Z,52.00,50.00
2026-04-11T13:25:00Z,52.00,50.00
2026-04-11T13:28:00Z,52.00,50.00
2026-04-11T13:31:00Z,52.00,50.00
2026-04-11T13:35:00Z,51.00,51.00
2026-04-11T13:36:00Z,52.62,51.00
2026-04-11T13:37:00Z,55.07,48.18
2026-04-11T13:38:00Z,55.66,45.00
2026-04-11T13:39:00Z,57.33,44.91
2026-04-11T13:40:00Z,50.02,55.32
2026-04-11T13:41:00Z,46.46,55.73
2026-04-11T13:42:00Z,46.25,54.48
2026-04-11T13:43:00Z,43.51,56.40
2026-04-11T13:44:00Z,43.25,56.21
2026-04-11T13:45:00Z,45.27,54.09
2026-04-11T13:46:00Z,46.05,53.07
2026-04-11T13:47:00Z,45.51,56.80
2026-04-11T13:48:00Z,49.19,52.34
2026-04-11T13:49:00Z,47.33,50.61
2026-04-11T13:50:00Z,46.79,54.24
2026-04-11T13:51:00Z,42.82,58.54
2026-04-11T13:52:00Z,44.08,57.34
2026-04-11T13:53:00Z,43.43,62.92
2026-04-11T13:54:00Z,42.73,57.85
2026-04-11T13:55:00Z,40.67,58.31
2026-04-11T13:56:00Z,35.39,61.10
2026-04-11T13:57:00Z,43.36,56.16
2026-04-11T13:58:00Z,45.52,55.81
2026-04-11T13:59:00Z,46.00,56.00
2026-04-11T14:00:00Z,45.50,55.41
2026-04-11T14:01:00Z,50.65,51.64
2026-04-11T14:02:00Z,57.98,43.22
2026-04-11T14:03:00Z,62.87,38.35
2026-04-11T14:04:00Z,63.05,36.68
2026-04-11T14:05:00Z,65.00,34.12
2026-04-11T14:06:00Z,64.01,37.55
