# event_ticker=KXATPCHALLENGERMATCH-26APR28JADLAN
# final_score=4-6 6-1 6-3
# score_resolution=6-4 1-6 3-6
# match_winner=Martin Landaluce
# fav_player=Daniel Jade
# dog_player=Martin Landaluce
# kalshi_date=2026-04-28
timestamp,Daniel Jade,Martin Landaluce
2026-04-28T02:01:00Z,,91.95
2026-04-28T02:06:00Z,,92.00
2026-04-28T02:11:00Z,9.00,91.00
2026-04-28T02:13:00Z,7.00,91.00
2026-04-28T02:16:00Z,7.00,91.00
2026-04-28T02:21:00Z,7.00,92.00
2026-04-28T02:26:00Z,7.00,92.00
2026-04-28T02:31:00Z,7.00,92.00
2026-04-28T03:01:00Z,9.00,92.00
2026-04-28T03:50:00Z,9.00,94.00
2026-04-28T06:07:00Z,9.00,94.00
2026-04-28T06:08:00Z,7.00,94.00
2026-04-28T06:31:00Z,7.00,92.09
2026-04-28T07:49:00Z,8.00,92.09
2026-04-28T08:20:00Z,8.00,92.09
2026-04-28T11:13:00Z,8.00,93.00
2026-04-28T11:54:00Z,7.00,93.00
2026-04-28T11:58:00Z,7.00,95.00
2026-04-28T12:21:00Z,7.00,95.00
2026-04-28T12:30:00Z,7.00,95.00
2026-04-28T12:35:00Z,7.00,95.00
2026-04-28T12:43:00Z,7.00,95.00
2026-04-28T12:44:00Z,7.00,95.00
2026-04-28T12:54:00Z,6.00,95.00
2026-04-28T12:56:00Z,6.00,95.00
2026-04-28T12:58:00Z,6.00,95.00
2026-04-28T13:02:00Z,6.00,95.00
2026-04-28T13:14:00Z,6.00,95.00
2026-04-28T13:18:00Z,6.00,95.00
2026-04-28T13:20:00Z,6.48,95.00
2026-04-28T13:22:00Z,7.00,95.00
2026-04-28T13:23:00Z,7.00,95.00
2026-04-28T13:31:00Z,7.00,95.00
2026-04-28T13:33:00Z,7.00,95.00
2026-04-28T13:35:00Z,7.55,95.00
2026-04-28T13:36:00Z,7.55,95.00
2026-04-28T13:39:00Z,7.55,95.00
2026-04-28T13:40:00Z,7.00,95.00
2026-04-28T13:45:00Z,7.00,95.00
2026-04-28T13:51:00Z,5.19,95.00
2026-04-28T13:53:00Z,7.00,95.00
2026-04-28T13:54:00Z,7.00,95.00
2026-04-28T13:55:00Z,7.00,95.92
2026-04-28T13:56:00Z,6.11,95.92
2026-04-28T13:57:00Z,5.01,95.92
2026-04-28T13:58:00Z,6.00,95.92
2026-04-28T13:59:00Z,4.15,95.00
2026-04-28T14:00:00Z,4.00,96.00
2026-04-28T14:01:00Z,4.34,96.00
2026-04-28T14:02:00Z,6.00,94.00
2026-04-28T14:03:00Z,7.06,94.00
2026-04-28T14:04:00Z,7.57,93.00
2026-04-28T14:05:00Z,7.07,92.99
2026-04-28T14:06:00Z,7.00,93.03
2026-04-28T14:07:00Z,6.00,93.03
2026-04-28T14:08:00Z,6.23,94.00
2026-04-28T14:09:00Z,7.00,94.00
2026-04-28T14:10:00Z,7.93,92.04
2026-04-28T14:11:00Z,8.48,92.04
2026-04-28T14:12:00Z,8.70,92.00
2026-04-28T14:14:00Z,7.00,92.00
2026-04-28T14:15:00Z,6.49,92.00
2026-04-28T14:16:00Z,7.40,93.00
2026-04-28T14:17:00Z,8.00,93.00
2026-04-28T14:18:00Z,10.00,90.68
2026-04-28T14:19:00Z,13.01,86.08
2026-04-28T14:20:00Z,17.05,82.00
2026-04-28T14:21:00Z,22.55,80.90
2026-04-28T14:22:00Z,22.59,80.90
2026-04-28T14:23:00Z,19.40,81.94
2026-04-28T14:24:00Z,22.43,77.00
2026-04-28T14:25:00Z,23.57,76.36
2026-04-28T14:26:00Z,26.89,72.00
2026-04-28T14:27:00Z,25.51,72.92
