# event_ticker=KXATPMATCH-25OCT27KOVKEC
# final_score=6-4 1-6 7-6(2)
# score_resolution=4-6 6-1 6-7
# match_winner=Miomir Kecmanovic
# fav_player=Aleksandar Kovacevic
# dog_player=Miomir Kecmanovic
# kalshi_date=2025-10-27
timestamp,Aleksandar Kovacevic,Miomir Kecmanovic
2025-10-27T03:20:00Z,38.00,
2025-10-27T03:32:00Z,38.00,62.00
2025-10-27T03:46:00Z,39.00,62.00
2025-10-27T03:53:00Z,39.00,62.00
2025-10-27T04:16:00Z,39.00,62.00
2025-10-27T04:27:00Z,39.00,62.00
2025-10-27T04:29:00Z,39.00,62.00
2025-10-27T04:41:00Z,39.00,62.00
2025-10-27T04:52:00Z,39.00,62.00
2025-10-27T04:58:00Z,39.00,61.00
2025-10-27T05:11:00Z,39.00,61.00
2025-10-27T07:29:00Z,39.00,61.00
2025-10-27T07:39:00Z,39.00,61.00
2025-10-27T07:49:00Z,39.00,62.00
2025-10-27T07:52:00Z,39.00,62.00
2025-10-27T09:23:00Z,39.00,62.00
2025-10-27T11:09:00Z,39.00,62.00
2025-10-27T11:24:00Z,39.00,62.00
2025-10-27T11:27:00Z,39.00,62.00
2025-10-27T11:37:00Z,39.00,61.00
2025-10-27T11:38:00Z,40.00,61.00
2025-10-27T11:56:00Z,40.00,58.00
2025-10-27T12:01:00Z,40.00,58.00
2025-10-27T12:15:00Z,41.00,58.00
2025-10-27T12:19:00Z,41.00,58.00
2025-10-27T12:22:00Z,40.41,58.00
2025-10-27T12:40:00Z,40.41,58.00
2025-10-27T12:44:00Z,40.41,58.00
2025-10-27T12:45:00Z,41.00,58.00
2025-10-27T12:47:00Z,41.00,58.00
2025-10-27T12:48:00Z,41.00,58.00
2025-10-27T12:51:00Z,41.00,58.00
2025-10-27T12:52:00Z,41.00,58.00
2025-10-27T12:54:00Z,41.00,58.00
2025-10-27T12:58:00Z,41.00,58.00
2025-10-27T12:59:00Z,41.00,58.00
2025-10-27T13:00:00Z,41.00,58.00
2025-10-27T13:01:00Z,41.00,58.00
2025-10-27T13:02:00Z,41.00,58.00
2025-10-27T13:05:00Z,41.00,58.00
2025-10-27T13:06:00Z,41.00,58.00
2025-10-27T13:08:00Z,41.00,58.00
2025-10-27T13:09:00Z,40.00,58.00
2025-10-27T13:12:00Z,43.00,58.00
2025-10-27T13:14:00Z,43.00,58.00
2025-10-27T13:15:00Z,43.00,58.00
2025-10-27T13:16:00Z,43.00,59.00
2025-10-27T13:22:00Z,43.00,59.00
2025-10-27T13:23:00Z,43.00,59.00
2025-10-27T13:29:00Z,43.00,59.16
2025-10-27T13:30:00Z,43.00,60.00
2025-10-27T13:31:00Z,43.00,60.00
2025-10-27T13:32:00Z,43.00,60.00
2025-10-27T13:34:00Z,45.00,60.00
2025-10-27T13:35:00Z,45.13,60.00
2025-10-27T13:36:00Z,42.00,60.00
2025-10-27T13:37:00Z,45.00,56.00
2025-10-27T13:38:00Z,45.93,56.00
2025-10-27T13:39:00Z,47.00,56.00
2025-10-27T13:40:00Z,57.74,51.01
2025-10-27T13:41:00Z,56.47,43.38
2025-10-27T13:42:00Z,55.17,46.85
2025-10-27T13:43:00Z,51.64,52.12
2025-10-27T13:44:00Z,46.00,56.00
2025-10-27T13:45:00Z,46.00,56.06
2025-10-27T13:46:00Z,50.38,56.00
2025-10-27T13:47:00Z,54.76,45.58
2025-10-27T13:48:00Z,56.00,49.00
2025-10-27T13:49:00Z,49.66,51.22
2025-10-27T13:50:00Z,51.65,47.39
2025-10-27T13:51:00Z,49.17,47.39
2025-10-27T13:52:00Z,44.92,52.00
2025-10-27T13:53:00Z,44.00,52.00
2025-10-27T13:54:00Z,51.43,51.91
2025-10-27T13:56:00Z,51.00,50.27
2025-10-27T13:57:00Z,48.00,51.10
2025-10-27T13:58:00Z,45.41,55.99
2025-10-27T13:59:00Z,37.17,62.78
2025-10-27T14:00:00Z,24.83,73.51
2025-10-27T14:01:00Z,25.64,76.00
2025-10-27T14:02:00Z,26.22,74.93
2025-10-27T14:03:00Z,31.56,65.85
2025-10-27T14:04:00Z,30.34,70.55
2025-10-27T14:05:00Z,34.82,66.44
2025-10-27T14:06:00Z,30.21,71.36
2025-10-27T14:07:00Z,29.00,72.33
2025-10-27T14:08:00Z,24.00,76.14
2025-10-27T14:09:00Z,27.53,77.00
2025-10-27T14:10:00Z,26.00,75.00
2025-10-27T14:11:00Z,26.00,75.17
2025-10-27T14:12:00Z,22.06,76.48
2025-10-27T14:13:00Z,22.00,80.00
2025-10-27T14:14:00Z,22.00,80.57
2025-10-27T14:15:00Z,21.63,80.57
2025-10-27T14:16:00Z,18.78,81.00
2025-10-27T14:17:00Z,23.30,81.00
2025-10-27T14:18:00Z,23.30,78.00
2025-10-27T14:20:00Z,21.53,78.00
2025-10-27T14:21:00Z,20.36,82.00
2025-10-27T14:22:00Z,23.73,78.18
2025-10-27T14:23:00Z,25.00,78.18
2025-10-27T14:24:00Z,28.04,73.25
2025-10-27T14:25:00Z,28.04,63.00
