# event_ticker=KXATPCHALLENGERMATCH-26MAR11BURWON
# final_score=4-6 6-3 6-4
# score_resolution=6-4 3-6 4-6
# match_winner=Coleman Wong
# fav_player=Roman Andres Burruchaga
# dog_player=Coleman Wong
# kalshi_date=2026-03-11
timestamp,Roman Andres Burruchaga,Coleman Wong
2026-03-11T13:00:00Z,38.00,61.00
2026-03-11T13:26:00Z,38.00,61.00
2026-03-11T13:49:00Z,38.00,61.00
2026-03-11T14:54:00Z,38.00,61.00
2026-03-11T15:04:00Z,38.00,61.00
2026-03-11T16:06:00Z,38.00,62.00
2026-03-11T16:38:00Z,39.00,62.00
2026-03-11T18:44:00Z,39.00,62.00
2026-03-11T18:48:00Z,39.00,62.00
2026-03-11T19:06:00Z,39.00,62.00
2026-03-11T19:18:00Z,39.00,62.00
2026-03-11T19:38:00Z,39.00,62.00
2026-03-11T20:04:00Z,39.00,60.00
2026-03-11T20:11:00Z,39.00,63.00
2026-03-11T20:17:00Z,39.00,63.00
2026-03-11T20:20:00Z,39.00,63.00
2026-03-11T20:29:00Z,39.00,63.50
2026-03-11T20:30:00Z,39.00,63.75
2026-03-11T20:32:00Z,39.00,64.00
2026-03-11T20:35:00Z,39.00,64.00
2026-03-11T20:36:00Z,39.00,65.00
2026-03-11T20:37:00Z,36.18,65.00
2026-03-11T20:38:00Z,38.00,63.00
2026-03-11T20:39:00Z,43.10,55.84
2026-03-11T20:40:00Z,47.03,53.70
2026-03-11T20:41:00Z,41.00,60.12
2026-03-11T20:42:00Z,50.81,55.68
2026-03-11T20:43:00Z,50.57,48.27
2026-03-11T20:44:00Z,43.00,48.27
2026-03-11T20:45:00Z,43.00,59.00
2026-03-11T20:46:00Z,44.00,59.00
2026-03-11T20:47:00Z,41.00,63.00
2026-03-11T20:49:00Z,41.00,63.00
2026-03-11T20:50:00Z,36.00,65.00
2026-03-11T20:51:00Z,36.00,66.00
2026-03-11T20:52:00Z,37.72,63.00
2026-03-11T20:53:00Z,42.88,57.34
2026-03-11T20:54:00Z,42.88,59.15
2026-03-11T20:55:00Z,40.39,59.44
2026-03-11T20:56:00Z,41.00,60.41
2026-03-11T20:57:00Z,42.00,60.41
2026-03-11T20:58:00Z,40.00,60.41
2026-03-11T20:59:00Z,42.00,60.64
2026-03-11T21:01:00Z,37.29,65.45
2026-03-11T21:02:00Z,36.00,64.37
2026-03-11T21:03:00Z,39.49,60.86
2026-03-11T21:04:00Z,46.00,53.77
2026-03-11T21:05:00Z,45.41,57.44
2026-03-11T21:06:00Z,46.88,52.95
2026-03-11T21:07:00Z,59.31,41.28
2026-03-11T21:08:00Z,61.97,39.25
2026-03-11T21:10:00Z,61.97,42.00
2026-03-11T21:11:00Z,64.44,35.94
2026-03-11T21:12:00Z,66.00,35.08
2026-03-11T21:13:00Z,67.36,34.86
2026-03-11T21:14:00Z,69.16,30.82
2026-03-11T21:15:00Z,67.80,33.33
2026-03-11T21:16:00Z,66.19,33.99
2026-03-11T21:17:00Z,65.99,34.27
2026-03-11T21:18:00Z,65.99,31.75
