# event_ticker=KXATPMATCH-25AUG19BLAMUL
# final_score=6-7(3) 6-3 7-5
# score_resolution=6-7 6-3 7-5
# match_winner=Alexandre Muller
# fav_player=Alexandre Muller
# dog_player=Darwin Blanch
# kalshi_date=2025-08-19
timestamp,Alexandre Muller,Darwin Blanch
2025-08-19T11:50:00Z,95.00,
2025-08-19T11:59:00Z,67.00,
2025-08-19T12:01:00Z,67.00,42.00
2025-08-19T12:15:00Z,67.00,42.00
2025-08-19T12:22:00Z,67.00,42.00
2025-08-19T12:44:00Z,67.00,41.42
2025-08-19T13:00:00Z,62.00,41.42
2025-08-19T13:09:00Z,62.00,41.42
2025-08-19T13:25:00Z,62.00,41.42
2025-08-19T13:37:00Z,62.00,41.42
2025-08-19T13:43:00Z,62.00,41.42
2025-08-19T13:52:00Z,62.00,41.42
2025-08-19T13:58:00Z,62.00,39.00
2025-08-19T14:24:00Z,61.00,39.00
2025-08-19T14:26:00Z,61.00,40.00
2025-08-19T14:29:00Z,61.00,40.00
2025-08-19T14:32:00Z,62.00,40.00
2025-08-19T14:35:00Z,61.00,40.00
2025-08-19T14:37:00Z,62.00,40.00
2025-08-19T14:54:00Z,61.00,40.00
2025-08-19T14:59:00Z,61.00,39.00
2025-08-19T15:18:00Z,62.00,39.00
2025-08-19T15:25:00Z,62.00,39.00
2025-08-19T15:39:00Z,62.00,39.00
2025-08-19T15:46:00Z,60.00,40.05
2025-08-19T15:47:00Z,61.00,40.05
2025-08-19T16:14:00Z,61.00,40.00
2025-08-19T16:23:00Z,60.00,40.00
2025-08-19T16:32:00Z,60.00,40.00
2025-08-19T16:39:00Z,60.00,40.00
2025-08-19T16:44:00Z,61.75,40.00
2025-08-19T16:46:00Z,62.00,40.00
2025-08-19T16:58:00Z,61.66,40.00
2025-08-19T17:03:00Z,61.00,40.00
2025-08-19T17:12:00Z,62.00,40.00
2025-08-19T17:22:00Z,62.00,40.00
2025-08-19T17:23:00Z,62.00,40.00
2025-08-19T17:32:00Z,62.00,40.00
2025-08-19T17:37:00Z,62.00,40.00
2025-08-19T17:38:00Z,62.00,40.00
2025-08-19T17:48:00Z,62.00,40.00
2025-08-19T17:51:00Z,62.00,40.00
2025-08-19T17:58:00Z,62.00,40.00
2025-08-19T18:00:00Z,62.00,40.00
2025-08-19T18:04:00Z,63.00,40.00
2025-08-19T18:05:00Z,63.00,40.00
2025-08-19T18:08:00Z,63.00,39.00
2025-08-19T18:09:00Z,68.00,39.00
2025-08-19T18:10:00Z,74.32,39.00
2025-08-19T18:11:00Z,72.27,28.00
2025-08-19T18:12:00Z,75.00,28.00
2025-08-19T18:13:00Z,78.36,25.00
2025-08-19T18:14:00Z,77.18,24.00
2025-08-19T18:15:00Z,78.05,22.00
2025-08-19T18:16:00Z,84.91,22.00
2025-08-19T18:17:00Z,85.99,16.71
