# event_ticker=KXATPCHALLENGERMATCH-26MAY12SHIHAL
# final_score=6-4 6-2
# match_winner=Quentin Halys
# fav_player=Quentin Halys
# dog_player=Sho Shimabukuro
# kalshi_date=2026-05-12
timestamp,Sho Shimabukuro,Quentin Halys
2026-05-12T03:14:00Z,27.00,
2026-05-12T03:37:00Z,27.00,73.00
2026-05-12T04:01:00Z,27.00,73.00
2026-05-12T04:12:00Z,27.00,72.00
2026-05-12T04:31:00Z,27.00,73.00
2026-05-12T05:28:00Z,27.00,73.00
2026-05-12T05:29:00Z,27.00,73.00
2026-05-12T06:41:00Z,27.00,74.96
2026-05-12T07:46:00Z,27.00,76.00
2026-05-12T10:53:00Z,27.00,76.00
2026-05-12T11:59:00Z,25.00,76.00
2026-05-12T12:11:00Z,25.00,76.00
2026-05-12T12:19:00Z,25.00,76.00
2026-05-12T12:25:00Z,26.00,76.00
2026-05-12T12:39:00Z,27.00,75.00
2026-05-12T12:42:00Z,27.00,73.00
2026-05-12T12:43:00Z,24.00,78.00
2026-05-12T12:45:00Z,25.00,78.00
2026-05-12T12:46:00Z,25.00,76.00
2026-05-12T12:47:00Z,25.00,72.00
2026-05-12T12:48:00Z,32.90,70.50
2026-05-12T12:49:00Z,40.11,65.27
2026-05-12T12:50:00Z,30.85,71.10
2026-05-12T12:51:00Z,42.66,60.04
2026-05-12T12:52:00Z,44.00,60.04
2026-05-12T12:53:00Z,47.28,55.83
2026-05-12T12:54:00Z,49.65,51.60
2026-05-12T12:55:00Z,49.65,53.00
2026-05-12T12:56:00Z,45.00,53.00
2026-05-12T12:57:00Z,47.00,53.00
2026-05-12T12:58:00Z,47.39,53.01
2026-05-12T12:59:00Z,48.00,53.01
2026-05-12T13:00:00Z,48.00,51.00
2026-05-12T13:01:00Z,48.00,52.00
2026-05-12T13:02:00Z,49.00,52.00
2026-05-12T13:03:00Z,49.00,54.69
2026-05-12T13:04:00Z,47.26,54.16
2026-05-12T13:05:00Z,40.17,63.52
2026-05-12T13:06:00Z,36.76,68.78
2026-05-12T13:07:00Z,28.16,73.00
2026-05-12T13:08:00Z,25.00,74.73
2026-05-12T13:09:00Z,24.00,76.00
2026-05-12T13:10:00Z,21.91,78.01
2026-05-12T13:11:00Z,21.36,79.24
2026-05-12T13:12:00Z,20.54,81.10
2026-05-12T13:13:00Z,23.12,76.69
2026-05-12T13:14:00Z,21.72,79.57
2026-05-12T13:15:00Z,9.30,90.59
2026-05-12T13:16:00Z,8.26,92.00
2026-05-12T13:17:00Z,8.42,92.00
2026-05-12T13:18:00Z,9.00,91.91
2026-05-12T13:19:00Z,8.97,92.02
2026-05-12T13:20:00Z,8.26,93.00
2026-05-12T13:21:00Z,7.00,94.00
2026-05-12T13:22:00Z,7.63,94.00
2026-05-12T13:23:00Z,7.84,92.01
2026-05-12T13:24:00Z,8.00,92.01
2026-05-12T13:25:00Z,8.00,92.00
2026-05-12T13:26:00Z,8.69,92.23
2026-05-12T13:27:00Z,9.56,91.00
2026-05-12T13:28:00Z,9.98,91.04
2026-05-12T13:29:00Z,9.00,93.00
2026-05-12T13:30:00Z,8.00,93.00
2026-05-12T13:31:00Z,6.25,93.00
2026-05-12T13:32:00Z,4.79,95.96
2026-05-12T13:33:00Z,2.39,97.33
2026-05-12T13:34:00Z,1.28,97.33
2026-05-12T13:35:00Z,1.97,97.33
2026-05-12T13:36:00Z,2.00,99.00
2026-05-12T13:37:00Z,2.00,99.00
2026-05-12T13:38:00Z,2.00,98.85
2026-05-12T13:39:00Z,2.00,98.85
2026-05-12T13:40:00Z,1.97,99.00
2026-05-12T13:41:00Z,2.00,98.00
2026-05-12T13:42:00Z,2.03,98.00
2026-05-12T13:43:00Z,2.00,99.00
2026-05-12T13:44:00Z,1.00,99.00
2026-05-12T13:46:00Z,1.00,99.00
2026-05-12T13:48:00Z,1.00,99.00
2026-05-12T13:49:00Z,1.00,99.00
