# event_ticker=KXATPCHALLENGERMATCH-26JUN05ROCBER
# final_score=6-2 4-6 6-2
# match_winner=Henrique Rocha
# fav_player=Henrique Rocha
# dog_player=Remy Bertola
# kalshi_date=2026-06-05
timestamp,Henrique Rocha,Remy Bertola
2026-06-05T02:54:00Z,71.00,
2026-06-05T03:12:00Z,71.00,
2026-06-05T03:38:00Z,71.00,31.00
2026-06-05T03:39:00Z,69.00,31.00
2026-06-05T03:54:00Z,69.00,31.00
2026-06-05T03:55:00Z,70.00,31.00
2026-06-05T04:00:00Z,69.00,31.00
2026-06-05T04:46:00Z,70.00,31.00
2026-06-05T04:56:00Z,70.00,31.00
2026-06-05T04:58:00Z,71.00,31.00
2026-06-05T05:02:00Z,71.00,30.00
2026-06-05T05:07:00Z,71.00,30.00
2026-06-05T05:11:00Z,71.00,30.00
2026-06-05T05:12:00Z,71.00,31.00
2026-06-05T05:41:00Z,71.00,31.00
2026-06-05T06:17:00Z,71.00,31.00
2026-06-05T06:57:00Z,71.00,31.00
2026-06-05T07:05:00Z,71.00,31.00
2026-06-05T07:38:00Z,71.00,31.00
2026-06-05T07:48:00Z,71.00,31.00
2026-06-05T07:53:00Z,71.00,31.00
2026-06-05T08:15:00Z,71.00,31.00
2026-06-05T08:24:00Z,71.00,31.00
2026-06-05T08:55:00Z,71.00,31.00
2026-06-05T09:28:00Z,71.00,31.00
2026-06-05T10:18:00Z,71.00,31.00
2026-06-05T11:45:00Z,71.00,31.00
2026-06-05T12:01:00Z,71.00,31.00
2026-06-05T12:02:00Z,71.00,31.00
2026-06-05T12:21:00Z,71.00,31.00
2026-06-05T12:40:00Z,71.00,31.00
2026-06-05T12:42:00Z,71.00,31.00
2026-06-05T12:47:00Z,71.00,30.00
2026-06-05T12:48:00Z,71.00,30.00
2026-06-05T12:57:00Z,71.00,30.00
2026-06-05T13:06:00Z,71.00,30.00
2026-06-05T13:07:00Z,71.00,30.00
2026-06-05T13:10:00Z,71.00,30.00
