# event_ticker=KXATPCHALLENGERMATCH-26APR20GADCUE
# final_score=7-6(6) 7-6(2)
# score_resolution=6-7 6-7
# match_winner=Buvaysar Gadamauri
# fav_player=Sean Cuenin
# dog_player=Buvaysar Gadamauri
# kalshi_date=2026-04-20
timestamp,Buvaysar Gadamauri,Sean Cuenin
2026-04-20T00:50:00Z,52.00,
2026-04-20T01:03:00Z,52.00,50.00
2026-04-20T02:03:00Z,53.00,50.00
2026-04-20T02:26:00Z,53.00,50.00
2026-04-20T03:38:00Z,53.00,50.00
2026-04-20T04:28:00Z,53.00,50.00
2026-04-20T05:19:00Z,53.00,47.00
2026-04-20T05:50:00Z,53.00,47.00
2026-04-20T06:14:00Z,52.00,47.00
2026-04-20T06:55:00Z,52.00,50.79
2026-04-20T07:06:00Z,52.86,50.79
2026-04-20T09:33:00Z,53.25,50.79
2026-04-20T09:45:00Z,53.00,50.79
2026-04-20T09:50:00Z,53.00,50.79
2026-04-20T10:38:00Z,53.00,51.91
2026-04-20T10:41:00Z,53.00,46.07
2026-04-20T10:43:00Z,53.00,54.35
2026-04-20T10:44:00Z,53.00,56.77
2026-04-20T10:45:00Z,50.74,56.00
2026-04-20T10:46:00Z,46.52,56.00
2026-04-20T10:47:00Z,46.52,59.00
2026-04-20T10:48:00Z,46.52,60.93
2026-04-20T10:49:00Z,48.00,60.02
2026-04-20T10:50:00Z,50.34,52.00
2026-04-20T10:51:00Z,48.50,53.00
2026-04-20T10:52:00Z,48.50,50.91
2026-04-20T10:53:00Z,48.50,56.92
2026-04-20T10:56:00Z,45.00,56.92
2026-04-20T10:58:00Z,45.00,54.52
2026-04-20T10:59:00Z,44.00,53.82
2026-04-20T11:00:00Z,44.00,57.00
2026-04-20T11:01:00Z,41.00,58.66
2026-04-20T11:03:00Z,35.24,60.01
2026-04-20T11:04:00Z,35.24,63.60
2026-04-20T11:08:00Z,35.24,65.00
2026-04-20T11:10:00Z,43.39,59.48
2026-04-20T11:11:00Z,51.08,55.46
2026-04-20T11:12:00Z,51.00,50.00
2026-04-20T11:13:00Z,52.64,48.30
2026-04-20T11:14:00Z,50.00,53.09
2026-04-20T11:15:00Z,60.83,34.41
2026-04-20T11:16:00Z,64.00,33.99
2026-04-20T11:17:00Z,64.00,37.45
2026-04-20T11:18:00Z,67.00,30.89
2026-04-20T11:19:00Z,63.28,35.71
2026-04-20T11:20:00Z,50.26,50.79
2026-04-20T11:21:00Z,50.26,49.63
2026-04-20T11:22:00Z,59.00,49.74
2026-04-20T11:23:00Z,59.00,47.00
2026-04-20T11:24:00Z,53.00,52.55
2026-04-20T11:25:00Z,53.00,54.79
2026-04-20T11:26:00Z,46.67,56.96
2026-04-20T11:27:00Z,46.67,60.60
2026-04-20T11:28:00Z,50.54,52.00
2026-04-20T11:29:00Z,48.17,52.57
2026-04-20T11:30:00Z,43.75,57.60
2026-04-20T11:31:00Z,43.00,59.15
2026-04-20T11:32:00Z,41.00,59.15
2026-04-20T11:33:00Z,36.09,65.65
2026-04-20T11:35:00Z,33.79,71.46
2026-04-20T11:36:00Z,38.85,62.32
2026-04-20T11:37:00Z,40.16,61.01
2026-04-20T11:38:00Z,47.93,51.06
