# event_ticker=KXATPMATCH-26JAN06LEHKOR
# final_score=6-3 1-2 RET
# match_winner=Sebastian Korda
# fav_player=Jiri Lehecka
# dog_player=Sebastian Korda
# kalshi_date=2026-01-06
timestamp,Jiri Lehecka,Sebastian Korda
2026-01-07T01:50:00Z,,44.00
2026-01-07T01:55:00Z,,44.00
2026-01-07T02:17:00Z,58.00,44.00
2026-01-07T02:19:00Z,58.00,44.00
2026-01-07T02:22:00Z,58.00,44.00
2026-01-07T02:25:00Z,58.00,44.00
2026-01-07T02:29:00Z,58.00,44.00
2026-01-07T02:33:00Z,58.00,44.87
2026-01-07T02:34:00Z,58.00,44.87
2026-01-07T02:35:00Z,58.00,45.00
2026-01-07T02:36:00Z,58.00,45.00
2026-01-07T02:38:00Z,58.00,45.00
2026-01-07T02:42:00Z,58.00,45.00
2026-01-07T02:49:00Z,58.00,45.00
2026-01-07T02:50:00Z,58.00,45.00
2026-01-07T03:00:00Z,58.00,45.00
2026-01-07T03:02:00Z,58.00,45.00
2026-01-07T03:04:00Z,58.00,44.00
2026-01-07T03:07:00Z,58.00,44.00
2026-01-07T03:10:00Z,58.00,44.00
2026-01-07T03:11:00Z,58.00,44.00
2026-01-07T03:20:00Z,58.00,44.00
2026-01-07T03:21:00Z,58.00,44.00
2026-01-07T03:22:00Z,58.00,44.00
2026-01-07T03:23:00Z,57.00,44.00
2026-01-07T03:24:00Z,58.00,44.00
2026-01-07T03:25:00Z,58.00,44.00
2026-01-07T03:26:00Z,58.00,44.00
2026-01-07T03:27:00Z,58.28,43.00
2026-01-07T03:28:00Z,59.00,43.00
2026-01-07T03:29:00Z,59.00,43.00
2026-01-07T03:30:00Z,59.00,43.00
2026-01-07T03:32:00Z,59.00,43.00
2026-01-07T03:34:00Z,59.00,44.00
2026-01-07T03:35:00Z,59.00,44.00
2026-01-07T03:36:00Z,59.00,44.00
2026-01-07T03:38:00Z,58.17,44.00
2026-01-07T03:39:00Z,59.00,44.00
2026-01-07T03:43:00Z,59.00,43.98
2026-01-07T03:46:00Z,59.00,43.98
2026-01-07T03:47:00Z,59.00,43.98
2026-01-07T03:49:00Z,59.00,45.00
2026-01-07T03:51:00Z,59.00,45.00
2026-01-07T03:54:00Z,59.00,45.00
2026-01-07T03:55:00Z,59.00,45.00
2026-01-07T03:56:00Z,56.49,45.00
2026-01-07T03:57:00Z,57.00,45.00
2026-01-07T03:59:00Z,57.00,45.00
2026-01-07T04:00:00Z,57.00,45.00
2026-01-07T04:01:00Z,57.00,45.00
2026-01-07T04:02:00Z,57.00,45.00
2026-01-07T04:04:00Z,57.00,45.00
2026-01-07T04:05:00Z,58.00,45.00
2026-01-07T04:07:00Z,58.00,45.00
2026-01-07T04:10:00Z,58.00,45.00
2026-01-07T04:12:00Z,57.50,45.00
2026-01-07T04:14:00Z,57.00,45.00
2026-01-07T04:16:00Z,57.00,43.64
2026-01-07T04:17:00Z,57.00,44.00
2026-01-07T04:18:00Z,57.00,44.00
2026-01-07T04:19:00Z,57.00,44.00
2026-01-07T04:21:00Z,57.00,42.00
2026-01-07T04:22:00Z,59.00,42.00
2026-01-07T04:23:00Z,59.00,40.00
2026-01-07T04:24:00Z,58.00,40.00
2026-01-07T04:27:00Z,59.00,40.00
2026-01-07T04:29:00Z,60.00,40.00
2026-01-07T04:30:00Z,60.70,42.00
2026-01-07T04:31:00Z,58.31,42.00
2026-01-07T04:32:00Z,61.92,42.00
2026-01-07T04:34:00Z,58.18,42.00
2026-01-07T04:35:00Z,61.00,42.00
2026-01-07T04:36:00Z,61.00,40.00
2026-01-07T04:37:00Z,61.29,41.00
2026-01-07T04:38:00Z,61.43,41.00
2026-01-07T04:39:00Z,61.00,41.00
2026-01-07T04:40:00Z,61.00,39.44
2026-01-07T04:41:00Z,61.21,39.63
2026-01-07T04:42:00Z,62.00,40.00
2026-01-07T04:44:00Z,62.00,39.00
2026-01-07T04:45:00Z,62.00,41.00
2026-01-07T04:46:00Z,62.00,41.00
2026-01-07T04:47:00Z,62.28,41.00
2026-01-07T04:48:00Z,61.00,41.18
2026-01-07T04:49:00Z,58.82,43.04
2026-01-07T04:50:00Z,57.00,45.00
2026-01-07T04:51:00Z,60.60,42.89
2026-01-07T04:52:00Z,61.51,38.83
2026-01-07T04:53:00Z,61.58,40.90
2026-01-07T04:54:00Z,62.00,40.02
2026-01-07T04:55:00Z,64.44,37.02
2026-01-07T04:56:00Z,60.22,43.88
2026-01-07T04:57:00Z,56.06,45.00
2026-01-07T04:58:00Z,56.21,45.00
2026-01-07T04:59:00Z,57.34,45.00
2026-01-07T05:00:00Z,56.49,46.77
2026-01-07T05:01:00Z,53.41,49.66
2026-01-07T05:02:00Z,51.75,49.13
2026-01-07T05:03:00Z,50.98,51.85
2026-01-07T05:04:00Z,52.30,51.85
2026-01-07T05:05:00Z,54.17,46.37
2026-01-07T05:06:00Z,50.42,46.37
2026-01-07T05:07:00Z,48.03,53.98
2026-01-07T05:08:00Z,46.66,53.00
2026-01-07T05:09:00Z,51.83,51.76
2026-01-07T05:10:00Z,53.29,50.00
2026-01-07T05:11:00Z,58.00,50.12
2026-01-07T05:13:00Z,50.64,53.00
