# event_ticker=KXATPCHALLENGERMATCH-26APR21KRUNED
# final_score=1-6 6-2 6-4
# score_resolution=6-1 2-6 4-6
# match_winner=Andrej Nedic
# fav_player=Oleksii Krutykh
# dog_player=Andrej Nedic
# kalshi_date=2026-04-21
timestamp,Oleksii Krutykh,Andrej Nedic
2026-04-21T01:25:00Z,31.00,
2026-04-21T01:51:00Z,31.00,70.00
2026-04-21T03:40:00Z,31.00,70.00
2026-04-21T03:49:00Z,31.00,70.00
2026-04-21T06:52:00Z,32.17,70.00
2026-04-21T07:40:00Z,32.17,69.00
2026-04-21T08:15:00Z,32.17,69.00
2026-04-21T09:29:00Z,32.17,69.00
2026-04-21T10:49:00Z,33.00,69.00
2026-04-21T10:51:00Z,33.00,69.00
2026-04-21T10:58:00Z,33.00,69.00
2026-04-21T11:03:00Z,33.00,69.00
2026-04-21T11:14:00Z,33.00,70.00
2026-04-21T11:15:00Z,33.00,70.00
2026-04-21T11:19:00Z,34.93,67.01
2026-04-21T11:20:00Z,36.00,69.00
2026-04-21T11:21:00Z,36.00,64.72
2026-04-21T11:22:00Z,40.23,64.73
2026-04-21T11:23:00Z,45.16,64.73
2026-04-21T11:24:00Z,48.86,52.96
2026-04-21T11:26:00Z,52.00,52.96
2026-04-21T11:27:00Z,52.00,47.33
2026-04-21T11:28:00Z,54.26,47.33
2026-04-21T11:29:00Z,57.14,44.85
2026-04-21T11:30:00Z,54.55,44.85
2026-04-21T11:31:00Z,55.00,47.71
2026-04-21T11:32:00Z,55.00,51.00
2026-04-21T11:33:00Z,55.00,57.00
2026-04-21T11:35:00Z,42.00,57.00
2026-04-21T11:36:00Z,44.82,55.00
2026-04-21T11:37:00Z,53.00,55.00
2026-04-21T11:38:00Z,55.90,34.67
2026-04-21T11:39:00Z,61.39,38.00
2026-04-21T11:40:00Z,63.22,38.00
2026-04-21T11:41:00Z,66.00,32.00
2026-04-21T11:42:00Z,68.00,32.00
2026-04-21T11:44:00Z,67.40,32.00
2026-04-21T11:45:00Z,70.00,32.00
2026-04-21T11:47:00Z,73.00,32.00
2026-04-21T11:49:00Z,71.00,30.49
2026-04-21T11:52:00Z,71.00,30.00
2026-04-21T11:53:00Z,74.00,23.18
2026-04-21T11:54:00Z,75.00,23.18
2026-04-21T11:55:00Z,75.00,27.55
2026-04-21T11:56:00Z,72.00,28.00
2026-04-21T11:57:00Z,72.00,28.00
2026-04-21T11:58:00Z,72.00,28.00
2026-04-21T11:59:00Z,73.91,28.00
2026-04-21T12:00:00Z,75.78,25.00
2026-04-21T12:01:00Z,75.95,26.49
2026-04-21T12:02:00Z,80.00,20.60
2026-04-21T12:03:00Z,76.00,21.93
2026-04-21T12:04:00Z,70.68,27.69
2026-04-21T12:05:00Z,76.08,27.50
2026-04-21T12:06:00Z,77.00,25.00
2026-04-21T12:07:00Z,78.53,21.43
2026-04-21T12:08:00Z,83.99,17.97
2026-04-21T12:09:00Z,83.25,15.94
2026-04-21T12:10:00Z,77.42,21.41
2026-04-21T12:11:00Z,75.00,24.84
2026-04-21T12:12:00Z,70.00,28.71
2026-04-21T12:13:00Z,69.87,30.08
2026-04-21T12:14:00Z,69.87,35.03
2026-04-21T12:15:00Z,55.21,44.16
2026-04-21T12:16:00Z,57.21,45.47
2026-04-21T12:17:00Z,55.08,44.95
2026-04-21T12:18:00Z,54.18,46.01
2026-04-21T12:19:00Z,53.00,45.00
2026-04-21T12:20:00Z,55.11,45.00
2026-04-21T12:21:00Z,56.00,45.00
2026-04-21T12:22:00Z,59.59,37.81
2026-04-21T12:23:00Z,68.00,37.00
2026-04-21T12:24:00Z,63.00,38.93
2026-04-21T12:25:00Z,59.84,43.07
2026-04-21T12:26:00Z,59.84,46.38
2026-04-21T12:27:00Z,49.60,49.99
2026-04-21T12:28:00Z,39.52,56.07
2026-04-21T12:29:00Z,41.12,59.34
2026-04-21T12:30:00Z,41.12,61.60
2026-04-21T12:31:00Z,41.12,61.00
2026-04-21T12:32:00Z,39.00,63.00
2026-04-21T12:33:00Z,39.52,60.73
2026-04-21T12:34:00Z,40.00,61.95
2026-04-21T12:35:00Z,40.00,64.00
2026-04-21T12:36:00Z,40.00,64.00
2026-04-21T12:37:00Z,43.18,60.59
2026-04-21T12:38:00Z,43.00,55.98
2026-04-21T12:39:00Z,42.00,61.95
2026-04-21T12:40:00Z,43.89,59.00
2026-04-21T12:41:00Z,44.00,56.45
2026-04-21T12:42:00Z,46.38,58.78
2026-04-21T12:43:00Z,44.35,54.58
2026-04-21T12:44:00Z,49.66,50.80
2026-04-21T12:45:00Z,50.17,49.85
2026-04-21T12:46:00Z,46.99,53.84
2026-04-21T12:47:00Z,45.35,56.93
2026-04-21T12:48:00Z,40.03,66.27
2026-04-21T12:49:00Z,27.85,75.22
2026-04-21T12:50:00Z,24.10,80.40
2026-04-21T12:51:00Z,21.90,79.98
2026-04-21T12:52:00Z,24.00,78.33
2026-04-21T12:53:00Z,29.45,77.26
2026-04-21T12:54:00Z,22.40,79.97
