# event_ticker=KXATPMATCH-26MAR17ARNSHE
# final_score=7-6(5) 6-7(5) 6-2
# score_resolution=7-6 6-7 6-2
# match_winner=Alexander Shevchenko
# fav_player=Alexander Shevchenko
# dog_player=Matteo Arnaldi
# kalshi_date=2026-03-17
timestamp,Alexander Shevchenko,Matteo Arnaldi
2026-03-20T12:15:00Z,,47.00
2026-03-20T12:32:00Z,,47.00
2026-03-20T12:46:00Z,54.00,47.00
2026-03-20T12:59:00Z,54.00,47.00
2026-03-20T13:20:00Z,54.00,47.00
2026-03-20T13:25:00Z,54.00,47.00
2026-03-20T13:39:00Z,54.00,47.00
2026-03-20T13:42:00Z,54.00,47.00
2026-03-20T13:44:00Z,54.00,47.00
2026-03-20T13:50:00Z,54.00,47.00
2026-03-20T14:26:00Z,54.00,47.00
2026-03-20T14:30:00Z,55.00,47.00
2026-03-20T14:31:00Z,55.00,47.00
2026-03-20T15:08:00Z,55.00,47.00
2026-03-20T15:33:00Z,56.00,47.00
2026-03-20T15:47:00Z,55.00,47.00
2026-03-20T15:51:00Z,55.00,47.00
2026-03-20T15:53:00Z,55.00,46.00
2026-03-20T15:56:00Z,56.00,46.00
2026-03-20T16:13:00Z,55.00,46.00
2026-03-20T16:41:00Z,55.87,46.00
2026-03-20T16:53:00Z,55.87,45.00
2026-03-20T16:54:00Z,56.00,45.00
2026-03-20T17:09:00Z,56.00,45.00
2026-03-20T17:12:00Z,57.00,45.00
2026-03-20T17:18:00Z,57.00,45.00
2026-03-20T17:22:00Z,57.00,45.00
2026-03-20T17:46:00Z,57.00,45.00
2026-03-20T18:00:00Z,57.00,45.00
2026-03-20T18:02:00Z,57.00,44.00
2026-03-20T18:04:00Z,57.00,44.00
2026-03-20T18:11:00Z,57.00,44.00
2026-03-20T18:16:00Z,57.00,44.00
2026-03-20T18:20:00Z,57.00,44.00
2026-03-20T18:28:00Z,57.00,44.00
2026-03-20T18:29:00Z,57.00,44.00
2026-03-20T18:34:00Z,57.00,44.00
2026-03-20T18:47:00Z,56.00,44.00
2026-03-20T19:44:00Z,57.00,44.00
2026-03-20T19:47:00Z,57.00,44.00
2026-03-20T19:54:00Z,57.00,44.00
2026-03-20T20:16:00Z,57.00,44.00
2026-03-20T20:35:00Z,56.00,44.00
2026-03-20T20:36:00Z,56.00,44.00
2026-03-20T20:48:00Z,55.22,44.00
2026-03-20T20:54:00Z,55.22,44.90
2026-03-20T21:22:00Z,55.00,44.90
2026-03-20T21:23:00Z,55.00,45.00
2026-03-20T21:25:00Z,55.00,45.00
2026-03-20T21:26:00Z,56.00,45.00
2026-03-20T21:27:00Z,56.00,45.00
2026-03-20T21:37:00Z,55.94,45.00
2026-03-20T21:38:00Z,56.18,45.00
2026-03-20T21:39:00Z,56.00,45.00
2026-03-20T21:54:00Z,56.00,46.00
2026-03-20T21:55:00Z,56.00,46.00
2026-03-20T21:57:00Z,56.00,46.00
2026-03-20T21:59:00Z,56.00,46.20
2026-03-20T22:00:00Z,51.08,50.00
2026-03-20T22:01:00Z,52.98,50.00
2026-03-20T22:02:00Z,51.00,47.00
2026-03-20T22:03:00Z,51.59,51.86
2026-03-20T22:05:00Z,50.00,48.00
2026-03-20T22:06:00Z,48.00,53.00
2026-03-20T22:07:00Z,48.00,53.00
2026-03-20T22:08:00Z,47.55,54.00
2026-03-20T22:10:00Z,47.55,51.00
2026-03-20T22:11:00Z,49.00,53.00
2026-03-20T22:12:00Z,49.00,51.00
2026-03-20T22:13:00Z,49.00,52.10
2026-03-20T22:14:00Z,46.31,52.20
2026-03-20T22:15:00Z,40.52,60.73
2026-03-20T22:16:00Z,35.12,60.73
2026-03-20T22:17:00Z,46.08,57.40
2026-03-20T22:18:00Z,48.66,53.88
2026-03-20T22:19:00Z,48.16,50.00
2026-03-20T22:20:00Z,50.74,50.92
2026-03-20T22:21:00Z,49.63,54.77
2026-03-20T22:22:00Z,44.00,56.60
2026-03-20T22:23:00Z,43.00,57.85
2026-03-20T22:24:00Z,40.23,63.70
2026-03-20T22:25:00Z,36.92,65.98
2026-03-20T22:26:00Z,43.65,59.89
2026-03-20T22:27:00Z,47.67,55.03
2026-03-20T22:28:00Z,47.00,57.90
2026-03-20T22:29:00Z,42.97,59.00
2026-03-20T22:30:00Z,41.00,59.98
