# event_ticker=KXATPCHALLENGERMATCH-26MAR25MEJMAR
# final_score=6-4 6-4
# score_resolution=4-6 4-6
# match_winner=Nicolas Mejia
# fav_player=Andres Martin
# dog_player=Nicolas Mejia
# kalshi_date=2026-03-25
timestamp,Andres Martin,Nicolas Mejia
2026-03-25T08:33:00Z,,57.00
2026-03-25T08:34:00Z,,63.00
2026-03-25T08:48:00Z,,57.00
2026-03-25T09:23:00Z,,63.00
2026-03-25T09:24:00Z,,61.00
2026-03-25T09:31:00Z,41.00,61.00
2026-03-25T09:52:00Z,41.00,58.00
2026-03-25T10:07:00Z,44.00,58.00
2026-03-25T10:55:00Z,44.00,58.00
2026-03-25T11:26:00Z,41.00,58.77
2026-03-25T12:04:00Z,41.00,63.00
2026-03-25T12:23:00Z,41.00,63.00
2026-03-25T12:34:00Z,41.00,63.00
2026-03-25T12:35:00Z,37.00,63.00
2026-03-25T12:51:00Z,37.00,63.00
2026-03-25T14:17:00Z,37.00,63.53
2026-03-25T14:22:00Z,37.00,64.00
2026-03-25T14:29:00Z,39.00,64.00
2026-03-25T14:32:00Z,39.00,63.41
2026-03-25T14:35:00Z,39.00,63.41
2026-03-25T14:56:00Z,39.00,63.41
2026-03-25T15:27:00Z,39.00,63.41
2026-03-25T15:33:00Z,39.00,62.00
2026-03-25T15:47:00Z,39.00,62.00
2026-03-25T15:57:00Z,39.00,62.00
2026-03-25T15:58:00Z,39.00,62.00
2026-03-25T16:10:00Z,39.75,62.00
2026-03-25T16:15:00Z,40.00,62.00
2026-03-25T16:18:00Z,40.00,62.00
2026-03-25T16:31:00Z,40.00,62.00
2026-03-25T16:34:00Z,40.00,62.00
2026-03-25T16:40:00Z,40.00,61.00
2026-03-25T16:44:00Z,40.00,62.00
2026-03-25T16:47:00Z,40.00,62.67
2026-03-25T16:48:00Z,39.00,63.00
2026-03-25T16:52:00Z,37.00,63.00
2026-03-25T16:56:00Z,39.00,63.00
2026-03-25T16:57:00Z,36.00,63.00
2026-03-25T17:02:00Z,38.00,63.00
2026-03-25T17:08:00Z,38.00,64.00
2026-03-25T17:13:00Z,38.00,64.00
2026-03-25T17:17:00Z,37.00,64.00
2026-03-25T17:28:00Z,37.00,64.00
2026-03-25T17:34:00Z,37.00,64.00
2026-03-25T17:40:00Z,37.00,63.00
2026-03-25T17:48:00Z,37.00,63.00
2026-03-25T17:50:00Z,37.00,63.00
2026-03-25T17:52:00Z,37.00,63.00
2026-03-25T17:55:00Z,37.00,63.00
2026-03-25T17:57:00Z,37.00,63.00
2026-03-25T17:58:00Z,37.00,63.00
2026-03-25T18:00:00Z,37.00,63.00
2026-03-25T18:02:00Z,37.00,63.00
2026-03-25T18:03:00Z,37.00,63.00
2026-03-25T18:12:00Z,37.00,62.00
2026-03-25T18:15:00Z,37.00,63.97
2026-03-25T18:20:00Z,37.00,62.00
2026-03-25T18:21:00Z,38.14,62.00
2026-03-25T18:26:00Z,38.14,63.00
2026-03-25T18:27:00Z,38.14,63.62
2026-03-25T18:32:00Z,38.14,64.00
2026-03-25T18:37:00Z,38.00,64.00
2026-03-25T18:38:00Z,38.00,62.00
2026-03-25T18:40:00Z,36.06,62.00
2026-03-25T18:44:00Z,38.44,62.00
2026-03-25T18:45:00Z,37.00,63.67
2026-03-25T18:46:00Z,34.67,74.29
2026-03-25T18:47:00Z,32.71,73.00
2026-03-25T18:48:00Z,25.00,74.27
2026-03-25T18:49:00Z,25.00,76.00
2026-03-25T18:50:00Z,24.59,75.08
2026-03-25T18:51:00Z,26.06,76.20
2026-03-25T18:52:00Z,22.71,78.08
2026-03-25T18:53:00Z,23.18,77.81
2026-03-25T18:54:00Z,22.20,77.77
2026-03-25T18:55:00Z,24.95,76.44
2026-03-25T18:56:00Z,25.00,76.81
2026-03-25T18:57:00Z,25.00,75.69
2026-03-25T18:58:00Z,27.76,68.41
2026-03-25T18:59:00Z,28.17,74.82
2026-03-25T19:00:00Z,24.00,77.00
2026-03-25T19:01:00Z,23.59,78.11
2026-03-25T19:02:00Z,23.59,74.00
2026-03-25T19:03:00Z,26.00,74.95
2026-03-25T19:04:00Z,26.24,75.00
2026-03-25T19:05:00Z,30.36,71.96
2026-03-25T19:06:00Z,30.26,74.00
2026-03-25T19:07:00Z,34.83,64.49
2026-03-25T19:08:00Z,28.06,70.53
2026-03-25T19:09:00Z,32.37,67.10
2026-03-25T19:10:00Z,28.48,71.58
2026-03-25T19:11:00Z,23.34,76.83
2026-03-25T19:12:00Z,25.85,76.83
2026-03-25T19:13:00Z,27.14,74.03
2026-03-25T19:14:00Z,27.14,74.00
2026-03-25T19:15:00Z,24.16,75.50
2026-03-25T19:16:00Z,24.16,78.00
2026-03-25T19:17:00Z,24.16,80.00
2026-03-25T19:18:00Z,23.57,77.45
2026-03-25T19:19:00Z,23.00,77.28
2026-03-25T19:20:00Z,23.00,78.00
2026-03-25T19:21:00Z,23.04,75.70
2026-03-25T19:22:00Z,25.24,72.82
2026-03-25T19:23:00Z,27.49,69.12
2026-03-25T19:24:00Z,21.73,76.00
2026-03-25T19:25:00Z,20.00,79.07
2026-03-25T19:26:00Z,20.00,80.13
2026-03-25T19:27:00Z,21.43,79.74
2026-03-25T19:28:00Z,19.14,80.53
2026-03-25T19:29:00Z,22.84,78.51
2026-03-25T19:30:00Z,22.99,78.00
2026-03-25T19:31:00Z,23.87,77.00
2026-03-25T19:32:00Z,25.56,74.03
2026-03-25T19:33:00Z,32.65,70.05
2026-03-25T19:34:00Z,37.92,59.90
2026-03-25T19:35:00Z,43.42,57.83
2026-03-25T19:36:00Z,44.72,56.39
2026-03-25T19:37:00Z,44.15,57.12
2026-03-25T19:38:00Z,37.79,61.48
2026-03-25T19:39:00Z,37.87,66.69
2026-03-25T19:40:00Z,36.00,63.59
2026-03-25T19:41:00Z,38.76,61.80
2026-03-25T19:42:00Z,40.87,59.98
2026-03-25T19:43:00Z,41.38,59.92
2026-03-25T19:44:00Z,44.12,57.27
2026-03-25T19:45:00Z,42.22,58.43
2026-03-25T19:46:00Z,38.06,60.64
2026-03-25T19:47:00Z,36.97,63.30
2026-03-25T19:48:00Z,37.59,65.39
2026-03-25T19:49:00Z,37.29,63.16
2026-03-25T19:50:00Z,34.91,66.61
2026-03-25T19:51:00Z,36.19,65.84
2026-03-25T19:52:00Z,36.28,62.57
2026-03-25T19:53:00Z,39.50,63.92
2026-03-25T19:54:00Z,41.00,60.00
2026-03-25T19:55:00Z,42.55,58.05
2026-03-25T19:56:00Z,41.01,59.51
2026-03-25T19:57:00Z,39.03,61.29
2026-03-25T19:58:00Z,41.13,61.00
2026-03-25T19:59:00Z,40.56,59.78
2026-03-25T20:00:00Z,38.94,61.75
2026-03-25T20:01:00Z,40.13,59.21
2026-03-25T20:02:00Z,34.88,61.56
2026-03-25T20:03:00Z,28.04,70.25
2026-03-25T20:04:00Z,27.14,75.29
