# event_ticker=KXATPCHALLENGERMATCH-26APR29GASBLA
# final_score=3-6 6-3 6-0
# match_winner=Darwin Blanch
# fav_player=Darwin Blanch
# dog_player=Hugo Gaston
# kalshi_date=2026-04-29
timestamp,Hugo Gaston,Darwin Blanch
2026-04-28T22:55:00Z,63.00,
2026-04-29T00:08:00Z,63.00,
2026-04-29T00:40:00Z,63.00,37.97
2026-04-29T00:56:00Z,63.00,37.00
2026-04-29T02:21:00Z,63.00,37.00
2026-04-29T02:28:00Z,63.00,37.00
2026-04-29T02:53:00Z,63.00,37.00
2026-04-29T02:58:00Z,63.00,37.00
2026-04-29T03:03:00Z,63.00,38.00
2026-04-29T03:04:00Z,63.00,37.00
2026-04-29T03:11:00Z,63.00,38.00
2026-04-29T03:17:00Z,63.00,38.00
2026-04-29T03:19:00Z,63.00,38.00
2026-04-29T04:03:00Z,63.00,38.00
2026-04-29T04:26:00Z,63.00,37.50
2026-04-29T04:33:00Z,63.00,37.50
2026-04-29T04:50:00Z,63.00,38.00
2026-04-29T04:55:00Z,63.00,38.00
2026-04-29T04:59:00Z,62.02,38.00
2026-04-29T05:03:00Z,63.00,38.00
2026-04-29T05:07:00Z,63.00,38.00
2026-04-29T05:24:00Z,63.00,38.00
2026-04-29T05:30:00Z,63.00,38.00
2026-04-29T05:37:00Z,63.00,38.00
2026-04-29T05:52:00Z,63.00,38.00
2026-04-29T05:57:00Z,63.00,38.00
2026-04-29T07:11:00Z,63.00,38.00
2026-04-29T07:22:00Z,63.00,38.00
2026-04-29T07:24:00Z,63.00,38.00
2026-04-29T07:25:00Z,63.00,38.00
2026-04-29T07:26:00Z,63.00,38.00
2026-04-29T07:27:00Z,63.00,38.00
2026-04-29T07:28:00Z,63.00,38.00
2026-04-29T07:31:00Z,63.00,38.00
2026-04-29T07:34:00Z,63.00,38.00
2026-04-29T07:36:00Z,63.00,38.00
2026-04-29T07:39:00Z,63.00,38.00
2026-04-29T07:40:00Z,63.00,38.00
2026-04-29T07:41:00Z,63.00,38.00
2026-04-29T07:43:00Z,63.00,38.00
2026-04-29T07:47:00Z,63.00,38.00
2026-04-29T07:50:00Z,63.00,38.00
2026-04-29T08:01:00Z,63.00,39.00
2026-04-29T08:02:00Z,63.00,40.37
2026-04-29T08:05:00Z,63.00,40.37
2026-04-29T08:07:00Z,62.00,39.81
