# event_ticker=KXATPCHALLENGERMATCH-26APR28STEBAL
# final_score=6-2 6-1
# score_resolution=2-6 1-6
# match_winner=Hamish Stewart
# fav_player=Aditya Vishal Balsekar
# dog_player=Hamish Stewart
# kalshi_date=2026-04-28
timestamp,Hamish Stewart,Aditya Vishal Balsekar
2026-04-28T11:32:00Z,,10.00
2026-04-28T11:58:00Z,94.00,10.00
2026-04-28T13:45:00Z,94.00,10.00
2026-04-28T14:09:00Z,94.00,9.00
2026-04-28T15:18:00Z,94.00,9.00
2026-04-28T16:56:00Z,94.00,9.00
2026-04-28T17:11:00Z,94.00,8.00
2026-04-28T17:13:00Z,94.00,7.00
2026-04-28T17:54:00Z,94.00,8.00
2026-04-28T17:58:00Z,93.00,8.00
2026-04-28T18:27:00Z,93.00,8.00
2026-04-28T19:08:00Z,93.00,8.00
2026-04-28T19:15:00Z,93.00,8.00
2026-04-28T19:16:00Z,93.00,8.00
2026-04-28T20:02:00Z,93.00,8.00
2026-04-28T20:07:00Z,93.00,8.00
2026-04-28T20:22:00Z,93.00,8.00
2026-04-28T20:26:00Z,93.00,8.00
2026-04-28T20:33:00Z,93.00,8.00
2026-04-28T20:35:00Z,93.00,8.00
2026-04-28T20:37:00Z,93.00,8.00
2026-04-28T20:43:00Z,93.00,9.00
2026-04-28T20:44:00Z,93.00,8.00
2026-04-28T20:45:00Z,93.00,8.00
2026-04-28T20:49:00Z,94.00,8.00
2026-04-28T20:52:00Z,94.00,8.00
2026-04-28T20:53:00Z,94.00,8.00
2026-04-28T20:55:00Z,94.00,8.00
2026-04-28T21:00:00Z,94.00,8.00
2026-04-28T21:02:00Z,94.00,9.57
2026-04-28T21:03:00Z,94.00,8.00
2026-04-28T21:09:00Z,94.00,8.00
2026-04-28T21:10:00Z,94.00,8.00
2026-04-28T21:12:00Z,94.00,8.00
2026-04-28T21:13:00Z,94.00,8.00
2026-04-28T21:14:00Z,94.00,8.00
2026-04-28T21:24:00Z,94.00,7.99
2026-04-28T21:28:00Z,94.00,8.00
2026-04-28T21:30:00Z,94.00,8.00
2026-04-28T21:32:00Z,94.00,9.00
2026-04-28T21:33:00Z,94.00,9.00
2026-04-28T21:34:00Z,94.00,8.97
2026-04-28T21:35:00Z,94.00,8.00
2026-04-28T21:36:00Z,94.00,8.00
2026-04-28T21:37:00Z,94.00,8.46
2026-04-28T21:38:00Z,94.00,8.69
2026-04-28T21:39:00Z,94.00,8.98
2026-04-28T21:40:00Z,94.00,8.58
2026-04-28T21:41:00Z,94.00,8.63
2026-04-28T21:45:00Z,94.00,8.33
2026-04-28T21:46:00Z,94.00,8.84
2026-04-28T21:47:00Z,93.00,8.89
2026-04-28T21:48:00Z,93.00,8.27
2026-04-28T21:49:00Z,91.16,8.88
2026-04-28T21:50:00Z,94.00,8.82
2026-04-28T21:51:00Z,93.95,7.43
2026-04-28T21:52:00Z,93.95,6.59
2026-04-28T21:53:00Z,93.00,7.80
2026-04-28T21:54:00Z,92.97,7.11
2026-04-28T21:55:00Z,93.00,7.99
2026-04-28T21:56:00Z,93.00,8.80
2026-04-28T21:57:00Z,91.27,9.62
2026-04-28T21:58:00Z,93.00,8.03
2026-04-28T21:59:00Z,93.00,6.94
2026-04-28T22:00:00Z,93.00,7.70
2026-04-28T22:01:00Z,94.92,5.81
2026-04-28T22:02:00Z,94.00,5.96
2026-04-28T22:03:00Z,94.00,7.12
2026-04-28T22:04:00Z,92.74,7.92
2026-04-28T22:05:00Z,91.00,9.98
2026-04-28T22:06:00Z,91.47,9.93
2026-04-28T22:07:00Z,92.00,8.07
2026-04-28T22:08:00Z,93.00,7.99
2026-04-28T22:09:00Z,93.00,7.08
2026-04-28T22:10:00Z,93.11,6.91
2026-04-28T22:11:00Z,94.10,6.96
2026-04-28T22:12:00Z,95.70,5.33
2026-04-28T22:13:00Z,95.61,5.05
2026-04-28T22:14:00Z,97.01,4.00
2026-04-28T22:15:00Z,96.00,3.90
2026-04-28T22:16:00Z,97.00,3.86
2026-04-28T22:17:00Z,97.00,3.90
2026-04-28T22:18:00Z,97.00,3.06
2026-04-28T22:19:00Z,97.07,3.17
2026-04-28T22:20:00Z,97.80,2.62
2026-04-28T22:21:00Z,98.00,2.67
2026-04-28T22:22:00Z,98.00,2.60
2026-04-28T22:23:00Z,98.00,2.06
2026-04-28T22:24:00Z,98.00,2.97
2026-04-28T22:25:00Z,97.00,3.00
2026-04-28T22:26:00Z,97.02,2.80
2026-04-28T22:27:00Z,97.97,2.83
2026-04-28T22:28:00Z,98.00,2.79
2026-04-28T22:29:00Z,98.00,2.95
2026-04-28T22:30:00Z,99.00,1.01
2026-04-28T22:31:00Z,99.00,1.14
2026-04-28T22:32:00Z,99.00,1.26
2026-04-28T22:33:00Z,99.00,1.00
2026-04-28T22:34:00Z,99.00,1.00
2026-04-28T22:35:00Z,99.00,1.00
2026-04-28T22:36:00Z,99.00,1.00
2026-04-28T22:37:00Z,99.00,1.00
2026-04-28T22:38:00Z,99.00,1.00
2026-04-28T22:39:00Z,99.00,1.00
2026-04-28T22:40:00Z,99.00,1.00
2026-04-28T22:41:00Z,99.00,1.00
2026-04-28T22:42:00Z,99.00,1.00
2026-04-28T22:43:00Z,99.00,1.00
2026-04-28T22:44:00Z,99.00,1.00
2026-04-28T22:46:00Z,99.00,1.00
2026-04-28T22:47:00Z,99.00,1.00
2026-04-28T22:48:00Z,99.00,1.00
2026-04-28T22:51:00Z,99.00,1.00
