# event_ticker=KXATPCHALLENGERMATCH-26JUN02CHOGEN
# final_score=6-4 6-4
# match_winner=Jan Choinski
# fav_player=Jan Choinski
# dog_player=Tom Gentzsch
# kalshi_date=2026-06-02
timestamp,Jan Choinski,Tom Gentzsch
2026-06-01T23:19:00Z,,44.00
2026-06-02T01:46:00Z,,43.00
2026-06-02T03:04:00Z,,43.00
2026-06-02T04:56:00Z,59.00,43.00
2026-06-02T05:01:00Z,59.00,43.00
2026-06-02T05:02:00Z,59.00,43.00
2026-06-02T05:09:00Z,59.00,43.00
2026-06-02T05:53:00Z,59.00,43.00
2026-06-02T05:58:00Z,57.00,43.00
2026-06-02T06:23:00Z,57.00,43.00
2026-06-02T06:44:00Z,58.81,43.00
2026-06-02T06:46:00Z,58.81,43.00
2026-06-02T06:57:00Z,59.00,43.00
2026-06-02T07:28:00Z,58.00,43.00
2026-06-02T07:29:00Z,58.00,43.00
2026-06-02T07:56:00Z,58.00,43.00
2026-06-02T08:13:00Z,58.00,44.00
2026-06-02T08:23:00Z,57.00,44.00
2026-06-02T08:30:00Z,57.00,44.00
2026-06-02T09:53:00Z,56.00,44.00
2026-06-02T10:10:00Z,57.00,44.00
2026-06-02T10:31:00Z,57.00,44.00
2026-06-02T10:33:00Z,57.00,44.00
2026-06-02T10:51:00Z,57.00,44.00
2026-06-02T10:56:00Z,52.00,48.00
2026-06-02T10:57:00Z,50.14,49.00
2026-06-02T10:58:00Z,48.98,51.01
2026-06-02T10:59:00Z,52.93,51.01
2026-06-02T11:00:00Z,52.93,47.00
2026-06-02T11:01:00Z,54.00,47.00
2026-06-02T11:02:00Z,54.99,46.04
2026-06-02T11:03:00Z,62.25,37.34
2026-06-02T11:04:00Z,60.89,39.91
2026-06-02T11:05:00Z,62.80,40.00
2026-06-02T11:07:00Z,69.00,31.00
2026-06-02T11:08:00Z,71.29,30.00
2026-06-02T11:09:00Z,74.00,30.00
2026-06-02T11:11:00Z,72.00,30.00
2026-06-02T11:12:00Z,71.00,28.00
2026-06-02T11:13:00Z,71.00,28.00
2026-06-02T11:14:00Z,70.06,28.00
2026-06-02T11:15:00Z,71.00,32.41
2026-06-02T11:16:00Z,71.96,27.05
2026-06-02T11:17:00Z,71.96,26.99
2026-06-02T11:18:00Z,73.00,27.74
2026-06-02T11:19:00Z,72.00,29.00
2026-06-02T11:20:00Z,73.00,29.00
2026-06-02T11:23:00Z,77.00,23.80
2026-06-02T11:24:00Z,77.00,22.99
2026-06-02T11:25:00Z,76.00,22.99
2026-06-02T11:26:00Z,75.00,24.00
2026-06-02T11:27:00Z,75.00,25.00
2026-06-02T11:28:00Z,78.26,25.46
2026-06-02T11:29:00Z,80.00,25.46
2026-06-02T11:30:00Z,80.19,20.00
2026-06-02T11:32:00Z,81.00,20.00
2026-06-02T11:33:00Z,81.00,18.00
2026-06-02T11:34:00Z,85.00,14.06
2026-06-02T11:35:00Z,86.91,13.00
2026-06-02T11:36:00Z,84.57,17.00
2026-06-02T11:37:00Z,81.07,19.16
2026-06-02T11:38:00Z,84.64,19.16
2026-06-02T11:39:00Z,84.00,16.98
2026-06-02T11:40:00Z,79.00,21.00
2026-06-02T11:41:00Z,79.00,21.00
2026-06-02T11:42:00Z,79.00,21.00
2026-06-02T11:43:00Z,79.54,21.33
2026-06-02T11:44:00Z,80.00,21.33
2026-06-02T11:45:00Z,77.04,22.70
2026-06-02T11:46:00Z,79.98,22.00
2026-06-02T11:47:00Z,80.97,20.63
2026-06-02T11:48:00Z,83.00,20.63
2026-06-02T11:49:00Z,82.00,20.97
2026-06-02T11:50:00Z,78.00,20.97
2026-06-02T11:51:00Z,78.88,23.00
2026-06-02T11:52:00Z,81.11,23.00
2026-06-02T11:53:00Z,81.11,19.00
2026-06-02T11:54:00Z,79.98,22.00
2026-06-02T11:55:00Z,77.00,23.89
2026-06-02T11:56:00Z,78.01,22.44
2026-06-02T11:57:00Z,77.00,24.00
2026-06-02T11:58:00Z,78.09,24.00
2026-06-02T12:00:00Z,79.09,22.00
2026-06-02T12:01:00Z,77.35,26.00
2026-06-02T12:02:00Z,75.00,26.00
2026-06-02T12:03:00Z,75.00,23.76
2026-06-02T12:04:00Z,75.76,23.76
2026-06-02T12:05:00Z,74.94,23.76
2026-06-02T12:06:00Z,80.60,21.00
2026-06-02T12:07:00Z,85.39,16.57
2026-06-02T12:08:00Z,89.95,9.75
2026-06-02T12:09:00Z,89.89,12.05
2026-06-02T12:10:00Z,95.00,5.97
2026-06-02T12:11:00Z,93.00,8.26
2026-06-02T12:12:00Z,92.13,9.94
2026-06-02T12:13:00Z,85.00,14.85
2026-06-02T12:14:00Z,91.09,8.82
2026-06-02T12:15:00Z,90.51,9.99
2026-06-02T12:16:00Z,93.34,4.84
2026-06-02T12:17:00Z,93.07,8.98
2026-06-02T12:18:00Z,96.02,3.10
2026-06-02T12:19:00Z,97.02,3.16
2026-06-02T12:20:00Z,97.00,4.00
2026-06-02T12:21:00Z,96.39,5.00
2026-06-02T12:22:00Z,95.86,4.09
2026-06-02T12:23:00Z,88.13,12.32
2026-06-02T12:24:00Z,87.26,14.67
2026-06-02T12:25:00Z,89.46,12.28
2026-06-02T12:26:00Z,98.25,2.24
2026-06-02T12:27:00Z,98.25,1.00
