# event_ticker=KXATPCHALLENGERMATCH-26MAR23KRUGIL
# final_score=6-3 7-5
# score_resolution=3-6 5-7
# match_winner=Felix Gill
# fav_player=Martin Krumich
# dog_player=Felix Gill
# kalshi_date=2026-03-23
timestamp,Martin Krumich,Felix Gill
2026-03-23T03:31:00Z,,61.00
2026-03-23T04:36:00Z,,61.00
2026-03-23T06:19:00Z,,61.00
2026-03-23T06:33:00Z,,59.00
2026-03-23T06:48:00Z,,61.00
2026-03-23T07:05:00Z,40.00,61.00
2026-03-23T07:14:00Z,40.00,62.00
2026-03-23T07:59:00Z,40.00,61.23
2026-03-23T08:40:00Z,40.00,60.00
2026-03-23T10:00:00Z,40.00,60.00
2026-03-23T12:18:00Z,40.00,60.00
2026-03-23T12:47:00Z,40.00,60.00
2026-03-23T13:15:00Z,40.00,60.00
2026-03-23T13:27:00Z,40.00,61.00
2026-03-23T13:44:00Z,40.00,62.00
2026-03-23T13:56:00Z,40.00,62.00
2026-03-23T14:01:00Z,40.00,62.00
2026-03-23T14:03:00Z,40.00,62.00
2026-03-23T14:08:00Z,40.00,62.86
2026-03-23T14:09:00Z,40.00,63.00
2026-03-23T14:10:00Z,40.00,63.00
2026-03-23T14:12:00Z,40.00,63.00
2026-03-23T14:15:00Z,40.00,63.00
2026-03-23T14:18:00Z,40.00,62.43
2026-03-23T14:24:00Z,40.00,63.00
2026-03-23T14:25:00Z,40.00,63.00
2026-03-23T14:26:00Z,40.00,63.00
2026-03-23T14:28:00Z,40.00,62.69
2026-03-23T14:29:00Z,40.00,62.00
2026-03-23T14:34:00Z,40.00,62.00
2026-03-23T14:35:00Z,40.00,62.00
2026-03-23T14:36:00Z,39.00,62.00
2026-03-23T14:37:00Z,39.00,62.00
2026-03-23T14:39:00Z,39.00,62.00
2026-03-23T14:40:00Z,37.01,62.00
2026-03-23T14:41:00Z,37.01,62.00
2026-03-23T14:42:00Z,37.01,62.85
2026-03-23T14:43:00Z,39.00,63.00
2026-03-23T14:46:00Z,39.00,63.00
2026-03-23T14:47:00Z,39.00,62.00
2026-03-23T14:48:00Z,39.00,62.86
2026-03-23T14:50:00Z,38.00,63.00
2026-03-23T14:52:00Z,38.00,63.00
2026-03-23T14:53:00Z,38.00,63.00
2026-03-23T14:54:00Z,38.00,63.00
2026-03-23T14:55:00Z,38.00,63.00
