# event_ticker=KXATPCHALLENGERMATCH-26MAY06PRAGAD
# final_score=6-4 6-4
# match_winner=Juan Carlos Prado Angelo
# fav_player=Juan Carlos Prado Angelo
# dog_player=Buvaysar Gadamauri
# kalshi_date=2026-05-06
timestamp,Juan Carlos Prado Angelo,Buvaysar Gadamauri
2026-05-06T00:00:00Z,59.00,
2026-05-06T00:08:00Z,59.00,45.00
2026-05-06T01:33:00Z,57.00,45.00
2026-05-06T01:34:00Z,58.00,44.00
2026-05-06T03:03:00Z,59.00,44.00
2026-05-06T03:24:00Z,59.00,43.00
2026-05-06T04:14:00Z,59.00,43.00
2026-05-06T04:21:00Z,59.00,43.00
2026-05-06T04:26:00Z,59.00,43.00
2026-05-06T04:34:00Z,59.00,43.00
2026-05-06T04:44:00Z,59.00,43.00
2026-05-06T04:45:00Z,59.00,43.00
2026-05-06T04:58:00Z,59.00,42.00
2026-05-06T05:04:00Z,58.00,42.00
2026-05-06T05:07:00Z,58.00,42.00
2026-05-06T05:37:00Z,58.00,42.00
2026-05-06T06:34:00Z,58.00,42.00
2026-05-06T07:06:00Z,58.00,42.00
2026-05-06T07:08:00Z,59.00,42.00
2026-05-06T07:45:00Z,59.00,42.00
2026-05-06T07:47:00Z,58.00,42.00
2026-05-06T07:49:00Z,58.00,42.00
2026-05-06T07:51:00Z,58.00,42.00
2026-05-06T08:19:00Z,58.00,42.00
2026-05-06T08:37:00Z,58.00,42.00
2026-05-06T08:40:00Z,58.00,42.00
2026-05-06T08:58:00Z,58.00,42.00
2026-05-06T09:03:00Z,58.00,42.00
2026-05-06T09:07:00Z,58.00,45.00
2026-05-06T09:08:00Z,58.00,47.00
2026-05-06T09:09:00Z,58.00,42.09
2026-05-06T09:10:00Z,58.00,44.00
2026-05-06T09:11:00Z,60.00,40.00
2026-05-06T09:12:00Z,60.00,44.06
2026-05-06T09:13:00Z,54.00,44.06
2026-05-06T09:14:00Z,54.00,46.77
2026-05-06T09:15:00Z,54.00,52.16
2026-05-06T09:17:00Z,54.00,56.56
2026-05-06T09:18:00Z,54.00,57.00
2026-05-06T09:19:00Z,42.00,61.34
2026-05-06T09:20:00Z,37.00,61.34
2026-05-06T09:21:00Z,37.00,64.87
2026-05-06T09:23:00Z,33.91,67.08
2026-05-06T09:24:00Z,34.00,67.08
2026-05-06T09:25:00Z,39.00,67.08
2026-05-06T09:28:00Z,48.07,67.08
2026-05-06T09:29:00Z,52.00,67.08
2026-05-06T09:31:00Z,48.00,49.00
2026-05-06T09:33:00Z,56.00,45.00
2026-05-06T09:34:00Z,55.08,43.00
2026-05-06T09:35:00Z,55.08,45.00
2026-05-06T09:37:00Z,51.00,45.00
2026-05-06T09:38:00Z,51.00,51.00
2026-05-06T09:40:00Z,54.71,51.00
2026-05-06T09:41:00Z,54.71,44.96
2026-05-06T09:42:00Z,56.94,46.95
2026-05-06T09:43:00Z,52.00,46.95
2026-05-06T09:45:00Z,55.00,46.95
2026-05-06T09:46:00Z,57.60,41.31
2026-05-06T09:47:00Z,57.60,40.50
2026-05-06T09:48:00Z,70.72,30.04
2026-05-06T09:49:00Z,74.00,26.00
2026-05-06T09:50:00Z,72.50,26.77
2026-05-06T09:51:00Z,72.00,26.77
2026-05-06T09:52:00Z,71.00,29.00
2026-05-06T09:53:00Z,71.00,29.00
2026-05-06T09:54:00Z,72.00,29.00
2026-05-06T09:55:00Z,70.00,29.00
2026-05-06T09:56:00Z,70.00,29.00
2026-05-06T09:57:00Z,68.29,31.95
2026-05-06T09:58:00Z,66.94,32.41
2026-05-06T09:59:00Z,72.92,32.63
2026-05-06T10:00:00Z,76.53,21.00
2026-05-06T10:01:00Z,79.00,21.00
2026-05-06T10:02:00Z,80.16,21.00
2026-05-06T10:03:00Z,80.16,21.00
2026-05-06T10:04:00Z,81.00,21.00
2026-05-06T10:05:00Z,81.00,21.00
2026-05-06T10:07:00Z,81.48,21.00
2026-05-06T10:08:00Z,84.67,17.12
2026-05-06T10:09:00Z,86.00,13.76
2026-05-06T10:10:00Z,86.00,11.00
2026-05-06T10:11:00Z,88.18,14.54
2026-05-06T10:12:00Z,85.54,16.99
2026-05-06T10:13:00Z,84.87,16.08
2026-05-06T10:14:00Z,87.95,12.74
2026-05-06T10:15:00Z,88.00,11.96
2026-05-06T10:16:00Z,81.44,19.43
2026-05-06T10:17:00Z,79.00,23.55
2026-05-06T10:18:00Z,76.00,27.00
2026-05-06T10:19:00Z,73.00,26.99
2026-05-06T10:20:00Z,73.00,26.99
2026-05-06T10:21:00Z,71.91,30.69
2026-05-06T10:22:00Z,69.14,30.69
2026-05-06T10:23:00Z,73.12,28.53
2026-05-06T10:24:00Z,72.46,29.18
2026-05-06T10:25:00Z,67.00,32.00
2026-05-06T10:26:00Z,71.57,32.52
2026-05-06T10:27:00Z,74.26,26.00
2026-05-06T10:28:00Z,75.00,26.73
2026-05-06T10:29:00Z,74.00,28.00
2026-05-06T10:30:00Z,75.50,24.00
2026-05-06T10:31:00Z,74.00,27.00
2026-05-06T10:32:00Z,74.00,27.00
2026-05-06T10:33:00Z,71.82,28.84
2026-05-06T10:34:00Z,71.82,28.71
2026-05-06T10:35:00Z,70.43,37.56
2026-05-06T10:36:00Z,76.69,26.00
2026-05-06T10:37:00Z,79.37,22.00
2026-05-06T10:38:00Z,80.16,20.17
2026-05-06T10:39:00Z,80.16,23.61
2026-05-06T10:40:00Z,71.00,29.65
2026-05-06T10:41:00Z,71.00,29.65
2026-05-06T10:42:00Z,65.56,37.49
2026-05-06T10:43:00Z,65.50,36.00
2026-05-06T10:44:00Z,64.33,38.00
2026-05-06T10:45:00Z,71.08,29.00
2026-05-06T10:46:00Z,67.00,29.00
2026-05-06T10:47:00Z,73.00,29.00
2026-05-06T10:48:00Z,73.00,28.00
2026-05-06T10:49:00Z,76.95,27.00
2026-05-06T10:50:00Z,82.00,14.25
2026-05-06T10:51:00Z,86.88,17.12
2026-05-06T10:52:00Z,91.78,6.14
2026-05-06T10:53:00Z,94.00,6.04
2026-05-06T10:54:00Z,96.84,4.15
2026-05-06T10:55:00Z,98.50,2.18
2026-05-06T10:56:00Z,99.00,1.01
2026-05-06T10:57:00Z,99.00,1.00
