# event_ticker=KXATPMATCH-26APR05CERTSI
# final_score=7-5 6-4
# match_winner=Francisco Cerundolo
# fav_player=Francisco Cerundolo
# dog_player=Stefanos Tsitsipas
# kalshi_date=2026-04-05
timestamp,Francisco Cerundolo,Stefanos Tsitsipas
2026-04-06T01:44:00Z,,50.00
2026-04-06T01:45:00Z,52.00,50.00
2026-04-06T01:47:00Z,52.00,50.00
2026-04-06T01:50:00Z,51.00,50.00
2026-04-06T01:53:00Z,51.00,50.00
2026-04-06T01:54:00Z,51.00,50.00
2026-04-06T01:57:00Z,51.34,50.00
2026-04-06T01:58:00Z,52.00,50.00
2026-04-06T02:00:00Z,52.00,50.00
2026-04-06T02:06:00Z,52.00,50.00
2026-04-06T02:09:00Z,52.00,50.00
2026-04-06T02:10:00Z,52.00,50.00
2026-04-06T02:12:00Z,52.00,50.00
2026-04-06T02:13:00Z,52.00,50.00
2026-04-06T02:17:00Z,52.00,50.00
2026-04-06T02:22:00Z,52.00,50.00
2026-04-06T02:30:00Z,52.00,50.00
2026-04-06T02:32:00Z,52.00,50.00
2026-04-06T02:36:00Z,52.00,50.00
2026-04-06T02:37:00Z,52.15,50.00
2026-04-06T02:38:00Z,53.00,50.00
2026-04-06T02:45:00Z,53.00,50.00
2026-04-06T02:51:00Z,53.00,50.00
2026-04-06T03:04:00Z,52.00,50.00
2026-04-06T03:08:00Z,52.00,50.00
2026-04-06T03:09:00Z,52.00,50.00
2026-04-06T03:12:00Z,52.00,50.00
2026-04-06T03:13:00Z,52.00,50.00
2026-04-06T03:14:00Z,52.00,50.00
2026-04-06T03:17:00Z,52.00,50.00
2026-04-06T03:18:00Z,52.00,50.00
2026-04-06T03:23:00Z,52.00,50.00
2026-04-06T03:25:00Z,52.00,50.00
2026-04-06T03:27:00Z,52.00,49.00
2026-04-06T03:28:00Z,52.00,50.00
2026-04-06T03:29:00Z,52.00,50.00
2026-04-06T03:31:00Z,52.00,50.00
2026-04-06T03:32:00Z,52.00,50.00
2026-04-06T03:40:00Z,52.00,50.00
