# event_ticker=KXATPCHALLENGERMATCH-26JUN03IMASMI
# final_score=7-5 6-3
# match_winner=Masamichi Imamura
# fav_player=Masamichi Imamura
# dog_player=Colton Smith
# kalshi_date=2026-06-03
timestamp,Masamichi Imamura,Colton Smith
2026-06-03T19:43:00Z,14.73,
2026-06-03T19:46:00Z,14.00,
2026-06-03T19:53:00Z,14.00,86.00
2026-06-03T19:54:00Z,14.00,86.00
2026-06-03T19:55:00Z,14.00,86.00
2026-06-03T20:05:00Z,14.00,86.00
2026-06-03T20:15:00Z,14.00,85.00
2026-06-03T20:32:00Z,15.00,85.00
2026-06-03T20:41:00Z,15.00,85.00
2026-06-03T20:43:00Z,15.00,85.00
2026-06-03T20:50:00Z,14.00,85.00
2026-06-03T20:52:00Z,14.99,85.00
2026-06-03T21:14:00Z,15.21,85.00
2026-06-03T21:16:00Z,15.21,85.00
2026-06-03T21:23:00Z,18.00,85.00
2026-06-03T21:26:00Z,18.00,85.00
2026-06-03T21:30:00Z,18.00,85.00
2026-06-03T21:33:00Z,18.00,85.00
2026-06-03T21:34:00Z,18.00,83.20
2026-06-03T21:42:00Z,17.00,83.20
2026-06-03T21:43:00Z,17.00,83.20
2026-06-03T21:47:00Z,17.00,83.20
2026-06-03T22:02:00Z,17.80,83.20
2026-06-03T22:05:00Z,17.00,83.20
2026-06-03T22:08:00Z,17.60,83.20
2026-06-03T22:15:00Z,17.60,84.00
2026-06-03T22:16:00Z,17.60,84.95
2026-06-03T22:22:00Z,17.60,85.00
2026-06-03T22:24:00Z,17.00,85.00
2026-06-03T22:26:00Z,17.99,85.00
2026-06-03T22:34:00Z,18.25,85.00
2026-06-03T22:43:00Z,18.00,85.00
2026-06-03T22:46:00Z,18.00,85.00
2026-06-03T22:48:00Z,18.00,85.00
2026-06-03T22:51:00Z,18.00,85.00
2026-06-03T22:53:00Z,17.00,85.00
2026-06-03T22:59:00Z,17.00,85.00
2026-06-03T23:00:00Z,17.02,85.00
2026-06-03T23:01:00Z,17.02,85.00
2026-06-03T23:03:00Z,17.00,85.00
2026-06-03T23:09:00Z,17.00,85.00
2026-06-03T23:10:00Z,17.00,85.00
2026-06-03T23:13:00Z,17.00,85.00
2026-06-03T23:16:00Z,17.00,85.00
2026-06-03T23:17:00Z,17.24,85.00
2026-06-03T23:19:00Z,17.00,85.00
2026-06-03T23:22:00Z,17.82,85.00
2026-06-03T23:23:00Z,18.00,85.00
2026-06-03T23:25:00Z,17.00,85.00
2026-06-03T23:26:00Z,17.00,85.00
2026-06-03T23:28:00Z,17.00,85.60
2026-06-03T23:29:00Z,17.00,85.60
2026-06-03T23:30:00Z,17.00,85.00
2026-06-03T23:31:00Z,15.71,85.49
2026-06-03T23:32:00Z,14.40,86.94
2026-06-03T23:33:00Z,14.50,89.18
2026-06-03T23:34:00Z,10.77,89.16
2026-06-03T23:35:00Z,10.01,90.00
2026-06-03T23:36:00Z,10.18,90.90
