# event_ticker=KXATPMATCH-26FEB25SVRCOB
# final_score=6-4 6-4
# score_resolution=4-6 4-6
# match_winner=Flavio Cobolli
# fav_player=Dalibor Svrcina
# dog_player=Flavio Cobolli
# kalshi_date=2026-02-25
timestamp,Dalibor Svrcina,Flavio Cobolli
2026-02-25T12:18:00Z,,59.00
2026-02-25T12:20:00Z,,59.00
2026-02-25T12:33:00Z,41.00,59.00
2026-02-25T12:34:00Z,41.00,60.00
2026-02-25T12:35:00Z,41.00,60.00
2026-02-25T12:36:00Z,41.00,60.00
2026-02-25T12:40:00Z,41.00,60.00
2026-02-25T12:44:00Z,41.00,60.00
2026-02-25T12:50:00Z,41.00,59.00
2026-02-25T12:53:00Z,41.00,59.00
2026-02-25T12:57:00Z,41.00,60.00
2026-02-25T13:17:00Z,41.00,60.00
2026-02-25T13:31:00Z,41.00,60.00
2026-02-25T13:37:00Z,41.00,60.00
2026-02-25T13:40:00Z,41.00,60.00
2026-02-25T13:41:00Z,41.00,60.00
2026-02-25T13:44:00Z,41.00,60.00
2026-02-25T13:45:00Z,41.00,60.00
2026-02-25T13:46:00Z,41.00,60.00
2026-02-25T13:50:00Z,41.00,60.00
2026-02-25T13:52:00Z,41.00,60.00
2026-02-25T13:53:00Z,41.00,60.00
2026-02-25T13:57:00Z,41.00,60.00
2026-02-25T14:01:00Z,40.00,60.00
2026-02-25T14:03:00Z,41.00,59.63
2026-02-25T14:10:00Z,42.00,59.63
2026-02-25T14:13:00Z,42.00,59.00
2026-02-25T14:18:00Z,42.00,59.00
2026-02-25T14:19:00Z,42.00,59.00
2026-02-25T14:25:00Z,42.00,58.00
2026-02-25T14:28:00Z,42.00,59.00
2026-02-25T14:31:00Z,42.00,59.00
2026-02-25T14:32:00Z,42.00,58.00
2026-02-25T14:34:00Z,42.00,58.00
2026-02-25T14:38:00Z,42.00,58.00
2026-02-25T14:55:00Z,42.00,58.00
2026-02-25T14:59:00Z,42.00,58.00
2026-02-25T15:09:00Z,42.00,59.00
2026-02-25T15:10:00Z,42.00,59.00
2026-02-25T15:11:00Z,42.00,59.00
2026-02-25T15:13:00Z,42.00,59.00
2026-02-25T15:14:00Z,42.00,59.00
2026-02-25T15:15:00Z,42.00,59.34
