# event_ticker=KXATPMATCH-26MAR17CILPOP
# final_score=6-4 6-4
# score_resolution=4-6 4-6
# match_winner=Marin Cilic
# fav_player=Alexei Popyrin
# dog_player=Marin Cilic
# kalshi_date=2026-03-17
timestamp,Alexei Popyrin,Marin Cilic
2026-03-19T09:10:00Z,,60.00
2026-03-19T10:27:00Z,,60.00
2026-03-19T10:35:00Z,,60.00
2026-03-19T11:00:00Z,41.00,60.00
2026-03-19T11:01:00Z,41.00,60.00
2026-03-19T11:51:00Z,41.00,60.00
2026-03-19T12:02:00Z,41.00,59.00
2026-03-19T13:10:00Z,41.00,61.00
2026-03-19T13:14:00Z,41.00,61.00
2026-03-19T14:14:00Z,41.00,61.00
2026-03-19T14:22:00Z,41.00,60.00
2026-03-19T14:24:00Z,41.00,60.00
2026-03-19T14:33:00Z,41.00,60.00
2026-03-19T14:34:00Z,41.00,60.00
2026-03-19T15:53:00Z,41.00,60.00
2026-03-19T15:55:00Z,41.00,60.00
2026-03-19T16:38:00Z,41.00,60.71
2026-03-19T17:39:00Z,41.00,60.71
2026-03-19T18:05:00Z,41.00,59.00
2026-03-19T18:08:00Z,41.00,59.00
2026-03-19T18:12:00Z,41.00,59.00
2026-03-19T18:16:00Z,41.00,59.00
2026-03-19T18:18:00Z,41.00,59.00
2026-03-19T18:20:00Z,41.00,59.00
2026-03-19T18:26:00Z,41.00,59.00
2026-03-19T18:32:00Z,41.00,59.00
2026-03-19T18:34:00Z,40.00,59.00
2026-03-19T18:41:00Z,40.00,59.00
2026-03-19T18:44:00Z,40.00,59.00
2026-03-19T18:46:00Z,41.00,59.00
2026-03-19T18:54:00Z,41.00,59.00
2026-03-19T18:58:00Z,41.00,59.00
2026-03-19T19:00:00Z,41.00,59.00
2026-03-19T19:04:00Z,41.00,59.00
2026-03-19T19:06:00Z,41.00,59.00
2026-03-19T19:09:00Z,41.00,59.00
2026-03-19T19:12:00Z,41.00,59.00
2026-03-19T19:16:00Z,41.00,59.00
2026-03-19T19:20:00Z,41.00,59.00
2026-03-19T19:21:00Z,41.00,59.00
2026-03-19T19:23:00Z,41.00,59.00
2026-03-19T19:24:00Z,41.00,59.00
2026-03-19T19:25:00Z,41.00,59.00
2026-03-19T19:32:00Z,41.00,59.00
2026-03-19T19:33:00Z,41.00,59.00
2026-03-19T19:36:00Z,41.00,59.00
2026-03-19T19:41:00Z,41.00,59.00
2026-03-19T19:42:00Z,41.00,59.00
2026-03-19T19:43:00Z,41.00,59.00
2026-03-19T19:48:00Z,41.00,59.00
2026-03-19T19:50:00Z,41.00,59.00
2026-03-19T19:55:00Z,41.00,59.52
2026-03-19T19:56:00Z,40.00,59.52
2026-03-19T19:58:00Z,41.00,59.00
2026-03-19T20:01:00Z,41.00,58.00
2026-03-19T20:02:00Z,42.00,58.00
2026-03-19T20:03:00Z,44.60,57.00
2026-03-19T20:04:00Z,45.95,54.63
2026-03-19T20:05:00Z,48.23,50.81
2026-03-19T20:06:00Z,50.85,47.69
2026-03-19T20:07:00Z,46.55,55.00
2026-03-19T20:08:00Z,44.00,55.00
2026-03-19T20:09:00Z,48.00,54.00
2026-03-19T20:10:00Z,45.69,55.33
2026-03-19T20:11:00Z,39.01,60.75
2026-03-19T20:12:00Z,46.69,55.00
2026-03-19T20:13:00Z,46.00,55.00
2026-03-19T20:14:00Z,46.00,55.00
