# event_ticker=KXATPCHALLENGERMATCH-26MAR24NUNSOT
# final_score=6-1 7-6(9)
# score_resolution=1-6 6-7
# match_winner=Matias Soto
# fav_player=Daniel Antonio Nunez
# dog_player=Matias Soto
# kalshi_date=2026-03-24
timestamp,Daniel Antonio Nunez,Matias Soto
2026-03-24T07:36:00Z,23.00,
2026-03-24T08:01:00Z,23.00,
2026-03-24T10:01:00Z,19.00,
2026-03-24T10:32:00Z,24.00,
2026-03-24T12:12:00Z,24.00,74.00
2026-03-24T12:20:00Z,28.00,74.00
2026-03-24T12:38:00Z,29.00,74.00
2026-03-24T13:19:00Z,29.00,73.00
2026-03-24T13:37:00Z,28.00,73.00
2026-03-24T14:44:00Z,28.00,73.00
2026-03-24T14:52:00Z,28.00,73.00
2026-03-24T15:02:00Z,28.00,74.00
2026-03-24T15:08:00Z,28.00,75.00
2026-03-24T15:10:00Z,27.00,75.00
2026-03-24T15:11:00Z,27.00,76.00
2026-03-24T15:14:00Z,27.00,76.00
2026-03-24T15:17:00Z,27.00,76.00
2026-03-24T15:18:00Z,27.00,76.00
2026-03-24T15:22:00Z,27.00,77.00
2026-03-24T15:23:00Z,27.00,77.16
2026-03-24T15:24:00Z,27.00,77.41
2026-03-24T15:25:00Z,27.00,78.83
2026-03-24T15:27:00Z,27.00,79.40
2026-03-24T15:28:00Z,27.00,75.40
2026-03-24T15:29:00Z,27.00,77.00
2026-03-24T15:30:00Z,27.00,76.89
2026-03-24T15:31:00Z,27.47,75.91
2026-03-24T15:32:00Z,27.47,77.00
2026-03-24T15:33:00Z,27.47,77.00
2026-03-24T15:34:00Z,27.47,77.59
2026-03-24T15:35:00Z,27.47,79.00
2026-03-24T15:36:00Z,27.47,79.00
2026-03-24T15:37:00Z,27.47,78.67
2026-03-24T15:38:00Z,24.66,79.93
2026-03-24T15:40:00Z,22.00,81.00
2026-03-24T15:41:00Z,18.00,89.99
2026-03-24T15:42:00Z,28.48,81.00
2026-03-24T15:43:00Z,28.00,72.00
2026-03-24T15:44:00Z,15.00,80.50
2026-03-24T15:45:00Z,29.00,81.33
2026-03-24T15:46:00Z,29.00,80.58
2026-03-24T15:47:00Z,25.50,78.00
2026-03-24T15:48:00Z,25.50,80.15
2026-03-24T15:49:00Z,25.50,81.98
2026-03-24T15:50:00Z,22.46,78.38
2026-03-24T15:52:00Z,16.12,93.34
2026-03-24T15:54:00Z,16.12,73.06
2026-03-24T15:57:00Z,23.00,76.00
2026-03-24T15:59:00Z,21.11,80.89
2026-03-24T16:00:00Z,19.00,81.36
2026-03-24T16:01:00Z,26.00,85.14
2026-03-24T16:02:00Z,26.46,85.00
2026-03-24T16:03:00Z,21.89,85.67
2026-03-24T16:04:00Z,28.94,78.00
2026-03-24T16:06:00Z,26.60,79.00
2026-03-24T16:07:00Z,22.36,80.31
2026-03-24T16:08:00Z,22.50,86.08
2026-03-24T16:10:00Z,22.94,80.65
2026-03-24T16:11:00Z,23.00,79.00
2026-03-24T16:12:00Z,21.03,83.12
2026-03-24T16:13:00Z,22.00,80.45
2026-03-24T16:16:00Z,20.86,87.11
2026-03-24T16:17:00Z,14.09,89.93
2026-03-24T16:18:00Z,17.57,90.89
2026-03-24T16:19:00Z,18.92,90.89
2026-03-24T16:20:00Z,23.44,81.53
2026-03-24T16:21:00Z,26.62,77.33
2026-03-24T16:22:00Z,25.19,77.00
2026-03-24T16:23:00Z,17.67,86.38
2026-03-24T16:24:00Z,24.18,79.08
2026-03-24T16:25:00Z,26.80,89.54
2026-03-24T16:26:00Z,26.39,75.00
2026-03-24T16:27:00Z,27.70,74.94
2026-03-24T16:28:00Z,22.50,84.96
2026-03-24T16:29:00Z,11.73,84.96
2026-03-24T16:30:00Z,25.58,84.96
2026-03-24T16:31:00Z,22.64,84.22
2026-03-24T16:32:00Z,25.32,75.99
2026-03-24T16:33:00Z,25.97,81.24
2026-03-24T16:34:00Z,28.61,83.27
2026-03-24T16:35:00Z,27.30,75.00
2026-03-24T16:36:00Z,31.04,75.50
2026-03-24T16:37:00Z,27.87,79.03
2026-03-24T16:38:00Z,27.00,78.00
2026-03-24T16:39:00Z,24.64,78.80
2026-03-24T16:40:00Z,24.83,80.06
2026-03-24T16:41:00Z,20.52,78.42
2026-03-24T16:42:00Z,23.50,78.86
2026-03-24T16:43:00Z,21.00,83.65
2026-03-24T16:44:00Z,17.93,76.99
2026-03-24T16:45:00Z,25.67,93.91
2026-03-24T16:46:00Z,28.75,74.26
2026-03-24T16:47:00Z,18.65,83.94
2026-03-24T16:48:00Z,20.08,88.58
2026-03-24T16:49:00Z,11.82,85.97
2026-03-24T16:50:00Z,16.32,85.59
2026-03-24T16:51:00Z,16.15,86.90
2026-03-24T16:52:00Z,18.07,80.57
2026-03-24T16:53:00Z,25.89,80.09
2026-03-24T16:54:00Z,4.99,90.84
2026-03-24T16:55:00Z,1.21,98.88
2026-03-24T16:56:00Z,2.07,98.89
2026-03-24T16:57:00Z,2.64,96.94
2026-03-24T16:58:00Z,5.33,94.81
2026-03-24T16:59:00Z,5.33,98.00
2026-03-24T17:00:00Z,2.00,98.00
2026-03-24T17:01:00Z,8.00,96.00
2026-03-24T17:03:00Z,3.44,97.28
2026-03-24T17:04:00Z,1.00,97.16
2026-03-24T17:05:00Z,1.00,97.20
2026-03-24T17:06:00Z,1.00,98.00
2026-03-24T17:07:00Z,1.00,99.00
