# event_ticker=KXATPMATCH-25AUG13COMRUB
# final_score=6-2 6-3
# match_winner=Andrey Rublev
# fav_player=Andrey Rublev
# dog_player=Francisco Comesana
# kalshi_date=2025-08-13
timestamp,Andrey Rublev,Francisco Comesana
2025-08-13T13:23:00Z,,21.00
2025-08-13T13:41:00Z,79.00,21.00
2025-08-13T13:48:00Z,80.00,21.00
2025-08-13T13:54:00Z,80.00,21.00
2025-08-13T13:58:00Z,80.00,21.00
2025-08-13T14:32:00Z,80.00,20.75
2025-08-13T16:16:00Z,80.00,20.75
2025-08-13T16:17:00Z,80.00,21.00
2025-08-13T16:18:00Z,80.00,21.00
2025-08-13T16:19:00Z,80.00,21.00
2025-08-13T16:24:00Z,80.00,21.00
2025-08-13T16:25:00Z,79.00,21.00
2025-08-13T16:39:00Z,79.00,21.00
2025-08-13T16:47:00Z,79.39,21.00
2025-08-13T16:53:00Z,80.00,21.00
2025-08-13T17:03:00Z,80.00,21.00
2025-08-13T17:12:00Z,80.00,21.00
2025-08-13T17:15:00Z,80.00,21.00
2025-08-13T17:22:00Z,80.00,21.00
2025-08-13T17:25:00Z,80.00,21.00
2025-08-13T17:29:00Z,80.00,21.00
2025-08-13T17:31:00Z,80.00,21.00
2025-08-13T17:32:00Z,80.00,21.00
2025-08-13T17:41:00Z,80.00,21.00
2025-08-13T17:42:00Z,80.00,22.00
2025-08-13T18:20:00Z,80.00,20.00
2025-08-13T18:49:00Z,80.00,20.00
2025-08-13T18:54:00Z,80.00,20.00
2025-08-13T19:08:00Z,80.00,20.00
2025-08-13T19:17:00Z,80.00,20.00
2025-08-13T19:24:00Z,80.00,20.00
2025-08-13T19:28:00Z,80.00,20.95
2025-08-13T19:46:00Z,79.00,21.00
2025-08-13T19:49:00Z,80.00,21.00
2025-08-13T20:18:00Z,80.00,22.00
2025-08-13T21:07:00Z,80.00,22.00
2025-08-13T21:45:00Z,80.00,22.00
2025-08-13T22:12:00Z,80.00,21.00
2025-08-13T22:14:00Z,80.00,21.00
2025-08-13T22:32:00Z,80.00,21.00
2025-08-13T22:40:00Z,80.00,21.00
2025-08-13T22:43:00Z,80.00,21.54
2025-08-13T22:45:00Z,80.00,22.00
2025-08-13T22:49:00Z,80.00,22.00
2025-08-13T22:50:00Z,80.00,21.00
2025-08-13T22:52:00Z,80.00,21.00
2025-08-13T23:02:00Z,80.00,21.00
2025-08-13T23:03:00Z,80.00,21.00
2025-08-13T23:11:00Z,80.00,21.00
2025-08-13T23:15:00Z,80.00,19.00
2025-08-13T23:16:00Z,80.00,21.00
2025-08-13T23:27:00Z,80.00,21.00
2025-08-13T23:29:00Z,80.00,21.00
2025-08-13T23:34:00Z,80.00,19.00
2025-08-13T23:48:00Z,79.90,19.00
2025-08-14T00:09:00Z,79.90,20.00
2025-08-14T00:33:00Z,79.90,21.76
2025-08-14T00:34:00Z,79.90,22.07
2025-08-14T00:37:00Z,79.90,22.00
2025-08-14T00:38:00Z,77.00,23.00
2025-08-14T00:40:00Z,78.00,23.00
2025-08-14T00:41:00Z,78.00,23.00
