# event_ticker=KXATPCHALLENGERMATCH-26FEB17NEFSAU
# final_score=7-6(3) 6-4
# score_resolution=6-7 4-6
# match_winner=Axel Nefve
# fav_player=Alan Raul Sau Franco
# dog_player=Axel Nefve
# kalshi_date=2026-02-17
timestamp,Alan Raul Sau Franco,Axel Nefve
2026-02-17T08:49:00Z,,80.00
2026-02-17T08:51:00Z,,89.81
2026-02-17T09:43:00Z,38.00,67.20
2026-02-17T09:44:00Z,41.00,67.00
2026-02-17T09:45:00Z,41.00,67.00
2026-02-17T09:50:00Z,41.00,67.00
2026-02-17T10:46:00Z,41.00,83.90
2026-02-17T10:51:00Z,22.39,83.90
2026-02-17T10:56:00Z,20.00,85.33
2026-02-17T10:57:00Z,20.00,85.00
2026-02-17T10:58:00Z,18.97,85.00
2026-02-17T12:12:00Z,20.00,85.00
2026-02-17T12:41:00Z,20.00,83.00
2026-02-17T12:51:00Z,21.00,83.00
2026-02-17T12:57:00Z,21.00,83.00
2026-02-17T13:56:00Z,16.00,84.00
2026-02-17T15:01:00Z,16.00,86.00
2026-02-17T15:16:00Z,18.00,86.00
2026-02-17T15:53:00Z,18.00,89.00
2026-02-17T16:21:00Z,17.00,89.00
2026-02-17T16:35:00Z,17.00,89.00
2026-02-17T16:50:00Z,17.00,86.00
2026-02-17T17:04:00Z,17.00,86.00
2026-02-17T17:19:00Z,17.00,87.00
2026-02-17T17:27:00Z,15.00,87.00
2026-02-17T17:28:00Z,15.00,87.00
2026-02-17T17:31:00Z,15.00,87.00
2026-02-17T17:32:00Z,15.00,87.99
2026-02-17T17:33:00Z,14.47,87.99
2026-02-17T17:34:00Z,15.00,87.99
2026-02-17T17:35:00Z,15.00,88.80
2026-02-17T17:36:00Z,15.42,87.68
2026-02-17T17:37:00Z,14.66,85.71
2026-02-17T17:38:00Z,14.70,84.00
2026-02-17T17:39:00Z,16.29,83.00
2026-02-17T17:40:00Z,19.00,82.00
2026-02-17T17:41:00Z,20.00,79.00
2026-02-17T17:42:00Z,23.52,77.09
2026-02-17T17:43:00Z,17.43,84.96
2026-02-17T17:44:00Z,15.66,87.00
2026-02-17T17:45:00Z,15.00,86.90
2026-02-17T17:46:00Z,14.35,86.00
2026-02-17T17:47:00Z,13.07,86.00
2026-02-17T17:48:00Z,14.93,84.00
2026-02-17T17:49:00Z,19.74,82.88
2026-02-17T17:50:00Z,19.74,84.00
2026-02-17T17:51:00Z,21.24,84.00
2026-02-17T17:52:00Z,21.00,81.00
2026-02-17T17:53:00Z,21.00,76.01
2026-02-17T17:54:00Z,26.29,70.39
2026-02-17T17:55:00Z,36.85,67.05
2026-02-17T17:56:00Z,31.22,70.94
2026-02-17T17:57:00Z,36.19,70.94
2026-02-17T17:58:00Z,39.61,70.94
2026-02-17T17:59:00Z,41.72,58.00
2026-02-17T18:00:00Z,45.15,58.00
2026-02-17T18:01:00Z,46.55,55.93
2026-02-17T18:02:00Z,46.00,52.72
2026-02-17T18:03:00Z,46.00,55.57
2026-02-17T18:04:00Z,43.59,56.31
2026-02-17T18:05:00Z,50.14,52.71
2026-02-17T18:06:00Z,58.71,44.81
2026-02-17T18:07:00Z,54.64,45.06
2026-02-17T18:08:00Z,56.88,44.00
2026-02-17T18:09:00Z,56.35,43.36
2026-02-17T18:10:00Z,56.85,45.11
2026-02-17T18:11:00Z,56.56,45.14
2026-02-17T18:12:00Z,52.30,52.00
2026-02-17T18:13:00Z,50.65,51.91
2026-02-17T18:14:00Z,48.90,51.79
2026-02-17T18:15:00Z,42.35,53.84
2026-02-17T18:16:00Z,45.91,55.09
2026-02-17T18:17:00Z,41.72,58.07
2026-02-17T18:18:00Z,38.90,68.51
2026-02-17T18:19:00Z,45.20,59.92
2026-02-17T18:20:00Z,36.78,60.02
2026-02-17T18:21:00Z,36.99,64.72
2026-02-17T18:22:00Z,26.65,74.00
2026-02-17T18:23:00Z,27.83,74.00
2026-02-17T18:24:00Z,21.27,78.94
2026-02-17T18:25:00Z,20.55,80.00
2026-02-17T18:26:00Z,17.76,81.01
2026-02-17T18:27:00Z,12.95,86.52
2026-02-17T18:28:00Z,12.72,83.18
2026-02-17T18:29:00Z,13.89,88.58
2026-02-17T18:30:00Z,10.87,89.84
2026-02-17T18:31:00Z,9.99,90.01
2026-02-17T18:32:00Z,9.87,91.21
2026-02-17T18:33:00Z,13.15,86.44
2026-02-17T18:34:00Z,19.48,82.00
2026-02-17T18:35:00Z,21.88,77.89
