# event_ticker=KXATPMATCH-26APR22MUNSHE
# final_score=6-4 6-1
# score_resolution=4-6 1-6
# match_winner=Jaume Munar
# fav_player=Alexander Shevchenko
# dog_player=Jaume Munar
# kalshi_date=2026-04-22
timestamp,Jaume Munar,Alexander Shevchenko
2026-04-22T23:17:00Z,,41.00
2026-04-22T23:38:00Z,,41.00
2026-04-22T23:42:00Z,60.00,41.00
2026-04-22T23:43:00Z,59.00,41.00
2026-04-22T23:54:00Z,61.00,41.00
2026-04-23T00:04:00Z,60.00,41.00
2026-04-23T00:06:00Z,61.00,41.00
2026-04-23T00:19:00Z,61.00,41.00
2026-04-23T00:20:00Z,61.00,41.00
2026-04-23T00:30:00Z,61.00,41.00
2026-04-23T00:40:00Z,61.00,41.00
2026-04-23T00:53:00Z,61.00,41.00
2026-04-23T00:55:00Z,61.00,41.00
2026-04-23T01:00:00Z,61.00,41.00
2026-04-23T01:02:00Z,61.00,41.00
2026-04-23T01:08:00Z,61.00,41.00
2026-04-23T01:22:00Z,61.00,41.00
2026-04-23T01:29:00Z,61.00,41.00
2026-04-23T01:39:00Z,61.00,41.00
2026-04-23T01:49:00Z,61.00,41.00
2026-04-23T02:07:00Z,61.00,41.00
2026-04-23T02:15:00Z,61.00,41.00
2026-04-23T02:17:00Z,61.00,41.00
2026-04-23T02:20:00Z,61.00,41.00
2026-04-23T02:30:00Z,60.01,41.00
2026-04-23T02:35:00Z,61.00,41.00
2026-04-23T02:36:00Z,61.00,41.00
2026-04-23T02:38:00Z,61.00,41.00
2026-04-23T02:42:00Z,61.00,41.00
2026-04-23T02:44:00Z,61.00,41.00
2026-04-23T02:47:00Z,61.00,41.00
2026-04-23T02:49:00Z,60.75,41.00
2026-04-23T02:50:00Z,60.00,41.00
2026-04-23T02:51:00Z,61.00,41.00
2026-04-23T02:53:00Z,60.00,41.00
2026-04-23T02:57:00Z,61.00,41.00
2026-04-23T03:01:00Z,61.00,41.00
2026-04-23T03:02:00Z,61.00,41.00
2026-04-23T03:04:00Z,61.00,41.00
2026-04-23T03:12:00Z,61.00,40.00
2026-04-23T03:15:00Z,61.00,40.00
2026-04-23T03:18:00Z,61.00,40.00
2026-04-23T03:33:00Z,61.00,40.00
2026-04-23T03:35:00Z,59.13,40.00
2026-04-23T03:36:00Z,61.00,39.00
2026-04-23T03:38:00Z,61.00,40.00
2026-04-23T03:39:00Z,61.00,40.00
2026-04-23T03:46:00Z,61.00,40.00
2026-04-23T03:48:00Z,61.00,40.02
2026-04-23T03:52:00Z,61.00,40.02
2026-04-23T03:53:00Z,61.00,40.02
2026-04-23T03:58:00Z,60.00,40.02
2026-04-23T04:08:00Z,61.00,40.02
2026-04-23T04:18:00Z,61.00,40.02
2026-04-23T04:21:00Z,61.00,40.02
2026-04-23T04:22:00Z,61.00,40.02
2026-04-23T04:27:00Z,61.00,40.02
2026-04-23T04:32:00Z,61.79,40.02
2026-04-23T04:34:00Z,61.00,40.02
2026-04-23T04:39:00Z,61.00,40.02
2026-04-23T04:46:00Z,61.00,40.02
2026-04-23T04:51:00Z,61.00,41.00
