# event_ticker=KXATPCHALLENGERMATCH-26MAR20PELCAR
# final_score=6-3 6-4
# score_resolution=3-6 4-6
# match_winner=Pablo Carreno Busta
# fav_player=Andrea Pellegrino
# dog_player=Pablo Carreno Busta
# kalshi_date=2026-03-20
timestamp,Andrea Pellegrino,Pablo Carreno Busta
2026-03-20T02:07:00Z,,64.00
2026-03-20T02:24:00Z,,61.00
2026-03-20T03:33:00Z,,63.00
2026-03-20T03:49:00Z,,63.00
2026-03-20T04:03:00Z,,63.00
2026-03-20T04:06:00Z,,63.00
2026-03-20T04:14:00Z,,63.00
2026-03-20T04:46:00Z,,61.00
2026-03-20T04:52:00Z,,63.95
2026-03-20T05:02:00Z,38.00,63.95
2026-03-20T05:17:00Z,38.00,64.00
2026-03-20T05:20:00Z,38.00,64.00
2026-03-20T05:24:00Z,38.00,63.00
2026-03-20T05:25:00Z,38.00,63.00
2026-03-20T05:32:00Z,38.00,64.00
2026-03-20T05:43:00Z,38.00,64.00
2026-03-20T05:47:00Z,38.00,64.00
2026-03-20T05:51:00Z,38.00,64.00
2026-03-20T05:55:00Z,38.00,64.72
2026-03-20T06:08:00Z,38.00,64.00
2026-03-20T06:10:00Z,38.00,64.00
2026-03-20T06:20:00Z,38.00,64.00
2026-03-20T06:31:00Z,38.00,65.00
2026-03-20T06:36:00Z,37.00,65.00
2026-03-20T06:51:00Z,37.00,65.00
2026-03-20T07:06:00Z,37.00,64.34
2026-03-20T07:21:00Z,37.00,65.00
2026-03-20T07:22:00Z,37.00,65.00
2026-03-20T08:55:00Z,37.00,65.00
2026-03-20T09:42:00Z,38.00,65.00
2026-03-20T09:54:00Z,38.00,63.00
2026-03-20T10:03:00Z,38.00,63.00
2026-03-20T10:14:00Z,38.00,63.00
2026-03-20T10:21:00Z,38.00,63.00
2026-03-20T10:41:00Z,38.00,63.00
2026-03-20T10:46:00Z,39.00,63.00
2026-03-20T10:47:00Z,39.00,63.00
2026-03-20T10:59:00Z,39.00,63.00
2026-03-20T11:02:00Z,39.00,63.00
2026-03-20T11:12:00Z,39.00,62.00
2026-03-20T11:20:00Z,39.00,63.00
2026-03-20T11:21:00Z,39.00,63.00
2026-03-20T11:23:00Z,39.00,63.00
