# event_ticker=KXATPCHALLENGERMATCH-26APR08DOSRYB
# final_score=6-2 4-6 6-4
# score_resolution=2-6 6-4 4-6
# match_winner=Stefan Dostanic
# fav_player=Alex Rybakov
# dog_player=Stefan Dostanic
# kalshi_date=2026-04-08
timestamp,Alex Rybakov,Stefan Dostanic
2026-04-08T14:10:00Z,,67.00
2026-04-08T15:00:00Z,,67.00
2026-04-08T15:18:00Z,,67.00
2026-04-08T15:30:00Z,,67.00
2026-04-08T15:33:00Z,,67.00
2026-04-08T15:47:00Z,,67.00
2026-04-08T15:49:00Z,35.00,67.00
2026-04-08T15:52:00Z,35.00,68.00
2026-04-08T16:23:00Z,35.00,68.00
2026-04-08T16:48:00Z,35.00,68.78
2026-04-08T17:26:00Z,35.00,69.00
2026-04-08T17:28:00Z,34.00,69.00
2026-04-08T17:37:00Z,34.00,68.00
2026-04-08T17:42:00Z,34.00,68.00
2026-04-08T17:43:00Z,34.00,68.00
2026-04-08T17:48:00Z,34.00,68.00
2026-04-08T17:53:00Z,34.00,68.00
2026-04-08T17:59:00Z,34.00,68.00
2026-04-08T18:01:00Z,34.00,68.00
2026-04-08T18:14:00Z,34.00,68.00
2026-04-08T18:17:00Z,34.00,68.00
2026-04-08T18:19:00Z,34.00,66.00
2026-04-08T18:20:00Z,34.00,66.00
2026-04-08T18:23:00Z,33.67,68.00
2026-04-08T18:24:00Z,34.00,68.00
2026-04-08T18:25:00Z,32.93,68.00
2026-04-08T18:26:00Z,32.93,68.00
2026-04-08T18:32:00Z,33.00,68.00
2026-04-08T18:33:00Z,33.00,68.00
2026-04-08T18:34:00Z,33.00,68.00
2026-04-08T18:35:00Z,33.00,68.00
2026-04-08T18:41:00Z,33.00,68.00
2026-04-08T18:44:00Z,33.00,68.00
2026-04-08T18:47:00Z,33.00,68.00
2026-04-08T18:48:00Z,33.00,68.00
2026-04-08T18:51:00Z,33.00,68.00
2026-04-08T18:53:00Z,33.00,68.00
2026-04-08T18:56:00Z,33.64,67.00
2026-04-08T19:00:00Z,34.00,67.00
2026-04-08T19:02:00Z,32.00,67.00
2026-04-08T19:03:00Z,32.00,68.00
2026-04-08T19:06:00Z,34.00,68.00
2026-04-08T19:07:00Z,34.00,68.00
2026-04-08T19:11:00Z,34.00,68.00
2026-04-08T19:17:00Z,34.00,68.00
2026-04-08T19:18:00Z,34.00,68.00
2026-04-08T19:23:00Z,34.00,68.00
2026-04-08T19:25:00Z,34.00,68.00
2026-04-08T19:26:00Z,34.00,67.89
2026-04-08T19:27:00Z,34.00,67.89
2026-04-08T19:28:00Z,34.00,68.00
2026-04-08T19:29:00Z,34.00,68.00
2026-04-08T19:32:00Z,34.00,68.00
2026-04-08T19:36:00Z,34.00,68.00
2026-04-08T19:38:00Z,34.00,68.00
2026-04-08T19:46:00Z,33.00,68.00
2026-04-08T19:47:00Z,33.00,68.00
2026-04-08T19:54:00Z,33.00,68.00
2026-04-08T19:55:00Z,33.00,68.00
