# event_ticker=KXATPCHALLENGERMATCH-26MAY07MANERH
# final_score=6-3 RET
# match_winner=Mathys Erhard
# fav_player=Mathys Erhard
# dog_player=Skander Mansouri
# kalshi_date=2026-05-07
timestamp,Skander Mansouri,Mathys Erhard
2026-05-07T02:56:00Z,40.00,
2026-05-07T02:57:00Z,40.00,68.68
2026-05-07T03:19:00Z,38.00,68.68
2026-05-07T03:33:00Z,38.00,69.00
2026-05-07T04:03:00Z,30.00,69.00
2026-05-07T05:38:00Z,30.00,68.87
2026-05-07T05:40:00Z,30.00,70.00
2026-05-07T05:42:00Z,31.00,71.00
2026-05-07T06:10:00Z,31.00,69.85
2026-05-07T09:02:00Z,31.00,77.00
2026-05-07T09:03:00Z,23.00,77.00
2026-05-07T09:34:00Z,18.00,77.00
2026-05-07T09:43:00Z,17.00,77.00
2026-05-07T10:04:00Z,17.00,77.00
2026-05-07T10:50:00Z,17.00,83.00
2026-05-07T10:58:00Z,17.00,83.00
2026-05-07T12:23:00Z,17.00,83.00
2026-05-07T12:36:00Z,17.00,85.00
2026-05-07T13:07:00Z,17.00,85.00
2026-05-07T13:27:00Z,17.00,85.00
2026-05-07T13:56:00Z,17.00,85.00
2026-05-07T13:59:00Z,17.00,85.00
2026-05-07T14:11:00Z,22.17,85.00
2026-05-07T14:12:00Z,24.74,78.00
2026-05-07T14:16:00Z,19.00,81.11
2026-05-07T14:18:00Z,18.00,81.11
2026-05-07T14:19:00Z,18.00,81.11
2026-05-07T14:20:00Z,17.96,84.00
2026-05-07T14:21:00Z,16.00,84.69
2026-05-07T14:23:00Z,16.00,85.00
2026-05-07T14:24:00Z,16.00,85.00
2026-05-07T14:25:00Z,15.00,85.00
2026-05-07T14:26:00Z,14.00,86.10
2026-05-07T14:27:00Z,14.00,85.00
2026-05-07T14:28:00Z,14.07,85.79
2026-05-07T14:29:00Z,14.00,85.78
2026-05-07T14:30:00Z,13.71,85.92
2026-05-07T14:31:00Z,9.98,89.97
2026-05-07T14:32:00Z,10.08,89.33
2026-05-07T14:33:00Z,13.00,89.00
2026-05-07T14:34:00Z,10.20,89.50
2026-05-07T14:35:00Z,10.00,89.22
2026-05-07T14:36:00Z,10.00,93.00
2026-05-07T14:37:00Z,7.00,93.00
2026-05-07T14:38:00Z,7.00,93.00
2026-05-07T14:39:00Z,8.00,93.00
2026-05-07T14:40:00Z,8.00,94.00
2026-05-07T14:42:00Z,8.00,94.00
2026-05-07T14:43:00Z,8.00,93.00
2026-05-07T14:44:00Z,6.02,94.00
2026-05-07T14:45:00Z,5.44,94.05
2026-05-07T14:47:00Z,7.00,93.00
2026-05-07T14:48:00Z,7.84,92.97
2026-05-07T14:50:00Z,7.84,94.00
2026-05-07T14:51:00Z,7.84,93.00
2026-05-07T14:52:00Z,7.84,94.00
2026-05-07T14:53:00Z,6.00,94.00
2026-05-07T14:54:00Z,2.75,95.93
