# event_ticker=KXATPCHALLENGERMATCH-26APR04HEIDEL
# final_score=6-3 7-5
# score_resolution=3-6 5-7
# match_winner=Hugo Dellien
# fav_player=Gustavo Heide
# dog_player=Hugo Dellien
# kalshi_date=2026-04-04
timestamp,Gustavo Heide,Hugo Dellien
2026-04-04T04:05:00Z,62.00,
2026-04-04T04:08:00Z,62.00,40.00
2026-04-04T04:32:00Z,62.00,40.00
2026-04-04T04:40:00Z,62.00,40.00
2026-04-04T05:05:00Z,62.00,40.00
2026-04-04T05:10:00Z,62.00,40.00
2026-04-04T05:19:00Z,63.00,40.00
2026-04-04T05:39:00Z,62.00,40.00
2026-04-04T05:59:00Z,62.00,39.00
2026-04-04T06:12:00Z,62.00,39.00
2026-04-04T06:13:00Z,63.00,39.00
2026-04-04T06:17:00Z,63.00,39.00
2026-04-04T06:22:00Z,63.00,39.00
2026-04-04T06:24:00Z,62.00,39.00
2026-04-04T06:53:00Z,62.00,39.00
2026-04-04T07:09:00Z,62.00,39.00
2026-04-04T07:14:00Z,63.00,39.00
2026-04-04T07:24:00Z,62.09,39.00
2026-04-04T08:25:00Z,63.00,39.00
2026-04-04T08:31:00Z,63.00,39.00
2026-04-04T08:34:00Z,63.00,39.00
2026-04-04T08:51:00Z,63.00,39.00
2026-04-04T09:13:00Z,63.00,39.00
2026-04-04T09:31:00Z,63.00,39.00
2026-04-04T09:34:00Z,63.00,39.00
2026-04-04T09:51:00Z,63.00,39.00
2026-04-04T09:54:00Z,63.00,39.00
2026-04-04T09:55:00Z,62.00,39.00
2026-04-04T10:56:00Z,62.00,39.00
2026-04-04T11:04:00Z,62.00,39.00
2026-04-04T11:13:00Z,62.00,39.00
2026-04-04T11:26:00Z,62.00,39.82
2026-04-04T11:51:00Z,62.00,39.00
2026-04-04T12:15:00Z,62.00,39.00
2026-04-04T12:53:00Z,62.00,38.00
2026-04-04T13:04:00Z,63.00,38.00
2026-04-04T13:11:00Z,63.00,38.00
2026-04-04T13:15:00Z,63.00,38.00
2026-04-04T13:40:00Z,63.00,38.00
2026-04-04T14:02:00Z,63.00,38.00
2026-04-04T14:05:00Z,62.03,38.00
2026-04-04T14:10:00Z,62.00,38.00
2026-04-04T14:16:00Z,62.00,38.00
2026-04-04T14:34:00Z,62.00,39.00
2026-04-04T14:40:00Z,62.00,39.00
2026-04-04T14:41:00Z,62.00,40.00
2026-04-04T14:48:00Z,62.00,40.00
2026-04-04T14:55:00Z,62.00,40.00
2026-04-04T14:57:00Z,62.00,40.00
2026-04-04T14:59:00Z,62.00,40.00
2026-04-04T15:04:00Z,62.00,40.00
2026-04-04T15:08:00Z,62.00,40.00
2026-04-04T15:09:00Z,62.00,40.00
2026-04-04T15:10:00Z,62.00,40.00
2026-04-04T15:12:00Z,63.00,40.00
2026-04-04T15:16:00Z,63.00,39.68
2026-04-04T15:20:00Z,63.00,39.00
2026-04-04T15:21:00Z,63.00,40.00
2026-04-04T15:22:00Z,60.48,40.00
2026-04-04T15:23:00Z,60.95,41.00
2026-04-04T15:24:00Z,60.95,39.65
2026-04-04T15:26:00Z,60.95,41.00
2026-04-04T15:27:00Z,61.93,40.79
2026-04-04T15:30:00Z,61.93,40.00
2026-04-04T15:31:00Z,61.93,40.77
2026-04-04T15:33:00Z,62.64,40.77
2026-04-04T15:35:00Z,62.64,40.33
2026-04-04T15:36:00Z,62.64,40.00
2026-04-04T15:41:00Z,62.00,40.00
2026-04-04T15:43:00Z,62.00,40.00
2026-04-04T15:44:00Z,60.00,40.57
2026-04-04T15:45:00Z,61.00,40.80
2026-04-04T15:46:00Z,61.00,40.79
2026-04-04T15:47:00Z,61.00,40.90
2026-04-04T15:48:00Z,61.00,40.89
2026-04-04T15:49:00Z,61.00,40.96
2026-04-04T15:50:00Z,59.00,41.59
2026-04-04T15:51:00Z,59.00,41.94
2026-04-04T15:52:00Z,58.06,42.74
2026-04-04T15:53:00Z,58.00,44.98
2026-04-04T15:54:00Z,58.56,42.36
2026-04-04T15:55:00Z,59.14,43.45
2026-04-04T15:56:00Z,59.95,42.76
2026-04-04T15:57:00Z,59.76,40.17
2026-04-04T15:58:00Z,61.87,39.75
2026-04-04T15:59:00Z,58.72,42.08
2026-04-04T16:00:00Z,56.06,44.58
2026-04-04T16:01:00Z,59.60,41.08
2026-04-04T16:02:00Z,59.08,41.53
2026-04-04T16:03:00Z,57.14,44.62
2026-04-04T16:04:00Z,57.07,44.40
2026-04-04T16:05:00Z,59.03,41.71
2026-04-04T16:06:00Z,61.01,40.29
2026-04-04T16:07:00Z,62.97,39.37
2026-04-04T16:08:00Z,60.37,40.41
2026-04-04T16:09:00Z,61.78,39.57
2026-04-04T16:10:00Z,58.85,42.06
2026-04-04T16:11:00Z,56.99,44.76
2026-04-04T16:12:00Z,57.00,44.42
2026-04-04T16:13:00Z,53.55,47.17
2026-04-04T16:14:00Z,52.26,48.05
2026-04-04T16:15:00Z,52.69,50.45
2026-04-04T16:16:00Z,50.82,49.66
2026-04-04T16:17:00Z,49.25,50.20
2026-04-04T16:18:00Z,54.44,45.86
2026-04-04T16:19:00Z,51.26,48.94
2026-04-04T16:20:00Z,40.71,63.30
2026-04-04T16:21:00Z,34.54,65.50
2026-04-04T16:22:00Z,31.06,68.81
