# event_ticker=KXATPCHALLENGERMATCH-26FEB17GOMAND
# final_score=6-2 6-3
# match_winner=Andres Andrade
# fav_player=Andres Andrade
# dog_player=Juan Sebastian Gomez
# kalshi_date=2026-02-17
timestamp,Andres Andrade,Juan Sebastian Gomez
2026-02-17T10:49:00Z,81.53,17.00
2026-02-17T11:04:00Z,81.53,13.00
2026-02-17T12:16:00Z,81.53,13.00
2026-02-17T12:58:00Z,81.53,15.00
2026-02-17T13:27:00Z,81.53,15.00
2026-02-17T14:09:00Z,88.00,11.00
2026-02-17T15:02:00Z,88.00,11.00
2026-02-17T15:54:00Z,89.00,11.00
2026-02-17T16:44:00Z,89.00,15.00
2026-02-17T17:39:00Z,89.00,15.00
2026-02-17T17:49:00Z,89.00,15.00
2026-02-17T18:03:00Z,87.00,15.00
2026-02-17T18:04:00Z,87.00,15.00
2026-02-17T18:06:00Z,87.00,15.00
2026-02-17T18:11:00Z,87.00,15.00
2026-02-17T18:18:00Z,87.00,15.00
2026-02-17T18:19:00Z,87.00,15.00
2026-02-17T18:38:00Z,87.00,15.00
2026-02-17T18:40:00Z,87.00,15.00
2026-02-17T18:42:00Z,87.00,15.00
2026-02-17T18:43:00Z,87.00,15.00
2026-02-17T18:48:00Z,87.00,15.00
2026-02-17T18:51:00Z,87.00,13.00
2026-02-17T18:52:00Z,87.00,13.00
2026-02-17T18:58:00Z,87.00,12.00
2026-02-17T19:00:00Z,87.00,12.00
2026-02-17T19:02:00Z,87.00,12.00
2026-02-17T19:10:00Z,87.00,13.86
2026-02-17T19:17:00Z,87.00,14.00
2026-02-17T19:18:00Z,87.00,13.00
2026-02-17T19:19:00Z,88.00,13.00
2026-02-17T19:20:00Z,88.00,13.00
2026-02-17T19:21:00Z,88.00,13.29
2026-02-17T19:22:00Z,87.08,14.00
2026-02-17T19:23:00Z,87.68,14.05
2026-02-17T19:24:00Z,91.81,9.61
2026-02-17T19:25:00Z,89.00,12.00
2026-02-17T19:26:00Z,90.24,11.01
2026-02-17T19:27:00Z,90.24,8.00
2026-02-17T19:28:00Z,90.24,8.00
2026-02-17T19:29:00Z,90.24,6.23
2026-02-17T19:30:00Z,90.24,6.00
2026-02-17T19:31:00Z,94.10,7.23
2026-02-17T19:32:00Z,94.10,6.92
2026-02-17T19:33:00Z,92.00,9.00
2026-02-17T19:34:00Z,91.00,8.04
2026-02-17T19:35:00Z,90.04,9.00
2026-02-17T19:36:00Z,91.01,9.39
2026-02-17T19:37:00Z,93.00,8.00
2026-02-17T19:38:00Z,90.14,11.39
2026-02-17T19:39:00Z,87.48,11.75
2026-02-17T19:40:00Z,87.48,10.05
2026-02-17T19:41:00Z,87.48,12.22
2026-02-17T19:42:00Z,92.00,10.79
2026-02-17T19:43:00Z,92.00,7.97
2026-02-17T19:44:00Z,93.09,8.00
2026-02-17T19:45:00Z,93.38,6.66
2026-02-17T19:46:00Z,92.05,7.78
2026-02-17T19:47:00Z,93.00,9.08
2026-02-17T19:48:00Z,93.72,7.18
2026-02-17T19:49:00Z,93.72,8.45
2026-02-17T19:50:00Z,90.00,11.00
2026-02-17T19:51:00Z,90.00,11.78
2026-02-17T19:52:00Z,88.00,11.36
2026-02-17T19:53:00Z,93.00,9.94
2026-02-17T19:54:00Z,89.55,9.58
2026-02-17T19:55:00Z,94.00,9.00
2026-02-17T19:56:00Z,94.00,8.00
2026-02-17T19:57:00Z,94.00,8.00
2026-02-17T19:58:00Z,94.00,8.13
2026-02-17T19:59:00Z,94.20,6.14
2026-02-17T20:00:00Z,95.00,5.12
2026-02-17T20:01:00Z,95.00,5.89
2026-02-17T20:02:00Z,95.00,5.00
2026-02-17T20:03:00Z,95.00,5.86
2026-02-17T20:04:00Z,96.00,5.00
2026-02-17T20:05:00Z,96.00,4.97
2026-02-17T20:06:00Z,96.16,3.48
2026-02-17T20:07:00Z,96.16,2.00
2026-02-17T20:08:00Z,97.50,4.00
2026-02-17T20:09:00Z,95.26,5.34
2026-02-17T20:10:00Z,94.00,7.16
2026-02-17T20:11:00Z,94.00,6.76
2026-02-17T20:12:00Z,96.00,4.85
2026-02-17T20:13:00Z,96.00,5.44
2026-02-17T20:14:00Z,95.00,4.62
2026-02-17T20:15:00Z,97.01,3.44
2026-02-17T20:16:00Z,97.49,3.74
2026-02-17T20:17:00Z,97.00,3.77
2026-02-17T20:18:00Z,97.15,4.00
2026-02-17T20:19:00Z,96.94,4.50
2026-02-17T20:20:00Z,98.63,3.06
2026-02-17T20:21:00Z,98.84,3.31
2026-02-17T20:22:00Z,98.00,2.26
2026-02-17T20:23:00Z,97.00,2.14
2026-02-17T20:24:00Z,98.00,2.14
2026-02-17T20:25:00Z,98.26,1.33
2026-02-17T20:26:00Z,98.95,1.00
2026-02-17T20:27:00Z,97.57,2.39
2026-02-17T20:28:00Z,98.83,2.32
2026-02-17T20:29:00Z,99.00,1.00
2026-02-17T20:30:00Z,99.00,1.19
2026-02-17T20:32:00Z,99.00,1.00
2026-02-17T20:33:00Z,99.00,1.00
2026-02-17T20:34:00Z,99.00,1.00
2026-02-17T20:36:00Z,99.00,1.00
2026-02-17T20:37:00Z,99.00,2.25
2026-02-17T20:38:00Z,99.00,1.20
2026-02-17T20:39:00Z,99.00,1.72
2026-02-17T20:40:00Z,99.00,1.44
2026-02-17T20:41:00Z,99.00,1.00
2026-02-17T20:46:00Z,99.00,1.00
