# event_ticker=KXATPCHALLENGERMATCH-26APR19SUNTUL
# final_score=5-7 6-4 7-5
# match_winner=Fajing Sun
# fav_player=Fajing Sun
# dog_player=Li Tu
# kalshi_date=2026-04-19
timestamp,Fajing Sun,Li Tu
2026-04-18T18:23:00Z,59.00,59.00
2026-04-18T18:29:00Z,59.00,59.00
2026-04-18T18:34:00Z,59.00,59.00
2026-04-18T18:47:00Z,43.00,59.00
2026-04-18T18:48:00Z,43.00,59.00
2026-04-18T18:53:00Z,43.00,59.00
2026-04-18T18:54:00Z,43.00,59.00
2026-04-18T19:00:00Z,43.00,59.00
2026-04-18T19:19:00Z,43.00,59.00
2026-04-18T19:34:00Z,43.00,60.00
2026-04-18T19:50:00Z,43.00,60.00
2026-04-18T20:05:00Z,43.00,60.00
2026-04-18T20:06:00Z,43.00,60.00
2026-04-18T20:25:00Z,42.00,60.00
2026-04-18T20:50:00Z,42.00,60.00
2026-04-18T21:03:00Z,40.00,60.00
2026-04-18T21:21:00Z,40.00,60.00
2026-04-18T21:47:00Z,40.00,60.00
2026-04-18T22:14:00Z,41.00,60.00
2026-04-18T22:20:00Z,41.00,60.00
2026-04-18T22:22:00Z,41.00,60.00
2026-04-18T22:23:00Z,41.00,60.00
2026-04-18T22:32:00Z,41.00,60.00
2026-04-18T22:56:00Z,41.78,60.00
2026-04-18T23:18:00Z,41.78,61.00
2026-04-18T23:26:00Z,41.00,61.00
2026-04-18T23:28:00Z,41.00,61.00
2026-04-18T23:30:00Z,41.00,61.00
2026-04-18T23:31:00Z,41.00,61.00
2026-04-18T23:38:00Z,41.00,61.00
2026-04-18T23:40:00Z,41.00,61.00
2026-04-18T23:47:00Z,41.00,61.00
2026-04-18T23:53:00Z,41.00,61.00
2026-04-18T23:58:00Z,41.00,61.00
2026-04-19T00:01:00Z,41.00,59.91
2026-04-19T00:02:00Z,41.00,58.00
2026-04-19T00:08:00Z,41.00,58.00
2026-04-19T00:10:00Z,41.00,58.00
2026-04-19T00:14:00Z,42.00,58.00
2026-04-19T00:16:00Z,43.00,58.00
2026-04-19T00:22:00Z,43.97,58.00
2026-04-19T00:23:00Z,44.00,58.00
2026-04-19T00:28:00Z,42.00,58.00
2026-04-19T00:31:00Z,42.00,56.00
2026-04-19T00:37:00Z,42.00,58.00
2026-04-19T00:40:00Z,44.00,58.00
2026-04-19T00:42:00Z,44.00,58.00
2026-04-19T00:52:00Z,44.00,58.00
2026-04-19T00:59:00Z,42.00,58.00
2026-04-19T01:01:00Z,44.00,58.00
2026-04-19T01:09:00Z,44.00,58.00
2026-04-19T01:30:00Z,44.00,58.00
2026-04-19T01:33:00Z,42.00,58.00
2026-04-19T01:34:00Z,42.00,58.00
2026-04-19T01:37:00Z,42.00,58.00
2026-04-19T01:39:00Z,42.00,58.00
2026-04-19T01:42:00Z,42.00,58.00
2026-04-19T01:53:00Z,42.00,55.80
2026-04-19T01:55:00Z,44.00,57.00
2026-04-19T02:00:00Z,44.00,57.00
2026-04-19T02:01:00Z,44.00,57.00
2026-04-19T02:08:00Z,44.00,57.00
2026-04-19T02:09:00Z,44.00,57.00
2026-04-19T02:12:00Z,44.00,57.00
2026-04-19T02:44:00Z,44.00,57.00
2026-04-19T02:45:00Z,44.00,57.17
2026-04-19T02:46:00Z,44.00,58.00
