# event_ticker=KXATPMATCH-25JUL24EVAMOU
# final_score=6-2 7-6(4)
# score_resolution=6-2 7-6
# match_winner=Corentin Moutet
# fav_player=Corentin Moutet
# dog_player=Daniel Evans
# kalshi_date=2025-07-24
timestamp,Corentin Moutet,Daniel Evans
2025-07-24T12:03:00Z,,34.00
2025-07-24T12:07:00Z,,34.00
2025-07-24T13:02:00Z,,34.00
2025-07-24T13:23:00Z,,34.59
2025-07-24T13:24:00Z,67.00,34.59
2025-07-24T13:43:00Z,67.00,34.59
2025-07-24T13:50:00Z,67.00,34.00
2025-07-24T14:08:00Z,67.00,34.00
2025-07-24T14:54:00Z,68.00,34.00
2025-07-24T14:56:00Z,68.00,34.00
2025-07-24T15:05:00Z,68.00,33.00
2025-07-24T15:10:00Z,68.00,33.00
2025-07-24T15:11:00Z,68.00,33.00
2025-07-24T15:21:00Z,67.65,33.00
2025-07-24T15:23:00Z,67.65,33.97
2025-07-24T15:34:00Z,67.00,33.97
2025-07-24T15:42:00Z,67.00,33.97
2025-07-24T15:43:00Z,67.00,33.97
2025-07-24T15:51:00Z,67.92,33.97
2025-07-24T15:56:00Z,67.92,33.00
2025-07-24T16:00:00Z,67.92,33.00
2025-07-24T16:02:00Z,67.92,33.00
2025-07-24T16:05:00Z,67.92,33.00
2025-07-24T16:06:00Z,68.00,33.00
2025-07-24T16:10:00Z,68.00,33.00
2025-07-24T16:15:00Z,68.94,33.00
2025-07-24T16:27:00Z,66.00,34.90
2025-07-24T16:28:00Z,66.00,34.00
2025-07-24T16:36:00Z,66.00,34.00
2025-07-24T16:37:00Z,66.00,34.00
2025-07-24T16:38:00Z,66.00,35.00
2025-07-24T16:39:00Z,66.00,35.00
2025-07-24T16:40:00Z,66.00,35.00
2025-07-24T16:41:00Z,67.00,35.00
2025-07-24T16:43:00Z,67.00,35.00
2025-07-24T17:00:00Z,67.00,35.00
2025-07-24T17:01:00Z,70.92,34.00
2025-07-24T17:02:00Z,70.92,33.00
2025-07-24T17:05:00Z,70.92,34.00
2025-07-24T17:06:00Z,66.00,37.00
2025-07-24T17:07:00Z,68.75,37.00
2025-07-24T17:08:00Z,76.32,31.39
2025-07-24T17:09:00Z,77.00,31.39
2025-07-24T17:10:00Z,80.00,31.39
2025-07-24T17:11:00Z,80.00,31.39
2025-07-24T17:12:00Z,81.00,31.39
2025-07-24T17:13:00Z,82.00,17.50
2025-07-24T17:14:00Z,82.00,21.00
2025-07-24T17:16:00Z,82.00,21.71
2025-07-24T17:17:00Z,79.00,21.00
2025-07-24T17:18:00Z,79.00,19.64
2025-07-24T17:19:00Z,91.34,17.82
2025-07-24T17:20:00Z,84.49,16.60
2025-07-24T17:22:00Z,87.00,16.00
2025-07-24T17:23:00Z,85.32,15.00
2025-07-24T17:24:00Z,85.32,18.00
2025-07-24T17:25:00Z,82.00,18.00
2025-07-24T17:26:00Z,84.00,18.00
2025-07-24T17:28:00Z,83.00,18.00
2025-07-24T17:31:00Z,83.00,18.00
2025-07-24T17:32:00Z,83.22,17.00
2025-07-24T17:33:00Z,83.22,17.00
2025-07-24T17:34:00Z,83.22,12.69
2025-07-24T17:35:00Z,90.25,9.67
2025-07-24T17:37:00Z,89.00,10.68
2025-07-24T17:42:00Z,92.00,14.00
2025-07-24T17:43:00Z,92.00,11.08
2025-07-24T17:44:00Z,91.84,10.00
2025-07-24T17:45:00Z,90.00,10.00
2025-07-24T17:46:00Z,92.00,10.00
2025-07-24T17:47:00Z,92.00,11.00
2025-07-24T17:48:00Z,92.00,11.00
2025-07-24T17:49:00Z,94.00,9.00
2025-07-24T17:50:00Z,95.00,5.25
2025-07-24T17:51:00Z,96.00,4.03
2025-07-24T17:52:00Z,97.00,3.78
2025-07-24T17:53:00Z,96.09,4.00
2025-07-24T17:54:00Z,97.89,5.77
2025-07-24T17:55:00Z,94.97,6.08
2025-07-24T17:56:00Z,91.00,10.64
2025-07-24T17:57:00Z,91.00,8.82
