# event_ticker=KXATPMATCH-26MAR29DZUJIA
# final_score=6-3 4-6 7-6(4)
# score_resolution=3-6 6-4 6-7
# match_winner=Damir Dzumhur
# fav_player=Filip Cristian Jianu
# dog_player=Damir Dzumhur
# kalshi_date=2026-03-29
timestamp,Filip Cristian Jianu,Damir Dzumhur
2026-03-31T02:08:00Z,,64.00
2026-03-31T02:14:00Z,,64.00
2026-03-31T02:32:00Z,,65.00
2026-03-31T02:39:00Z,,65.00
2026-03-31T02:49:00Z,,64.00
2026-03-31T02:55:00Z,,65.00
2026-03-31T03:38:00Z,,65.00
2026-03-31T04:18:00Z,,65.00
2026-03-31T04:38:00Z,37.00,65.00
2026-03-31T04:46:00Z,37.00,65.00
2026-03-31T04:50:00Z,37.00,65.00
2026-03-31T04:52:00Z,37.00,65.00
2026-03-31T04:53:00Z,37.00,65.00
2026-03-31T05:07:00Z,37.00,65.00
2026-03-31T05:12:00Z,35.00,65.00
2026-03-31T05:17:00Z,37.00,65.00
2026-03-31T05:22:00Z,37.00,65.00
2026-03-31T05:23:00Z,35.00,65.00
2026-03-31T05:26:00Z,35.00,65.00
2026-03-31T05:38:00Z,35.00,65.00
2026-03-31T05:55:00Z,37.00,65.00
2026-03-31T06:00:00Z,37.00,65.00
2026-03-31T06:01:00Z,37.00,64.67
2026-03-31T06:21:00Z,37.00,65.00
2026-03-31T06:22:00Z,37.00,65.00
2026-03-31T06:29:00Z,37.00,65.00
2026-03-31T06:34:00Z,37.00,65.00
2026-03-31T06:36:00Z,37.00,65.00
2026-03-31T07:06:00Z,37.00,65.00
2026-03-31T07:12:00Z,37.00,65.00
2026-03-31T07:23:00Z,36.00,65.00
2026-03-31T07:24:00Z,36.00,65.00
2026-03-31T08:20:00Z,36.00,65.00
2026-03-31T08:29:00Z,36.00,65.00
2026-03-31T08:50:00Z,36.00,65.00
2026-03-31T09:00:00Z,36.00,65.00
2026-03-31T09:02:00Z,36.00,65.00
2026-03-31T09:04:00Z,36.00,65.00
2026-03-31T09:06:00Z,36.00,65.00
2026-03-31T09:15:00Z,36.00,65.00
2026-03-31T09:20:00Z,36.00,65.00
2026-03-31T09:59:00Z,36.00,65.00
2026-03-31T10:00:00Z,37.00,65.00
2026-03-31T10:01:00Z,35.00,65.00
2026-03-31T10:09:00Z,35.00,64.00
2026-03-31T10:12:00Z,35.00,66.00
2026-03-31T10:13:00Z,35.00,66.00
2026-03-31T10:30:00Z,35.00,66.00
2026-03-31T10:33:00Z,35.00,66.00
2026-03-31T10:41:00Z,35.00,66.00
2026-03-31T10:44:00Z,35.00,66.00
