# event_ticker=KXATPMATCH-26FEB23JARPRI
# final_score=6-3 5-7 6-2
# match_winner=Dino Prizmic
# fav_player=Dino Prizmic
# dog_player=Nicolas Jarry
# kalshi_date=2026-02-23
timestamp,Dino Prizmic,Nicolas Jarry
2026-02-23T11:43:00Z,,31.00
2026-02-23T12:39:00Z,,31.00
2026-02-23T12:54:00Z,68.00,32.00
2026-02-23T12:55:00Z,68.56,31.00
2026-02-23T13:48:00Z,70.00,31.00
2026-02-23T13:50:00Z,70.00,31.00
2026-02-23T13:57:00Z,70.00,31.00
2026-02-23T14:01:00Z,69.00,31.00
2026-02-23T14:25:00Z,69.00,31.00
2026-02-23T14:32:00Z,69.00,31.00
2026-02-23T14:54:00Z,69.00,32.00
2026-02-23T15:00:00Z,69.00,32.00
2026-02-23T15:15:00Z,69.00,32.00
2026-02-23T15:19:00Z,69.00,32.00
2026-02-23T15:22:00Z,69.00,32.00
2026-02-23T15:31:00Z,69.00,32.00
2026-02-23T15:43:00Z,69.00,32.00
2026-02-23T15:50:00Z,69.00,32.00
2026-02-23T15:55:00Z,69.00,32.00
2026-02-23T16:03:00Z,69.00,32.00
2026-02-23T16:11:00Z,69.00,32.00
2026-02-23T16:14:00Z,69.00,32.00
2026-02-23T16:20:00Z,69.00,32.00
2026-02-23T16:32:00Z,69.00,32.00
2026-02-23T16:43:00Z,69.00,32.00
2026-02-23T16:44:00Z,68.00,32.00
2026-02-23T16:50:00Z,68.00,32.00
2026-02-23T17:05:00Z,68.00,33.00
2026-02-23T17:06:00Z,68.00,33.00
2026-02-23T17:09:00Z,68.00,33.00
2026-02-23T17:10:00Z,68.00,33.00
2026-02-23T17:18:00Z,68.00,33.00
2026-02-23T17:23:00Z,68.00,33.00
2026-02-23T17:27:00Z,68.00,33.00
2026-02-23T17:32:00Z,68.00,33.00
2026-02-23T17:33:00Z,68.00,33.00
2026-02-23T17:41:00Z,68.00,33.00
2026-02-23T17:44:00Z,68.00,33.00
2026-02-23T17:56:00Z,68.00,33.00
2026-02-23T17:57:00Z,68.00,33.00
2026-02-23T17:58:00Z,68.00,33.00
2026-02-23T18:11:00Z,68.00,33.00
2026-02-23T18:16:00Z,68.00,33.00
2026-02-23T18:18:00Z,68.00,33.00
2026-02-23T18:21:00Z,68.00,33.00
2026-02-23T18:22:00Z,68.00,33.00
2026-02-23T18:23:00Z,68.00,33.00
2026-02-23T18:26:00Z,68.00,33.00
2026-02-23T18:35:00Z,68.00,33.00
2026-02-23T18:36:00Z,68.00,33.00
