# event_ticker=KXATPMATCH-26APR03ALTMAR
# final_score=6-2 7-6(5)
# score_resolution=2-6 6-7
# match_winner=Fabian Marozsan
# fav_player=Daniel Altmaier
# dog_player=Fabian Marozsan
# kalshi_date=2026-04-03
timestamp,Daniel Altmaier,Fabian Marozsan
2026-04-03T13:50:00Z,,94.00
2026-04-03T13:53:00Z,41.00,94.00
2026-04-03T14:09:00Z,32.45,94.00
2026-04-03T14:10:00Z,28.00,94.00
2026-04-03T14:14:00Z,28.00,75.00
2026-04-03T14:15:00Z,28.00,76.00
2026-04-03T14:16:00Z,30.00,72.00
2026-04-03T14:21:00Z,30.00,73.00
2026-04-03T14:23:00Z,30.00,73.00
2026-04-03T14:30:00Z,27.10,73.00
2026-04-03T14:31:00Z,29.00,73.00
2026-04-03T14:33:00Z,29.00,73.00
2026-04-03T14:36:00Z,29.00,73.00
2026-04-03T14:44:00Z,32.00,73.00
2026-04-03T14:47:00Z,32.00,70.00
2026-04-03T14:48:00Z,37.00,68.00
2026-04-03T14:49:00Z,33.00,70.00
2026-04-03T14:51:00Z,33.00,70.00
2026-04-03T14:54:00Z,32.92,70.00
2026-04-03T14:58:00Z,32.92,70.00
2026-04-03T15:01:00Z,32.92,72.00
2026-04-03T15:04:00Z,32.92,72.56
2026-04-03T15:06:00Z,29.84,72.56
2026-04-03T15:08:00Z,29.84,73.00
2026-04-03T15:11:00Z,29.11,73.00
2026-04-03T15:14:00Z,29.00,73.00
2026-04-03T15:21:00Z,29.00,73.00
2026-04-03T15:27:00Z,29.00,72.00
2026-04-03T15:30:00Z,29.00,72.00
2026-04-03T15:40:00Z,29.00,70.00
2026-04-03T15:41:00Z,29.00,70.00
2026-04-03T15:43:00Z,31.00,70.00
2026-04-03T15:44:00Z,31.00,69.00
2026-04-03T15:45:00Z,31.00,69.99
2026-04-03T15:47:00Z,31.00,69.00
2026-04-03T15:48:00Z,33.00,69.00
2026-04-03T15:49:00Z,34.27,69.00
2026-04-03T15:50:00Z,34.60,68.00
2026-04-03T15:52:00Z,34.60,67.00
2026-04-03T15:54:00Z,34.60,68.00
2026-04-03T15:55:00Z,34.60,68.00
2026-04-03T15:56:00Z,35.00,68.00
2026-04-03T15:57:00Z,35.00,67.00
2026-04-03T15:59:00Z,35.00,67.00
2026-04-03T16:01:00Z,35.00,67.00
2026-04-03T16:03:00Z,35.00,67.00
2026-04-03T16:04:00Z,35.00,67.00
2026-04-03T16:06:00Z,34.00,67.00
2026-04-03T16:09:00Z,34.00,67.00
2026-04-03T16:10:00Z,34.00,67.00
2026-04-03T16:12:00Z,33.53,67.00
2026-04-03T16:13:00Z,34.00,67.00
2026-04-03T16:14:00Z,34.00,67.00
2026-04-03T16:15:00Z,34.00,67.00
2026-04-03T16:16:00Z,34.00,67.00
2026-04-03T16:17:00Z,34.00,67.00
2026-04-03T16:18:00Z,33.50,67.00
2026-04-03T16:19:00Z,33.00,67.00
2026-04-03T16:20:00Z,33.00,67.00
2026-04-03T16:21:00Z,34.00,67.00
2026-04-03T16:25:00Z,34.00,67.00
2026-04-03T16:27:00Z,34.00,67.00
2026-04-03T16:30:00Z,34.00,67.00
2026-04-03T16:31:00Z,34.00,67.00
2026-04-03T16:32:00Z,34.00,67.00
2026-04-03T16:33:00Z,34.00,67.00
2026-04-03T16:36:00Z,34.00,67.00
2026-04-03T16:37:00Z,34.00,67.00
2026-04-03T16:38:00Z,34.00,67.00
2026-04-03T16:40:00Z,34.00,67.00
2026-04-03T16:41:00Z,34.00,67.00
2026-04-03T16:42:00Z,34.00,67.00
2026-04-03T16:45:00Z,34.00,67.00
2026-04-03T16:46:00Z,34.00,67.00
