# event_ticker=KXATPCHALLENGERMATCH-26FEB10FISSHI
# final_score=4-6 7-6(5) 6-2
# score_resolution=4-6 7-6 6-2
# match_winner=Braden Shick
# fav_player=Braden Shick
# dog_player=Ryan Fishback
# kalshi_date=2026-02-10
timestamp,Braden Shick,Ryan Fishback
2026-02-10T13:59:00Z,83.00,15.00
2026-02-10T14:21:00Z,83.00,17.80
2026-02-10T14:49:00Z,83.00,17.80
2026-02-10T15:27:00Z,83.00,17.80
2026-02-10T15:42:00Z,83.00,18.00
2026-02-10T16:00:00Z,83.00,18.00
2026-02-10T16:27:00Z,83.00,17.00
2026-02-10T16:28:00Z,83.00,18.00
2026-02-10T16:43:00Z,83.77,18.00
2026-02-10T16:53:00Z,83.77,17.98
2026-02-10T17:06:00Z,83.00,17.98
2026-02-10T17:25:00Z,85.00,17.98
2026-02-10T17:56:00Z,85.00,16.00
2026-02-10T18:09:00Z,85.00,16.00
2026-02-10T18:13:00Z,85.00,16.00
2026-02-10T18:14:00Z,85.00,16.96
2026-02-10T18:34:00Z,85.00,16.96
2026-02-10T18:44:00Z,85.00,16.96
2026-02-10T18:45:00Z,85.00,16.96
2026-02-10T18:48:00Z,85.00,16.00
2026-02-10T18:49:00Z,85.00,17.00
2026-02-10T18:53:00Z,85.00,16.80
2026-02-10T18:55:00Z,82.00,16.80
2026-02-10T18:58:00Z,85.00,16.80
2026-02-10T19:01:00Z,85.00,16.90
2026-02-10T19:05:00Z,85.00,16.90
2026-02-10T19:08:00Z,85.00,16.99
2026-02-10T19:10:00Z,85.00,17.00
2026-02-10T19:16:00Z,85.00,17.00
2026-02-10T19:20:00Z,85.00,17.00
2026-02-10T19:25:00Z,85.00,17.27
2026-02-10T19:33:00Z,85.00,17.27
2026-02-10T19:39:00Z,85.00,17.27
2026-02-10T19:42:00Z,85.00,15.00
2026-02-10T19:55:00Z,85.00,17.00
2026-02-10T19:57:00Z,85.00,17.00
2026-02-10T19:58:00Z,85.00,17.00
2026-02-10T20:03:00Z,85.00,17.00
2026-02-10T20:09:00Z,85.00,17.00
2026-02-10T20:12:00Z,85.00,17.00
2026-02-10T20:14:00Z,85.00,17.80
2026-02-10T20:18:00Z,85.00,17.00
2026-02-10T20:19:00Z,85.00,16.00
2026-02-10T20:21:00Z,85.00,16.00
2026-02-10T20:22:00Z,85.00,16.00
2026-02-10T20:25:00Z,85.00,16.00
2026-02-10T20:26:00Z,85.00,15.00
2026-02-10T20:27:00Z,86.00,15.00
2026-02-10T20:33:00Z,86.00,15.00
2026-02-10T20:36:00Z,86.00,16.00
2026-02-10T20:39:00Z,86.00,15.00
2026-02-10T20:41:00Z,83.00,15.00
2026-02-10T20:43:00Z,83.00,15.25
2026-02-10T20:47:00Z,86.79,15.25
2026-02-10T20:51:00Z,86.79,15.00
2026-02-10T20:56:00Z,86.79,15.00
2026-02-10T21:00:00Z,86.79,15.55
2026-02-10T21:01:00Z,86.79,14.00
2026-02-10T21:08:00Z,86.79,16.00
2026-02-10T21:09:00Z,86.00,16.00
2026-02-10T21:12:00Z,86.00,17.00
2026-02-10T21:13:00Z,86.00,17.00
2026-02-10T21:14:00Z,85.00,16.00
2026-02-10T21:15:00Z,85.00,16.51
2026-02-10T21:16:00Z,86.54,15.00
2026-02-10T21:17:00Z,87.00,15.63
