# event_ticker=KXATPCHALLENGERMATCH-26MAR10ATMBLA
# final_score=6-4 6-4
# match_winner=Darwin Blanch
# fav_player=Darwin Blanch
# dog_player=Terence Atmane
# kalshi_date=2026-03-10
timestamp,Darwin Blanch,Terence Atmane
2026-03-10T12:19:00Z,90.00,
2026-03-10T13:51:00Z,23.00,80.00
2026-03-10T14:05:00Z,32.00,70.00
2026-03-10T14:31:00Z,32.00,71.00
2026-03-10T15:02:00Z,32.00,71.00
2026-03-10T15:13:00Z,32.00,69.99
2026-03-10T15:57:00Z,34.00,69.99
2026-03-10T16:10:00Z,34.00,69.00
2026-03-10T19:36:00Z,32.00,69.00
2026-03-10T19:53:00Z,32.00,70.00
2026-03-10T19:55:00Z,32.00,70.31
2026-03-10T20:17:00Z,32.00,71.99
2026-03-10T20:18:00Z,32.00,71.92
2026-03-10T20:19:00Z,30.00,72.11
2026-03-10T20:21:00Z,30.00,72.11
2026-03-10T20:22:00Z,30.00,72.86
2026-03-10T20:23:00Z,29.00,72.86
2026-03-10T20:24:00Z,29.00,75.00
2026-03-10T20:26:00Z,26.00,75.00
2026-03-10T20:27:00Z,24.00,75.33
2026-03-10T20:28:00Z,23.09,75.21
2026-03-10T20:29:00Z,23.09,79.00
2026-03-10T20:30:00Z,22.00,79.00
2026-03-10T20:31:00Z,22.00,71.00
2026-03-10T20:32:00Z,22.00,71.00
2026-03-10T20:34:00Z,29.00,73.00
2026-03-10T20:36:00Z,26.00,73.00
2026-03-10T20:38:00Z,32.00,70.78
2026-03-10T20:41:00Z,32.00,71.00
2026-03-10T20:42:00Z,32.00,70.00
2026-03-10T20:43:00Z,32.00,68.00
2026-03-10T20:46:00Z,33.00,67.00
2026-03-10T20:47:00Z,33.00,66.00
2026-03-10T20:48:00Z,30.00,66.00
2026-03-10T20:49:00Z,28.00,73.00
2026-03-10T20:50:00Z,28.00,75.96
2026-03-10T20:51:00Z,38.00,64.00
2026-03-10T20:52:00Z,38.00,66.00
2026-03-10T20:53:00Z,37.00,66.00
2026-03-10T20:54:00Z,56.13,49.31
2026-03-10T20:55:00Z,56.13,39.00
2026-03-10T20:56:00Z,58.00,42.88
2026-03-10T20:57:00Z,58.00,41.00
2026-03-10T20:58:00Z,58.00,41.91
2026-03-10T20:59:00Z,62.00,41.90
2026-03-10T21:00:00Z,62.00,41.77
2026-03-10T21:01:00Z,67.13,33.90
2026-03-10T21:02:00Z,67.00,34.00
2026-03-10T21:03:00Z,67.00,35.80
2026-03-10T21:05:00Z,70.04,32.04
2026-03-10T21:06:00Z,71.60,26.46
2026-03-10T21:07:00Z,71.60,33.04
2026-03-10T21:08:00Z,64.01,35.98
2026-03-10T21:09:00Z,65.93,34.04
2026-03-10T21:10:00Z,67.00,32.87
2026-03-10T21:11:00Z,70.50,30.00
2026-03-10T21:12:00Z,74.52,25.93
2026-03-10T21:13:00Z,74.52,23.19
2026-03-10T21:14:00Z,74.52,34.00
2026-03-10T21:15:00Z,74.52,34.00
2026-03-10T21:16:00Z,70.00,34.00
2026-03-10T21:17:00Z,70.00,36.19
2026-03-10T21:19:00Z,70.00,30.00
2026-03-10T21:20:00Z,67.55,34.68
2026-03-10T21:21:00Z,67.55,34.85
2026-03-10T21:22:00Z,70.00,32.00
2026-03-10T21:23:00Z,73.00,30.00
2026-03-10T21:24:00Z,73.00,26.90
2026-03-10T21:25:00Z,73.00,27.84
2026-03-10T21:26:00Z,75.60,22.66
2026-03-10T21:27:00Z,70.29,31.00
2026-03-10T21:28:00Z,72.00,30.00
2026-03-10T21:29:00Z,74.00,26.00
2026-03-10T21:30:00Z,74.00,27.00
2026-03-10T21:31:00Z,74.00,27.00
2026-03-10T21:32:00Z,78.00,25.62
2026-03-10T21:33:00Z,75.80,23.23
2026-03-10T21:34:00Z,94.71,7.38
2026-03-10T21:35:00Z,95.99,3.71
2026-03-10T21:36:00Z,98.67,3.04
2026-03-10T21:37:00Z,98.87,1.17
2026-03-10T21:38:00Z,98.87,1.00
