# event_ticker=KXATPMATCH-26APR22BASOFN
# final_score=7-6(5) 7-6(0)
# score_resolution=6-7 6-7
# match_winner=Sebastian Ofner
# fav_player=Nikoloz Basilashvili
# dog_player=Sebastian Ofner
# kalshi_date=2026-04-22
timestamp,Nikoloz Basilashvili,Sebastian Ofner
2026-04-22T01:56:00Z,,65.37
2026-04-22T02:09:00Z,41.00,65.94
2026-04-22T02:12:00Z,41.00,65.94
2026-04-22T02:14:00Z,43.84,61.00
2026-04-22T02:16:00Z,43.84,62.00
2026-04-22T02:23:00Z,43.84,62.00
2026-04-22T02:44:00Z,43.84,62.00
2026-04-22T02:47:00Z,43.84,61.00
2026-04-22T02:49:00Z,37.00,65.00
2026-04-22T02:50:00Z,37.00,65.00
2026-04-22T02:58:00Z,37.00,65.00
2026-04-22T03:01:00Z,37.00,65.00
2026-04-22T03:05:00Z,42.98,65.00
2026-04-22T03:13:00Z,42.98,65.21
2026-04-22T03:32:00Z,41.00,65.21
2026-04-22T03:48:00Z,41.00,66.00
2026-04-22T03:50:00Z,41.00,66.00
2026-04-22T04:38:00Z,41.00,61.00
2026-04-22T05:17:00Z,41.00,66.00
2026-04-22T05:24:00Z,41.00,66.00
2026-04-22T05:29:00Z,41.00,65.00
2026-04-22T05:31:00Z,41.00,66.00
2026-04-22T05:38:00Z,41.00,66.00
2026-04-22T05:42:00Z,37.00,66.00
2026-04-22T05:50:00Z,36.00,66.00
2026-04-22T05:54:00Z,36.00,66.83
2026-04-22T06:01:00Z,40.00,66.83
2026-04-22T06:05:00Z,40.00,66.87
2026-04-22T06:06:00Z,40.00,67.00
2026-04-22T06:25:00Z,40.55,67.00
2026-04-22T06:30:00Z,38.45,64.00
2026-04-22T06:34:00Z,40.33,62.89
2026-04-22T06:44:00Z,40.33,64.00
2026-04-22T06:45:00Z,40.00,64.00
2026-04-22T06:56:00Z,40.00,64.00
2026-04-22T07:25:00Z,40.00,64.00
2026-04-22T08:25:00Z,40.00,65.00
2026-04-22T08:33:00Z,40.00,62.00
2026-04-22T09:32:00Z,40.00,62.00
2026-04-22T10:26:00Z,40.00,62.00
2026-04-22T10:49:00Z,39.00,62.00
2026-04-22T10:59:00Z,39.00,62.00
2026-04-22T11:02:00Z,39.00,62.00
2026-04-22T11:07:00Z,39.00,62.00
2026-04-22T11:08:00Z,37.36,62.00
2026-04-22T11:10:00Z,37.36,62.00
2026-04-22T11:16:00Z,39.00,62.00
2026-04-22T11:17:00Z,39.00,62.00
2026-04-22T11:21:00Z,39.97,62.00
2026-04-22T11:30:00Z,39.97,62.00
2026-04-22T11:39:00Z,39.97,62.00
2026-04-22T11:44:00Z,39.97,62.00
2026-04-22T11:47:00Z,39.97,62.00
2026-04-22T12:01:00Z,39.97,62.00
2026-04-22T12:12:00Z,37.62,62.00
2026-04-22T12:14:00Z,39.00,62.00
2026-04-22T12:19:00Z,39.00,62.00
2026-04-22T12:22:00Z,39.00,62.00
2026-04-22T12:23:00Z,39.00,62.00
2026-04-22T12:25:00Z,39.00,62.00
2026-04-22T12:26:00Z,39.31,62.00
2026-04-22T12:30:00Z,38.00,62.00
2026-04-22T12:31:00Z,38.00,62.00
2026-04-22T12:37:00Z,38.00,62.00
2026-04-22T12:41:00Z,38.00,62.00
2026-04-22T12:43:00Z,38.00,63.00
2026-04-22T12:48:00Z,38.00,63.00
2026-04-22T12:50:00Z,38.00,63.00
2026-04-22T12:51:00Z,38.00,63.00
2026-04-22T12:53:00Z,38.00,63.00
2026-04-22T12:54:00Z,38.00,63.00
2026-04-22T12:55:00Z,38.00,63.00
2026-04-22T12:56:00Z,38.00,63.00
2026-04-22T12:58:00Z,38.00,63.00
2026-04-22T12:59:00Z,38.00,63.00
2026-04-22T13:00:00Z,38.00,63.00
2026-04-22T13:03:00Z,38.00,63.00
2026-04-22T13:04:00Z,38.00,63.00
2026-04-22T13:06:00Z,38.00,63.00
2026-04-22T13:08:00Z,38.00,63.00
2026-04-22T13:09:00Z,38.00,63.00
2026-04-22T13:10:00Z,38.00,63.00
2026-04-22T13:12:00Z,38.00,63.77
2026-04-22T13:15:00Z,38.00,63.92
2026-04-22T13:16:00Z,38.00,64.00
2026-04-22T13:17:00Z,39.00,64.00
