# event_ticker=KXATPMATCH-25OCT01MARWAW
# final_score=6-1 4-6 6-4
# match_winner=Fabian Marozsan
# fav_player=Fabian Marozsan
# dog_player=Stan Wawrinka
# kalshi_date=2025-10-01
timestamp,Fabian Marozsan,Stan Wawrinka
2025-10-01T01:47:00Z,88.00,88.00
2025-10-01T02:28:00Z,88.00,32.00
2025-10-01T02:46:00Z,88.00,32.00
2025-10-01T03:08:00Z,69.00,32.00
2025-10-01T03:16:00Z,69.00,32.00
2025-10-01T03:20:00Z,69.00,32.00
2025-10-01T03:40:00Z,69.00,32.00
2025-10-01T03:44:00Z,69.00,32.00
2025-10-01T03:59:00Z,69.00,32.00
2025-10-01T04:00:00Z,69.00,32.00
2025-10-01T04:10:00Z,69.00,33.00
2025-10-01T04:11:00Z,68.00,33.00
2025-10-01T04:22:00Z,68.00,33.00
2025-10-01T04:25:00Z,68.00,33.00
2025-10-01T04:32:00Z,68.00,33.00
2025-10-01T04:36:00Z,68.00,33.00
2025-10-01T04:44:00Z,68.00,33.00
2025-10-01T04:45:00Z,68.00,33.00
2025-10-01T04:48:00Z,68.00,33.00
2025-10-01T04:49:00Z,68.00,33.00
2025-10-01T05:10:00Z,68.00,33.00
2025-10-01T05:24:00Z,68.00,33.00
2025-10-01T05:30:00Z,68.00,33.00
2025-10-01T05:57:00Z,68.00,33.00
2025-10-01T06:02:00Z,68.00,33.00
2025-10-01T06:37:00Z,68.00,33.00
2025-10-01T06:39:00Z,68.00,33.00
2025-10-01T06:42:00Z,68.00,33.00
2025-10-01T06:56:00Z,69.00,33.00
2025-10-01T07:02:00Z,69.00,32.00
2025-10-01T07:21:00Z,69.00,31.00
2025-10-01T07:28:00Z,69.00,32.00
2025-10-01T07:31:00Z,69.00,32.00
2025-10-01T07:42:00Z,69.00,32.00
2025-10-01T08:45:00Z,69.00,32.00
2025-10-01T09:17:00Z,69.00,32.00
2025-10-01T09:22:00Z,69.00,32.00
2025-10-01T09:25:00Z,69.00,32.00
2025-10-01T09:26:00Z,69.00,32.00
2025-10-01T09:36:00Z,69.00,32.00
2025-10-01T10:00:00Z,69.00,32.00
2025-10-01T10:02:00Z,69.00,32.00
2025-10-01T10:03:00Z,69.00,32.00
2025-10-01T10:04:00Z,69.00,32.00
2025-10-01T10:07:00Z,69.00,32.00
2025-10-01T10:18:00Z,69.00,32.00
2025-10-01T10:43:00Z,69.00,31.00
2025-10-01T10:50:00Z,69.00,31.00
2025-10-01T10:53:00Z,69.00,32.00
2025-10-01T10:58:00Z,70.00,32.00
2025-10-01T10:59:00Z,70.00,32.00
2025-10-01T11:02:00Z,69.00,32.00
2025-10-01T11:13:00Z,68.00,32.00
2025-10-01T11:17:00Z,68.00,32.00
2025-10-01T11:18:00Z,68.00,33.00
2025-10-01T11:19:00Z,68.97,33.00
2025-10-01T11:21:00Z,69.75,31.00
2025-10-01T11:23:00Z,70.00,31.43
2025-10-01T11:24:00Z,70.00,32.00
2025-10-01T11:25:00Z,70.00,32.00
2025-10-01T11:27:00Z,70.00,32.00
2025-10-01T11:30:00Z,69.49,32.00
2025-10-01T11:33:00Z,70.00,32.00
2025-10-01T11:38:00Z,70.00,32.00
2025-10-01T11:40:00Z,70.00,32.00
2025-10-01T11:43:00Z,68.52,32.00
2025-10-01T11:44:00Z,69.00,32.00
2025-10-01T11:45:00Z,69.68,32.00
2025-10-01T11:46:00Z,70.00,32.00
2025-10-01T11:51:00Z,70.00,32.00
2025-10-01T11:53:00Z,70.00,32.00
2025-10-01T11:56:00Z,70.00,32.00
2025-10-01T12:01:00Z,70.00,32.00
2025-10-01T12:06:00Z,69.00,32.00
2025-10-01T12:07:00Z,69.00,32.33
2025-10-01T12:08:00Z,69.00,31.00
2025-10-01T12:09:00Z,69.00,31.00
2025-10-01T12:10:00Z,69.00,32.00
2025-10-01T12:14:00Z,69.00,32.00
2025-10-01T12:16:00Z,69.00,32.00
